node,load_proxy_prox,load_proxy_volt
4,40.072319444444446,40.072319444444446
5,26.57192361111111,26.57192361111111
7,46.37543055555555,46.37543055555555
8,43.368722711302084,42.51688541666667
10,36.04771180555556,36.04771180555556
11,0.0,39.86792361111111
13,26.57192361111111,26.57192361111111
15,56.6573125,56.6573125
17,5.8747847222222225,5.8747847222222225
19,59.377333333333326,59.377333333333326
20,119.63762028074652,119.54799652777777
21,5.3175486111111105,5.3175486111111105
24,42.83942013888889,42.83942013888889
26,6.952979166666667,6.952979166666667
27,2.4239965277777777,2.4239965277777777
29,7.102388888888889,7.102388888888889
31,4.0214375,4.0214375
33,10.721996527777778,10.721996527777778
36,3.981052083333333,3.981052083333333
37,5.715578125,5.715578125
39,4.4653125,4.4653125
41,2.5195937500000003,2.5195937500000003
42,24.68097569444444,24.68097569444444
44,10.675420138888889,10.675420138888889
47,2.9046909722222223,2.9046909722222223
48,16.369711805555553,16.369711805555553
52,29.870208333333338,29.870208333333338
53,4.039006944444444,4.039006944444444
55,5.627725694444445,5.627725694444445
56,14.0385625,14.0385625
63,21.123489583333335,21.123489583333335
64,3.9074531250000004,3.9074531250000004
65,5.137276041666667,5.137276041666667
67,5.187822916666667,5.187822916666667
69,7.533729166666666,7.533729166666666
70,5.26246875,5.26246875
72,2.983125,2.983125
75,17.45406597222222,17.45406597222222
80,13.941920085843751,13.286459146315973
82,34.55358083276736,34.36782986111111
83,0.0,20.53944444444444
88,21.696663194444444,16.5338125
90,0.0,0.34442442409375
91,43.48372916666667,1.0450069444444443
92,46.587684999434025,105.84147303520487
93,7.957836805555555,28.34859375
95,6.43309375,50.80313888888889
99,32.35471180555555,32.35471180555555
100,0.0,7.425156250000001
102,4.939878472222222,4.939878472222222
104,25.49814236111111,25.49814236111111
106,16.860583333333334,16.860583333333334
107,0.0,16.901680555555558
108,41.15374652777778,41.15374652777778
114,57.58184722222222,23.406277777777778
115,10.082951388888889,10.082951388888889
118,32.497850694444445,32.497850694444445
119,14.708749999999998,14.708749999999998
120,15.436322916666667,15.436322916666667
122,9.126774305555555,9.126774305555555
123,14.990027777777776,14.990027777777776
124,13.80842013888889,13.80842013888889
126,5.986163194444445,5.986163194444445
128,2.886465277777778,2.886465277777778
133,4.275057291666666,4.275057291666666
136,21.175375,21.175375
139,7.412673611111111,7.412673611111111
140,36.11974652777778,36.11974652777778
142,0.0,17.188788194444445
