utility,substation_name,magnitude,n_nodes_prox,n_nodes_volt,reassigned,mass_moved_frac,mass_moved_mw,avg_dist_prox_km,avg_dist_volt_km,added_dist_km,assignment_method_volt
sce,Lafayette,33.88163194444444,1,1,False,0.0,0.0,0.01876,0.01876,0.0,nearest
sce,Laguna Bell,12.01329861111111,1,1,False,0.0,0.0,0.030049,0.030049,0.0,nearest
sce,Lakeview,7.502118055555556,1,1,False,0.0,0.0,4.659754,4.659754,0.0,nearest
sce,Lakewood,6.8573611111111115,1,1,False,0.0,0.0,0.015643,0.015643,0.0,nearest
sce,Lampson,32.893819444444446,1,1,False,0.0,0.0,0.070548,0.070548,0.0,nearest
sce,Lancaster,28.38579861111111,1,1,False,0.0,0.0,0.017195,0.017195,0.0,nearest
sce,Landing,0.0,1,1,False,0.0,0.0,0.045836,0.045836,0.0,nearest
sce,Lark Ellen,19.64,1,1,False,0.0,0.0,0.064914,0.064914,0.0,nearest
sce,Las Lomas,29.78895833333333,1,1,False,0.0,0.0,3.972501,3.972501,0.0,nearest
sce,Latigo,18.707083333333333,1,1,False,0.0,0.0,0.09512,0.09512,0.0,nearest
sce,Laurel,6.1701041666666665,1,1,False,0.0,0.0,0.082282,0.082282,0.0,nearest
sce,Lawndale,4.016631944444445,1,1,False,0.0,0.0,1.608313,1.608313,0.0,nearest
sce,Layfair,17.875416666666666,1,1,False,0.0,0.0,0.231373,0.231373,0.0,nearest
sce,Lemon Cove,2.487881944444444,1,1,False,0.0,0.0,14.888948,14.888948,0.0,nearest_voltage_fallback
sce,Lennox,23.915555555555557,1,1,False,0.0,0.0,0.071696,0.071696,0.0,nearest
sce,Levy,23.7790625,1,1,False,0.0,0.0,0.039236,0.039236,0.0,nearest
sce,Liberty,33.79559027777778,1,1,False,0.0,0.0,0.048416,0.048416,0.0,nearest
sce,Lighthipe,25.959930555555555,1,1,False,0.0,0.0,0.068019,0.068019,0.0,nearest
sce,Limestone,34.414513888888884,1,1,False,0.0,0.0,0.038713,0.038713,0.0,nearest
sce,Linden,3.2563541666666667,1,1,False,0.0,0.0,0.003555,0.003555,0.0,nearest
sce,Lindsay,7.6777083333333325,1,1,False,0.0,0.0,0.04148,0.04148,0.0,nearest
sce,Little Rock,13.209340277777777,1,1,False,0.0,0.0,0.09579,0.09579,0.0,nearest
sce,Live Oak,27.733854166666667,1,1,False,0.0,0.0,0.091248,0.091248,0.0,nearest
sce,Lockheed,31.927291666666665,1,1,False,0.0,0.0,0.155765,0.155765,0.0,nearest
sce,Locust,6.661423611111111,1,1,False,0.0,0.0,0.035931,0.035931,0.0,nearest
sce,Longdon,5.9365625,1,1,False,0.0,0.0,0.011701,0.011701,0.0,nearest
sce,Loraine,0.4989236111111111,1,1,False,0.0,0.0,13.156432,13.156432,0.0,nearest_voltage_fallback
sce,Los Cerritos,15.221284722222224,1,1,False,0.0,0.0,1.318932,1.318932,0.0,nearest
sce,Lucas,35.46454861111111,1,1,False,0.0,0.0,0.02638,0.02638,0.0,nearest
sce,Lucerne,3.2853819444444445,1,1,False,0.0,0.0,0.091404,0.091404,0.0,nearest_voltage_fallback
sce,Lunada,1.027951388888889,1,1,False,0.0,0.0,0.897946,0.897946,0.0,nearest
sce,Lundy,0.1970486111111111,1,1,False,0.0,0.0,11.301842,11.301842,0.0,nearest_voltage_fallback
sce,Lynwood,6.551354166666666,1,1,False,0.0,0.0,0.031491,0.031491,0.0,nearest
sce,Macarthur,40.95225694444444,1,1,False,0.0,0.0,0.022179,0.022179,0.0,nearest
sce,Madrid,2.211076388888889,1,1,False,0.0,0.0,1.529269,1.529269,0.0,nearest
sce,Malibu,19.48263888888889,1,1,False,0.0,0.0,0.077825,0.077825,0.0,nearest
sce,Manhattan,5.740243055555556,2,2,False,0.0,0.0,2.077211,2.077211,0.0,nearest
sce,Maraschino,27.491944444444446,1,1,False,0.0,0.0,0.056946,0.056946,0.0,nearest
sce,Marine,20.246076388888888,1,1,False,0.0,0.0,0.059347,0.059347,0.0,nearest
sce,Marion,29.892708333333335,1,1,False,0.0,0.0,0.043981,0.043981,0.0,nearest
sce,Mariposa,0.4078819444444444,1,1,False,0.0,0.0,5.487521,5.487521,0.0,nearest
sce,Marymount,8.362291666666668,1,1,False,0.0,0.0,0.049455,0.049455,0.0,nearest
sce,Mascot,8.507118055555557,1,1,False,0.0,0.0,0.034437,0.034437,0.0,nearest
sce,Maxwell,43.61454861111111,1,1,False,0.0,0.0,0.075661,0.075661,0.0,nearest
sce,Mayberry,34.00875,1,1,False,0.0,0.0,0.064433,0.064433,0.0,nearest
sce,Mayflower,4.5344444444444445,1,1,False,0.0,0.0,0.031857,0.031857,0.0,nearest
sce,Mentone,9.984131944444444,1,1,False,0.0,0.0,0.155704,0.155704,0.0,nearest
sce,Merced,24.08420138888889,1,1,False,0.0,0.0,0.062277,0.062277,0.0,nearest
sce,Mesa,63.25479166666667,1,1,False,0.0,0.0,0.534891,0.534891,0.0,nearest
sce,Michillinda,3.5337847222222223,1,1,False,0.0,0.0,0.002975,0.002975,0.0,nearest
sce,Milliken,40.55520833333333,1,1,False,0.0,0.0,3.984009,3.984009,0.0,nearest
sce,Minaret,2.9369444444444444,1,1,False,0.0,0.0,34.672327,34.672327,0.0,nearest_voltage_fallback
sce,Minneola,0.10041666666666667,1,1,False,0.0,0.0,4.415986,4.415986,0.0,nearest
sce,Mira Loma,53.485729166666665,1,1,False,0.0,0.0,0.014388,0.014388,0.0,nearest
sce,Modena,48.56350694444445,1,1,False,0.0,0.0,0.065335,0.065335,0.0,nearest
sce,Moneta,6.148333333333333,1,1,False,0.0,0.0,1.519118,1.519118,0.0,nearest
sce,Monolith,12.175868055555556,1,1,False,0.0,0.0,10.365974,10.365974,0.0,nearest_voltage_fallback
sce,Monrovia,6.7536805555555555,1,1,False,0.0,0.0,0.007548,0.007548,0.0,nearest
sce,Montecito,3.3975347222222223,2,2,False,0.0,0.0,4.70589,4.70589,0.0,nearest
sce,Moorpark,44.05277777777778,1,1,False,0.0,0.0,0.158006,0.158006,0.0,nearest
sce,Moraga,78.68815972222222,1,1,False,0.0,0.0,0.046029,0.046029,0.0,nearest
sce,Moreno,23.25267361111111,1,1,False,0.0,0.0,0.101414,0.101414,0.0,nearest
sce,Morningside,4.274305555555555,2,2,False,0.0,0.0,2.6195364999999997,2.6195364999999997,0.0,nearest
sce,Morro,12.8534375,1,1,False,0.0,0.0,0.05263,0.05263,0.0,nearest
sce,Moulton,33.601875,1,1,False,0.0,0.0,0.078969,0.078969,0.0,nearest
sce,Mountain Pass A,0.0,1,1,False,0.0,0.0,90.481432,90.481432,0.0,nearest_voltage_fallback
sce,Movie,13.071041666666666,1,1,False,0.0,0.0,0.026154,0.026154,0.0,nearest
sce,Mt. Tom,4.198888888888889,1,1,False,0.0,0.0,0.036585,0.036585,0.0,nearest
sce,Mt. Vernon,5.694270833333333,1,1,False,0.0,0.0,0.013097,0.013097,0.0,nearest
sce,Murphy,21.72125,1,1,False,0.0,0.0,0.041999,0.041999,0.0,nearest
sce,Murrietta 2,9.488194444444444,1,1,False,0.0,0.0,2.427267,2.427267,0.0,nearest_voltage_fallback
sce,Muscoy,2.4320833333333334,1,3,True,1.0,2.4320833333333334,1.590944,4.851266148729,3.2603221487289997,nearest
sce,Naomi,4.064166666666667,1,1,False,0.0,0.0,0.027373,0.027373,0.0,nearest
sce,Naples,7.259479166666667,1,1,False,0.0,0.0,1.859284,1.859284,0.0,nearest
sce,Narod,41.64788194444444,1,1,False,0.0,0.0,0.109865,0.109865,0.0,nearest
sce,Narrows,32.5425,1,1,False,0.0,0.0,0.123692,0.123692,0.0,nearest
sce,Navy Mole,0.0,1,1,False,0.0,0.0,1.867924,1.867924,0.0,nearest
sce,Neenach,0.18708333333333335,1,1,False,0.0,0.0,20.24238,20.24238,0.0,nearest_voltage_fallback
sce,Nelson,64.1692013888889,1,1,False,0.0,0.0,0.022383,0.022383,0.0,nearest
sce,Neptune,23.127118055555556,1,1,False,0.0,0.0,0.008756,0.008756,0.0,nearest
sce,Newbury,34.238298611111105,1,1,False,0.0,0.0,0.080234,0.080234,0.0,nearest
sce,Newcomb,53.10947916666667,1,1,False,0.0,0.0,5.652169,5.652169,0.0,nearest
sce,Newhall,52.08503472222222,1,1,False,0.0,0.0,0.027801,0.027801,0.0,nearest
sce,Newmark,15.197916666666666,1,1,False,0.0,0.0,0.03438,0.03438,0.0,nearest
sce,Niguel,23.229687499999997,1,1,False,0.0,0.0,0.074032,0.074032,0.0,nearest
sce,Nogales,26.82579861111111,1,1,False,0.0,0.0,0.026176,0.026176,0.0,nearest
sce,Nola,11.414513888888889,1,1,False,0.0,0.0,0.033016,0.033016,0.0,nearest
sce,North Intake,0.2546527777777778,1,1,False,0.0,0.0,0.103287,0.103287,0.0,nearest
sce,North Muroc,0.5838194444444444,1,1,False,0.0,0.0,16.600545,16.600545,0.0,nearest_voltage_fallback
sce,North Oaks,45.935,1,1,False,0.0,0.0,0.07673,0.07673,0.0,nearest
sce,Northwind,0.0,1,1,False,0.0,0.0,5.224502,5.224502,0.0,nearest
sce,Nugget,6.872673611111111,1,1,False,0.0,0.0,9.325758,9.325758,0.0,nearest_voltage_fallback
sce,O'neill,32.42947916666667,1,1,False,0.0,0.0,4.355153,4.355153,0.0,nearest
sce,Oak Grove,25.09645833333333,1,1,False,0.0,0.0,0.118975,0.118975,0.0,nearest
sce,Oak Park,21.036319444444445,1,1,False,0.0,0.0,0.09095,0.09095,0.0,nearest
sce,Oasis,27.74458333333333,1,1,False,0.0,0.0,0.083179,0.083179,0.0,nearest
sce,Ocean Park,2.812673611111111,1,1,False,0.0,0.0,1.575204,1.575204,0.0,nearest
sce,Oceanview,17.125868055555557,1,1,False,0.0,0.0,0.01974,0.01974,0.0,nearest
sce,Octol,9.608819444444444,1,1,False,0.0,0.0,6.020695,6.020695,0.0,nearest
sce,Ojai,13.93340277777778,1,1,False,0.0,0.0,0.040446,0.040446,0.0,nearest
sce,Oldfield,6.060104166666666,1,1,False,0.0,0.0,0.015616,0.015616,0.0,nearest
sce,Olinda,30.781805555555554,1,1,False,0.0,0.0,0.260711,0.260711,0.0,nearest
