utility,substation_name,latitude,longitude,voltage_kv,substation_type,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,existing_der,net_min_daytime_load_mw,is_pt,in_clean,cats_bus_i,cats_kv,cats_lat,cats_lon,cats_dist_km,cats_matched
pge,CHALLENGE,39.48563129002225,-121.22014874811364,12.0,,,North Valley,10320.0,0.397,0.487,0.884,,,,1.0,,,,,,,,,,,No,,,False,True,1489,66,39.48525926,-121.2203187,0.043863684263908236,True
pge,TERMINOUS,38.11711521592538,-121.42139866543384,12.0,,,Stockton,16302.0,1.073,2.452,3.525,,,,1.0,,,,,,,,,,,No,,,False,True,1167,66,38.11646156,-121.4221819,0.09988898553854886,True
pge,PERRY,35.57121004522495,-121.0559169553722,12.0,,,Los Padres,18307.0,5.962,6.5,12.462,,,,1.0,,,,,,,,,,,No,,,False,True,1184,66,35.57091817,-121.0553711,0.0590824435677342,True
pge,PINEDALE,36.85007067841538,-119.8034557830923,21.0,,,Fresno,25285.0,13.161,13.64,26.801,,,,3.0,,,,,,,,,,,No,,,False,True,2185,115,36.84992908,-119.803345,0.018576161463524456,True
pge,JAMESON,38.20543608324877,-122.14796860832556,12.0,,,North Bay,6380.0,3.373,4.493,7.866,,,,2.0,,,,,,,,,,,No,,,False,True,1782,115,38.20550643,-122.147878,0.01112954051347159,True
pge,PIT NO 5,40.98670271889426,-121.97630522163178,12.0,,,North Valley,10132.0,2.057,2.062,4.119,,,,1.0,,,,,,,,,,,Yes,,,False,True,1730,230,40.98672929,-121.9765849,0.023660502649575393,True
pge,RIO DELL,40.495345252516735,-124.09933588858924,12.0,,,Humboldt,19225.0,0.165,0.205,0.37,,,,1.0,,,,,,,,,,,No,,,False,True,177,66,40.49538982,-124.0992681,0.007577348907093871,True
pge,KERN OIL,35.44071661874439,-119.02040105128609,12.0,,,Kern,25272.0,1.926,3.482,5.408,,,,3.0,,,,,,,,,,,No,,,False,True,283,115,35.44070561,-119.0207361,0.030377502353699785,True
pge,STILLWATER,40.67760281495655,-122.34983936540058,12.0,,,North Valley,10356.0,3.621,3.79,7.411,,,,1.0,,,,,,,,,,,No,,,False,True,1287,66,40.67776349,-122.3497752,0.018667667034624635,True
pge,CLAY,38.34223678954548,-120.93502517926262,12.0,,,Stockton,16334.0,4.367,4.759,9.126,,,,2.0,,,,,,,,,,,No,,,False,True,26,66,38.34219061,-120.9349804,0.006451273039027322,True
pge,SANTA NELLA,37.08567509415812,-121.01318384348406,12.0,,,Yosemite,25405.0,5.078,6.012,11.09,,,,2.0,,,,,,,,,,,No,,,False,True,617,66,37.08584186,-121.0132255,0.018908086007288185,True
pge,HOLLYWOOD,37.81262335848576,-122.2188198016409,4.16,,,East Bay,1317.0,1.716,1.915,3.631,,,,1.0,,,,,,,,,,,No,,,False,True,1611,115,37.80528987,-122.2312677,1.3641172626901017,True
pge,VACA DIXON,38.39965913851507,-121.920052746684,12.0,,,North Bay,6359.0,42.195,54.037,96.232,,,,3.0,,,,,,,,,,,No,,,False,True,8706,115,38.40111887,-121.92076,0.17362181474134772,True
pge,NEW HOPE,38.226101912543534,-121.47310289510555,12.0,,,Stockton,16208.0,0.86,2.514,3.374,,,,1.0,,,,,,,,,,,No,,,False,True,821,66,38.22554469,-121.4739245,0.09481498579082619,True
