osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
Potrero Converter Station,Potrero Converter Station,,distance_iou,IOU,pge,SF A (POTRERO),0.128,37.7548687,-122.3859286,469210393,way
Potrero Switchyard,Potrero Switchyard,Pacific Gas and Electric,distance_iou,IOU,pge,SF A (POTRERO),0.096,37.7568233,-122.3860796,14391219,relation
SF A (POTRERO) (PGE),,,distance_iou,IOU,pge,SF A (POTRERO),0.594,37.7605417,-122.3898326,11558076477,node
SF E (PGE),,,distance_iou,IOU,pge,SF E,0.779,37.7641586,-122.4131936,11556204909,node
Station E,Station E,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF E,0.001,37.7599745,-122.4203108,260130000,way
Martin Substation,Martin Substation,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF H (MARTIN),0.058,37.7037524,-122.4094087,29399992,way
Paralleling Station 2,Paralleling Station 2,Caltrain,distance_iou,IOU,pge,SF H (MARTIN),0.885,37.7094241,-122.4015557,1028573276,way
Substation M,Substation M,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF M,0.005,37.7334623,-122.4305302,1060956895,way
Station N,Station N,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF N,0.007,37.761336,-122.4664798,1060958057,way
Hunters Point Substation,Hunters Point Substation,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF P (HUNTERS POINT),0.049,37.73689,-122.3769706,1081705952,way
SF P (HUNTERS POINT) (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF P (HUNTERS POINT),0.346,37.734021,-122.3765914,1151374875,way
SF P (HUNTERS POINT) (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF P (HUNTERS POINT),0.218,37.7375239,-122.3798919,1151374889,way
Larkin Substation,Larkin Substation,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF X (MISSION),0.723,37.7836728,-122.4170502,71209428,way
SF X (MISSION) (PGE),,,distance_iou,IOU,pge,SF X (MISSION),0.440,37.7735809,-122.4140407,12648695220,node
Station I,Station I,Pacific Gas and Electric Company,distance_iou,IOU,pge,SF X (MISSION),0.143,37.7774077,-122.4127449,580855917,way
SHADY GLEN (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,SHADY GLEN,0.074,39.1153654,-120.9529707,112113904,way
SHAFTER (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,SHAFTER,0.024,35.513853,-119.3175451,1266861389,way
SHEPHERD (PGE),,,distance_iou,IOU,pge,SHEPHERD,0.065,36.8730913,-119.6940145,1187863003,way
Saint Helena Substation,Saint Helena Substation,Pacific Gas and Electric Company,distance_iou,IOU,pge,SILVERADO,0.028,38.4998097,-122.4591906,1357563547,way
SISQUOC (PGE),,,distance_iou,IOU,pge,SISQUOC,0.033,34.8786007,-120.3306535,1055268668,way
Smartsville Substation,Smartsville Substation,Pacific Gas and Electric,distance_iou,IOU,pge,SMARTVILLE,0.039,39.2086928,-121.3030354,727674147,way
SMYRNA (PGE),,,distance_iou,IOU,pge,SMYRNA,0.106,35.7170455,-119.4556444,761043369,way
SMYRNA (PGE),,,distance_iou,IOU,pge,SMYRNA,0.008,35.7179061,-119.4553576,761043370,way
SPENCE (PGE),,,distance_iou,IOU,pge,SPENCE,0.035,36.6138688,-121.5670339,1485095122,way
SPRING GAP (PGE),,,distance_iou,IOU,pge,SPRING GAP,0.066,38.1865762,-120.1121235,94735758,node
STAFFORD (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,STAFFORD,0.014,38.1199491,-122.6140482,655475551,way
STILLWATER (PGE),,,distance_iou,IOU,pge,STILLWATER,0.293,40.6802038,-122.3504015,6444250068,node
STILLWATER (PGE),,,distance_iou,IOU,pge,STILLWATER,0.016,40.6777475,-122.3498458,446979266,way
STOCKDALE (PGE),,,distance_iou,IOU,pge,STOCKDALE,0.075,35.3170932,-119.0677089,168525616,way
STOCKTON A (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,STOCKTON A,0.020,37.9471337,-121.28894,1271285444,way
STOCKTON ACRES (PGE),,,distance_iou,IOU,pge,STOCKTON ACRES,0.028,37.9632791,-121.3234847,1485095223,way
STONE (PGE),,,distance_iou,IOU,pge,STONE,0.063,37.3042054,-121.8674805,885674733,way
STONE CORRAL (PGE),,,distance_iou,IOU,pge,STONE CORRAL,0.051,36.4721467,-119.1881371,1485094916,way
STOREY (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,STOREY,0.012,36.9831109,-120.0334175,182627500,way
STROUD (PGE),,,distance_iou,IOU,pge,STROUD,0.019,36.5310961,-120.1045189,1441506890,way
SUMMIT (PGE),,Pacific Gas and Electric,distance_iou,IOU,pge,SUMMIT,0.035,39.3192863,-120.378842,1307164084,way
SUNOL (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,SUNOL,0.012,37.5868947,-121.8697598,1250036872,way
TAFT (PGE),,,distance_iou,IOU,pge,TAFT,0.040,35.1360304,-119.4819164,174574972,way
TAMARACK (PGE),,,distance_iou,IOU,pge,TAMARACK,0.062,39.3138778,-120.4969157,170053622,way
TEJON (PGE),,,distance_iou,IOU,pge,TEJON,0.044,35.0194902,-118.9549466,1352468564,way
TEMBLOR (PGE),,,distance_iou,IOU,pge,TEMBLOR,0.050,35.3827737,-119.6962548,93521008,way
TERMINOUS (PGE),,,distance_iou,IOU,pge,TERMINOUS,0.101,38.1164692,-121.4222074,1485391941,way
TIDEWATER (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,TIDEWATER,0.088,38.0197579,-122.0618121,35640786,way
TIDEWATER (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,TIDEWATER,0.270,38.0181619,-122.061375,403208540,way
TIVY VALLEY (PGE),,,distance_iou,IOU,pge,TIVY VALLEY,0.061,36.7706027,-119.3933425,1275887109,way
Ladrino Foods,Ladrino Foods,,distance_iou,IOU,pge,TRACY,0.893,37.7561118,-121.4168439,713948718,way
TRES VIAS (PGE),,,distance_iou,IOU,pge,TRES VIAS,0.052,39.4867693,-121.6881014,1492309903,way
TRINIDAD (PGE),,Pacific Gas and Electric,distance_iou,IOU,pge,TRINIDAD,0.039,41.0647039,-124.1284562,1249189061,way
TUDOR (PGE),,,distance_iou,IOU,pge,TUDOR,0.017,38.9816588,-121.6351845,1485095185,way
TULARE LAKE (PGE),,,distance_iou,IOU,pge,TULARE LAKE,0.030,36.0035132,-119.9493997,1485095034,way
TUPMAN (PGE),,,distance_iou,IOU,pge,TUPMAN,0.084,35.35389,-119.2709034,1307274531,way
TYLER (PGE),,,distance_iou,IOU,pge,TYLER,0.036,40.1383072,-122.2087707,899108228,way
UKIAH (PGE),,,distance_iou,IOU,pge,UKIAH,0.022,39.1431634,-123.1918286,461069558,way
UKIAH (PGE),,,distance_iou,IOU,pge,UKIAH,0.623,39.1437436,-123.1989008,461624185,way
UKIAH (PGE),,,distance_iou,IOU,pge,UKIAH,0.558,39.1442399,-123.1980033,461624187,way
UKIAH (PGE),,,distance_iou,IOU,pge,UKIAH,0.623,39.1437445,-123.1989033,1435784767,way
UPPER LAKE (PGE),,,distance_iou,IOU,pge,UPPER LAKE,0.051,39.1457165,-122.9166979,838867895,way
VALLEJO B (PGE),,,distance_iou,IOU,pge,VALLEJO B,0.035,38.1064744,-122.2411716,1485095163,way
VALLEJO C (PGE),,,distance_iou,IOU,pge,VALLEJO C,0.031,38.0983921,-122.2531397,403511877,way
VASCO (PGE),,,distance_iou,IOU,pge,VASCO,0.030,37.7111379,-121.7159456,1305401004,way
VICTOR (PGE),,,distance_iou,IOU,pge,VICTOR,0.052,38.145518,-121.1775264,1524702629,way
VIEJO (PGE),,,distance_iou,IOU,pge,VIEJO,0.030,36.5783359,-121.9084592,156763797,way
VINA (PGE),,,distance_iou,IOU,pge,VINA,0.036,39.9416557,-122.0417048,915755348,way
VOLTA (PGE),,,distance_iou,IOU,pge,VOLTA,0.112,40.4595446,-121.8664397,710467872,way
WAHTOKE (PGE),,,distance_iou,IOU,pge,WAHTOKE,0.035,36.6153748,-119.4525939,1275887055,way
WATSONVILLE (PGE),,,distance_iou,IOU,pge,WATSONVILLE,0.069,36.9026924,-121.7559426,1485095129,way
WATSONVILLE (PGE),,,distance_iou,IOU,pge,WATSONVILLE,0.674,36.9027847,-121.7639087,1485095130,way
WEBER (PGE),,,distance_iou,IOU,pge,WEBER,0.037,37.9200059,-121.2403295,151393781,way
WEEDPATCH (PGE),,,distance_iou,IOU,pge,WEEDPATCH,0.018,35.2240527,-118.8800753,1485095069,way
WEIMAR (PGE),,,distance_iou,IOU,pge,WEIMAR,0.028,39.0359567,-120.9879909,112548854,way
WELLFIELD (PGE),,,distance_iou,IOU,pge,WELLFIELD,0.094,35.2243036,-118.7789782,1469474880,way
WEST FRESNO (PGE),,,distance_iou,IOU,pge,WEST FRESNO,0.042,36.7182857,-119.8187688,1029122075,way
WEST POINT (PGE),,,distance_iou,IOU,pge,WEST POINT,0.060,38.4209936,-120.5495158,1469474894,way
WESTLEY (PGE),,,distance_iou,IOU,pge,WESTLEY,0.052,37.579608,-121.2059379,1451420726,way
WESTPARK (PGE),,,distance_iou,IOU,pge,WESTPARK,0.010,35.3740787,-119.0402314,169286846,way
WHISMAN (PGE),,,distance_iou,IOU,pge,WHISMAN,0.043,37.404997,-122.0685428,42391155,way
WHITMORE (PGE),,,distance_iou,IOU,pge,WHITMORE,0.061,40.6290792,-121.9158767,1049171990,way
WILKINS SLOUGH (PGE),,,distance_iou,IOU,pge,WILKINS SLOUGH,0.074,39.005817,-121.8671255,1241528654,way
WILLIAMS (PGE),,,distance_iou,IOU,pge,WILLIAMS,0.004,39.1575088,-122.1477824,1492309909,way
WILLITS (PGE),,,distance_iou,IOU,pge,WILLITS,0.013,39.4055686,-123.3270867,1485094873,way
WILLOW CREEK (PGE),,,distance_iou,IOU,pge,WILLOW CREEK,0.022,40.9478377,-123.6400589,1201559841,way
WILLOWS A (PGE),,,distance_iou,IOU,pge,WILLOWS A,0.023,39.5316877,-122.1860942,1104892917,way
WINDSOR (PGE),,,distance_iou,IOU,pge,WINDSOR,0.001,38.5659208,-122.8323955,1471848144,way
WOODACRE (PGE),,,distance_iou,IOU,pge,WOODACRE,0.053,38.0120942,-122.65368,1225793762,way
WRIGHT (PGE),,,distance_iou,IOU,pge,WRIGHT,0.052,37.0135164,-120.9450637,1176969043,way
ZACA (PGE),,Pacific Gas and Electric Company,distance_iou,IOU,pge,ZACA,0.022,34.6967035,-120.1514848,1442946082,way
Acton (SCE),,,distance_iou,IOU,sce,Acton,0.200,34.5102056,-118.1993978,1450139149,way
Alder (SCE),,,distance_iou,IOU,sce,Alder,0.022,34.1354129,-117.4091949,1023480895,way
Alder (SCE),,,distance_iou,IOU,sce,Alder,0.684,34.1376252,-117.4158806,1436623111,way
Alessandro (SCE),,,distance_iou,IOU,sce,Alessandro,0.180,33.9015345,-117.2198637,1113503924,way
Alhambra (SCE),,,distance_iou,IOU,sce,Alhambra,0.039,34.0911856,-118.1492356,900633889,way
Alhambra (SCE),,,distance_iou,IOU,sce,Alhambra,0.857,34.0845363,-118.1444479,900633890,way
Alon (SCE),,,distance_iou,IOU,sce,Alon,0.025,33.8349104,-118.2473987,605263053,way
Alon (SCE),,,distance_iou,IOU,sce,Alon,0.615,33.8396262,-118.2443478,682586346,way
Amalia (SCE),,,distance_iou,IOU,sce,Amalia,0.013,34.0243952,-118.1546344,1485094982,way
Amboy (SCE),,,distance_iou,IOU,sce,Amboy,0.245,34.5510359,-115.7453536,1124338253,way
Anaverde (SCE),,,distance_iou,IOU,sce,Anaverde,0.129,34.5674352,-118.1476316,1306912017,way
Aqueduct (SCE),,,distance_iou,IOU,sce,Aqueduct,0.045,34.4152431,-117.3558723,19690691,relation
Archline (SCE),,,distance_iou,IOU,sce,Archline,0.013,34.1209735,-117.5841561,1024712990,way
Arro (SCE),,,distance_iou,IOU,sce,Arro,0.035,34.1422624,-117.2901179,1282256645,way
Arrowhead (SCE),,,distance_iou,IOU,sce,Arrowhead,0.137,34.2834116,-117.2163279,766590837,way
Arroyo (SCE),,,distance_iou,IOU,sce,Arroyo,0.207,34.1996412,-118.1705011,233472857,way
Athens (SCE),,,distance_iou,IOU,sce,Athens,0.035,33.9165275,-118.2385709,682327468,way
Atwood (SCE),,Southern California Edison,distance_iou,IOU,sce,Atwood,0.025,33.8802647,-117.8320748,383857700,way
Auld (SCE),,Southern California Edison,distance_iou,IOU,sce,Auld,0.165,33.5972617,-117.1375011,165502975,way
Bain (SCE),,,distance_iou,IOU,sce,Bain,0.133,34.0112567,-117.506197,85900473,way
Banning (SCE),,,distance_iou,IOU,sce,Banning,0.011,33.9225392,-116.8728829,385487194,way
Banning (SCE),,,distance_iou,IOU,sce,Banning,0.324,33.9212445,-116.876041,859725888,way
Barre (SCE),,,distance_iou,IOU,sce,Barre,0.429,33.8067681,-117.9866609,1072883368,way
Barstow (SCE),,,distance_iou,IOU,sce,Barstow,0.002,34.9010585,-117.022138,459420209,way
Bassett (SCE),,Southern California Edison,distance_iou,IOU,sce,Bassett,0.053,34.0474818,-117.9557109,384972401,way
Basta (SCE),,,distance_iou,IOU,sce,Basta,0.053,33.8694292,-117.9597064,599601951,way
Bayside (SCE),,Southern California Edison,distance_iou,IOU,sce,Bayside,0.024,33.6568241,-117.9070255,384189505,way
Beaumont (SCE),,,distance_iou,IOU,sce,Beaumont,0.022,33.9337913,-116.9837428,1485094965,way
Belding (SCE),,,distance_iou,IOU,sce,Belding,0.091,33.8301495,-116.514876,1485094957,way
Belmont (SCE),,,distance_iou,IOU,sce,Belmont,0.015,33.7813232,-118.1499251,1485094975,way
Belvedere (SCE),,,distance_iou,IOU,sce,Belvedere,0.009,34.0365329,-118.1789751,1424260384,way
Big Bend Bia (SCE),,,distance_iou,IOU,sce,Big Bend Bia,0.161,34.2606664,-114.1681421,1485095292,way
Bloomington (SCE),,,distance_iou,IOU,sce,Bloomington,0.149,34.0492321,-117.4001511,819500191,way
Bluff Cove (SCE),,,distance_iou,IOU,sce,Bluff Cove,0.038,33.7796245,-118.3873924,1485094990,way
Blythe Substation,Blythe Substation,,distance_iou,IOU,sce,Blythe (Walc),0.050,33.6112925,-114.6802861,166649166,way
Buck Substation,Buck Substation,,distance_iou,IOU,sce,Blythe (Walc),0.630,33.6162055,-114.6846393,166649172,way
Blythe City (SCE),,,distance_iou,IOU,sce,Blythe City,0.030,33.6059811,-114.5998604,103497525,way
Bowl (SCE),,,distance_iou,IOU,sce,Bowl,0.034,33.793221,-118.1723288,160066107,way
Boxwood (SCE),,Southern California Edison,distance_iou,IOU,sce,Boxwood,0.059,36.1266341,-118.8214516,1227920065,way
Bradbury (SCE),,Southern California Edison,distance_iou,IOU,sce,Bradbury,0.041,34.1337444,-117.9873108,384972411,way
Brea (SCE),,,distance_iou,IOU,sce,Brea,0.125,33.9200607,-117.8480421,978035670,way
Brea (SCE),,,distance_iou,IOU,sce,Brea,0.426,33.9228276,-117.8472544,1294893541,way
Brewster (SCE),,,distance_iou,IOU,sce,Brewster,0.042,33.9207076,-118.1880326,1011137127,way
Bridge (SCE),,,distance_iou,IOU,sce,Bridge,0.024,33.8804212,-118.3259029,1463227365,way
Bridgeport (SCE),,,distance_iou,IOU,sce,Bridgeport,0.336,38.2183239,-119.2301178,1421424208,way
Brookhurst (SCE),,Southern California Edison,distance_iou,IOU,sce,Brookhurst,0.123,33.737053,-117.957124,391717047,way
Browning (SCE),,,distance_iou,IOU,sce,Browning,0.129,35.7037006,-119.204502,1469474885,way
Bryman (SCE),,,distance_iou,IOU,sce,Bryman,0.432,34.6820985,-117.3389224,1017858363,way
Bunker (SCE),,,distance_iou,IOU,sce,Bunker,0.104,33.8291508,-117.2123562,1283495855,way
Burnt Mill (SCE),,,distance_iou,IOU,sce,Burnt Mill,0.033,34.2344119,-117.2014566,1280463764,way
Cabazon (SCE),,,distance_iou,IOU,sce,Cabazon,0.059,33.9139658,-116.7838512,1485094964,way
Cabrillo (SCE),,,distance_iou,IOU,sce,Cabrillo,0.722,33.6779827,-117.8494704,184093235,way
Cabrillo (SCE),,,distance_iou,IOU,sce,Cabrillo,0.629,33.6767917,-117.8504611,184094642,way
Cabrillo (SCE),,,distance_iou,IOU,sce,Cabrillo,0.622,33.6766585,-117.8505981,184094643,way
Cabrillo (SCE),,,distance_iou,IOU,sce,Cabrillo,0.636,33.6768176,-117.8505703,184094644,way
Cady (SCE),,,distance_iou,IOU,sce,Cady,0.251,34.8367646,-116.6626697,1448445903,way
Cajalco (SCE),,,distance_iou,IOU,sce,Cajalco,0.077,33.8589102,-117.3263206,1295566690,way
Cal City 'A' (SCE),,,distance_iou,IOU,sce,Cal City 'A',0.117,35.142601,-117.9687303,471492134,way
Calden (SCE),,Southern California Edison,distance_iou,IOU,sce,Calden,0.017,33.9565367,-118.2323328,383664679,way
Cameron (SCE),,,distance_iou,IOU,sce,Cameron,0.015,33.819366,-118.2171518,74839034,way
Hinson Substation,Hinson Substation,Southern California Edison,distance_iou,IOU,sce,Cameron,0.483,33.8190324,-118.2223341,65411731,way
Cantil (SCE),,,distance_iou,IOU,sce,Cantil,0.348,35.3082132,-117.9502272,1485094931,way
Canyon (SCE),,,distance_iou,IOU,sce,Canyon,0.100,33.8714235,-117.7469959,1245960929,way
Park Substation,Park Substation,Anaheim Public Utilities,distance_iou,IOU,sce,Canyon,0.801,33.8644368,-117.7466407,646210785,way
Capitan (SCE),,,distance_iou,IOU,sce,Capitan,0.495,34.4774058,-120.0419735,133439972,way
Capitan (SCE),,,distance_iou,IOU,sce,Capitan,0.560,34.4766846,-120.0423098,133439974,way
Carmenita (SCE),,,distance_iou,IOU,sce,Carmenita,0.009,33.9031696,-118.0472113,1485095002,way
Carodean (SCE),,,distance_iou,IOU,sce,Carodean,0.134,34.1490445,-116.1238066,1223375856,way
Carolina (SCE),,Southern California Edison,distance_iou,IOU,sce,Carolina,0.017,33.910112,-117.879551,200209234,way
Carpinteria (SCE),,Southern California Edison,distance_iou,IOU,sce,Carpinteria,0.072,34.4093022,-119.5151221,168216618,way
Carson (SCE),,,distance_iou,IOU,sce,Carson,0.011,33.8638238,-118.2170896,816993058,way
Carson (SCE),,,distance_iou,IOU,sce,Carson,0.573,33.862483,-118.2230336,1459549090,way
Casa Diablo (SCE),,,distance_iou,IOU,sce,Casa Diablo,0.585,37.6489969,-118.9167053,608967856,way
Casa Diablo (SCE),,,distance_iou,IOU,sce,Casa Diablo,0.372,37.6455272,-118.9146611,1485094891,way
Cedarwood (SCE),,,distance_iou,IOU,sce,Cedarwood,0.045,33.7534974,-117.9938024,1485094976,way
Channel Island (SCE),,,distance_iou,IOU,sce,Channel Island,0.787,34.1885529,-119.2246028,61014380,way
Chase (SCE),,Southern California Edison,distance_iou,IOU,sce,Chase,0.034,33.8450188,-117.5377709,395530785,way
Chatsworth (SCE),,,distance_iou,IOU,sce,Chatsworth,0.856,34.2283491,-118.704395,1485095021,way
Chatsworth (SCE),,,distance_iou,IOU,sce,Chatsworth,0.884,34.231848,-118.7104176,1485095022,way
Cherry (SCE),,,distance_iou,IOU,sce,Cherry,0.032,33.7786069,-118.1833324,134659111,way
Clark (SCE),,Southern California Edison,distance_iou,IOU,sce,Clark,0.033,33.7957894,-118.1070993,80361728,way
Aventura Substation,Aventura Substation,,distance_iou,IOU,sce,Coffee,0.075,33.9326134,-116.5043748,1284485105,way
Century Substation,Century Substation,City of Colton Electric Utility,distance_iou,IOU,sce,Colton,0.791,34.0600782,-117.3066348,1072883354,way
Colton (SCE),,,distance_iou,IOU,sce,Colton,0.073,34.058907,-117.3145089,1280463868,way
Colton (SCE),,City of Colton Electric Utility,distance_iou,IOU,sce,Colton,0.829,34.0636889,-117.3224167,1294858783,way
Columbine (SCE),,,distance_iou,IOU,sce,Columbine,0.255,35.8344378,-119.2097694,1081216293,way
Concho (SCE),,,distance_iou,IOU,sce,Concho,0.105,33.7574829,-116.3350735,1284460709,way
Converse Flats (SCE),,,distance_iou,IOU,sce,Converse Flats,0.232,34.195733,-116.9123491,1485094962,way
Corona (SCE),,,distance_iou,IOU,sce,Corona,0.663,33.8870688,-117.5776791,1295566673,way
Corum (SCE),,,distance_iou,IOU,sce,Corum,0.510,34.9406175,-117.9529632,460489457,way
Coso (SCE),,,distance_iou,IOU,sce,Coso,0.138,36.0827243,-117.9493424,308154686,way
Cottonwood (SCE),,,distance_iou,IOU,sce,Cottonwood,0.113,34.3725077,-116.8612117,1449655082,way
Crater (SCE),,Southern California Edison,distance_iou,IOU,sce,Crater,0.130,34.1069588,-118.7149187,167413781,way
Cucamonga (SCE),,,distance_iou,IOU,sce,Cucamonga,0.035,34.0842635,-117.5927641,1164332325,way
Sony Substation,Sony Substation,Southern California Edison,distance_iou,IOU,sce,Culver,0.031,34.0147142,-118.4023617,393484026,way
Cypress (SCE),,Southern California Edison,distance_iou,IOU,sce,Cypress,0.042,33.8095612,-118.0725383,384722368,way
Daisy (SCE),,,distance_iou,IOU,sce,Daisy,0.069,33.7881619,-118.2006464,697678938,way
Dalton (SCE),,Southern California Edison,distance_iou,IOU,sce,Dalton,0.017,34.1137735,-117.9330978,384972418,way
Dalton (SCE),,,distance_iou,IOU,sce,Dalton,0.904,34.1139303,-117.9234647,923601234,way
Dalton (SCE),,,distance_iou,IOU,sce,Dalton,0.252,34.1118165,-117.931908,1296518251,way
Declez (SCE),,,distance_iou,IOU,sce,Declez,0.652,34.0799209,-117.4934746,1295105201,way
Declez (SCE),,,distance_iou,IOU,sce,Declez,0.828,34.083858,-117.4927433,1295105207,way
Deep Springs (SCE),,,distance_iou,IOU,sce,Deep Springs,0.193,37.3743777,-117.9796028,1485094894,way
Defrain (SCE),,,distance_iou,IOU,sce,Defrain,0.112,33.6604101,-114.6237462,1492309467,way
Del Rosa (SCE),,,distance_iou,IOU,sce,Del Rosa,0.060,34.1499526,-117.2515759,124693313,way
Del Sur (SCE),,Southern California Edison,distance_iou,IOU,sce,Del Sur,0.078,34.7180347,-118.2888624,88777861,way
Del Sur (SCE),,,distance_iou,IOU,sce,Del Sur,0.592,34.7187482,-118.2944332,597452237,way
Del Sur (SCE),,,distance_iou,IOU,sce,Del Sur,0.218,34.7161545,-118.288816,877363973,way
Delano (SCE),,,distance_iou,IOU,sce,Delano,0.029,35.7753889,-119.2424371,175370656,way
Desert Outpost (SCE),,,distance_iou,IOU,sce,Desert Outpost,0.001,33.8084106,-116.4726434,1252946317,way
Devers (SCE),,,distance_iou,IOU,sce,Devers,0.678,33.9310897,-116.5719138,1270541455,way
Diamond Bar (SCE),,Southern California Edison,distance_iou,IOU,sce,Diamond Bar,0.128,34.0029189,-117.8112342,461747107,way
Dike (SCE),,Southern California Edison,distance_iou,IOU,sce,Dike,0.443,33.7655334,-118.225105,389174031,way
Dike (SCE),,,distance_iou,IOU,sce,Dike,0.078,33.762246,-118.2230036,1059438605,way
Dike (SCE),,,distance_iou,IOU,sce,Dike,0.642,33.756808,-118.2203557,1296516941,way
Downey (SCE),,,distance_iou,IOU,sce,Downey,0.021,33.9373114,-118.1298989,1041825015,way
Downs Substation+,Downs Substation+,Southern California Edison,distance_iou,IOU,sce,Downs,0.162,35.6218268,-117.6889085,174012681,way
Duarte (SCE),,,distance_iou,IOU,sce,Duarte,0.016,34.1386457,-117.9657713,1047533879,way
Dunn Siding (SCE),,,distance_iou,IOU,sce,Dunn Siding,0.252,35.0494486,-116.4400806,81232912,way
Earlimart (SCE),,,distance_iou,IOU,sce,Earlimart,0.171,35.8922373,-119.2508258,1485095085,way
East Barstow (SCE),,,distance_iou,IOU,sce,East Barstow,0.043,34.8900911,-117.0019032,1224935019,way
Edwards (SCE),,,distance_iou,IOU,sce,Edwards,0.818,34.9846746,-117.8909666,164863244,way
Edwards (SCE),,,distance_iou,IOU,sce,Edwards,0.732,34.983909,-117.8911526,164863246,way
El Casco (SCE),,,distance_iou,IOU,sce,El Casco,0.088,33.9664915,-117.0769316,587541956,way
El Nido (SCE),,Southern California Edison,distance_iou,IOU,sce,El Nido,0.016,33.8961005,-118.3727161,75206072,way
El Nido (SCE),,,distance_iou,IOU,sce,El Nido,0.561,33.891435,-118.3751221,1461849022,way
Elizabeth Lake (SCE),,,distance_iou,IOU,sce,Elizabeth Lake,0.128,34.491093,-118.6164345,168229990,way
Ellis (SCE),,,distance_iou,IOU,sce,Ellis,0.210,33.6872014,-117.942602,1296517408,way
Ellis (SCE),,,distance_iou,IOU,sce,Ellis,0.492,33.6897008,-117.9448804,1296517409,way
Elsinore (SCE),,,distance_iou,IOU,sce,Elsinore,0.040,33.6743352,-117.3262596,1485094943,way
Ely (SCE),,,distance_iou,IOU,sce,Ely,0.040,33.8509975,-118.0278375,935669323,way
Eric (SCE),,,distance_iou,IOU,sce,Eric,0.008,33.879882,-118.0905546,1292124657,way
Etiwanda (SCE),,,distance_iou,IOU,sce,Etiwanda,0.185,34.0884983,-117.527171,77452154,way
Etiwanda (SCE),,,distance_iou,IOU,sce,Etiwanda,0.808,34.0929332,-117.5313494,1294858617,way
Etiwanda (SCE),,,distance_iou,IOU,sce,Etiwanda,0.781,34.0904483,-117.5333086,1294858621,way
Etiwanda (SCE),,,distance_iou,IOU,sce,Etiwanda,0.944,34.0929913,-117.5333852,1492294238,way
Rancho Vista Substation,Rancho Vista Substation,Southern California Edison,distance_iou,IOU,sce,Etiwanda,0.743,34.087978,-117.5337016,77452171,way
Euclid (SCE),,,distance_iou,IOU,sce,Euclid,0.056,34.0819318,-117.6323247,1302111187,way
Fogarty (SCE),,,distance_iou,IOU,sce,Fogarty,0.180,33.7019629,-117.3752297,417968939,way
Fogarty (SCE),,Southern California Edison,distance_iou,IOU,sce,Fogarty,0.093,33.7015988,-117.3742021,417968940,way
Fruitland (SCE),,,distance_iou,IOU,sce,Fruitland,0.816,33.9976492,-118.2179551,393312264,way
Fruitland (SCE),,,distance_iou,IOU,sce,Fruitland,0.623,33.9985074,-118.2204971,718232058,way
Fruitland (SCE),,,distance_iou,IOU,sce,Fruitland,0.967,34.0032645,-118.2326019,1450700178,way
Gale (SCE),,,distance_iou,IOU,sce,Gale,0.004,34.8589869,-116.8664567,81540064,way
Ganesha (SCE),,,distance_iou,IOU,sce,Ganesha,0.103,34.0574845,-117.7754386,717018856,way
Ganesha (SCE),,,distance_iou,IOU,sce,Ganesha,0.339,34.05949,-117.7738854,1294893482,way
Garfield (SCE),,,distance_iou,IOU,sce,Garfield,0.276,34.1286176,-118.1491701,458801027,way
Garfield (SCE),,,distance_iou,IOU,sce,Garfield,0.180,34.1277254,-118.1489398,460122549,way
Garfield (SCE),,,distance_iou,IOU,sce,Garfield,0.179,34.1277308,-118.1490082,460122550,way
Garfield (SCE),,,distance_iou,IOU,sce,Garfield,0.235,34.1282437,-118.149179,460122551,way
Garfield (SCE),,,distance_iou,IOU,sce,Garfield,0.115,34.125128,-118.1495772,686377343,way
Gavilan (SCE),,,distance_iou,IOU,sce,Gavilan,0.010,33.7844451,-117.2444489,1295566579,way
Gaviota (SCE),,,distance_iou,IOU,sce,Gaviota,0.034,34.4760497,-120.1993047,691769588,way
Genamic (SCE),,,distance_iou,IOU,sce,Genamic,0.105,34.0913161,-117.5666398,1294858626,way
George A.f.b. (SCE),,,distance_iou,IOU,sce,George A.f.b.,0.021,34.5800086,-117.3694372,1485094941,way
Gilbert (SCE),,,distance_iou,IOU,sce,Gilbert,0.121,33.8776041,-117.971871,693993426,way
Glen Avon (SCE),,,distance_iou,IOU,sce,Glen Avon,0.105,34.0050235,-117.4574339,1163784631,way
Goldhill (SCE),,,distance_iou,IOU,sce,Goldhill,0.215,34.3037366,-116.8200982,443155333,way
