osm_display_name,osm_original_name,osm_operator,match_type,match_source,match_util,matched_name,dist_km,osm_lat,osm_lon,osm_id,osm_type
Cottle Substation,Cottle Substation,Pacific Gas and Electric Company,name,IOU,pge,COTTLE,,37.7725291,-120.8264774,79249627,way
Cottonwood Substation,Cottonwood Substation,Pacific Gas and Electric Company,name,IOU,pge,COTTONWOOD,0.260,40.3979023,-122.2642981,93128755,way
Crows Landing Substation,Crows Landing Substation,TID,name,IOU,pge,CROWS LANDING,,37.6091235,-120.9928555,1484070421,way
Daly City Substation,Daly City Substation,Pacific Gas and Electric Company,name,IOU,pge,DALY CITY,,37.6917506,-122.4559637,30636431,way
Davis Substation,Davis Substation,Pacific Gas and Electric Company,name,IOU,pge,DAVIS,,38.5451944,-121.7340935,32547487,way
Davis Substation,Davis Substation,Port of Oakland Harbor Utilities,name,IOU,pge,DAVIS,,37.8090214,-122.3126984,280308288,way
Deepwater Substation,Deepwater Substation,Pacific Gas and Electric Company,name,IOU,pge,DEEPWATER,,38.5515846,-121.5598716,37003386,way
Del Mar Substation,Del Mar Substation,Pacific Gas and Electric,name,IOU,pge,DEL MAR,0.015,38.7987662,-121.221322,96637908,way
Diamond Springs Substation,Diamond Springs Substation,Pacific Gas and Electric,name,IOU,pge,DIAMOND SPRINGS,,38.6933241,-120.8258859,149817768,way
Dixon Substation,Dixon Substation,Pacific Gas and Electric Company,name,IOU,pge,DIXON,,38.4449851,-121.8262386,1094966789,way
Dumbarton Substation,Dumbarton Substation,Pacific Gas and Electric Company,name,IOU,pge,DUMBARTON,,37.5570702,-122.0578829,59470569,way
East Grand Substation,East Grand Substation,Pacific Gas and Electric Company,name,IOU,pge,EAST GRAND,,37.6533808,-122.4030565,25797771,way
East Marysville Substation,East Marysville Substation,Pacific Gas and Electric Company,name,IOU,pge,EAST MARYSVILLE,,39.1634541,-121.5611959,86803024,way
East Nicolaus Substation,East Nicolaus Substation,Pacific Gas and Electric Company,name,IOU,pge,EAST NICOLAUS,,38.9097437,-121.5424907,86463530,way
Edenvale,Edenvale,Pacific Gas and Electric Company,name,IOU,pge,EDENVALE,,37.2446077,-121.795775,23823577,way
Edes Substation,Edes Substation,Pacific Gas and Electric,name,IOU,pge,EDES,,37.738557,-122.1937797,181389084,way
Eight Mile Substation,Eight Mile Substation,Pacific Gas and Electric Company,name,IOU,pge,EIGHT MILE,,38.058747,-121.3768414,24064886,way
El Cerrito G Substation,El Cerrito G Substation,Pacific Gas and Electric Company,name,IOU,pge,EL CERRITO G,,37.9162218,-122.3025375,43951315,way
El Patio Substation,El Patio Substation,Pacific Gas and Electric Company,name,IOU,pge,EL PATIO,,37.2916636,-121.9356896,117401235,way
Electra Substation,Electra Substation,Pacific Gas and Electric Company,name,IOU,pge,ELECTRA,,38.3315645,-120.6697458,1059983334,way
Elk Substation,Elk Substation,Pacific Gas and Electric Company,name,IOU,pge,ELK,,39.1293206,-123.7117919,1426769638,way
Emerald Lake Substation,Emerald Lake Substation,Pacific Gas and Electric Company,name,IOU,pge,EMERALD LAKE,,37.4616278,-122.2773497,807379856,way
ERTA Substation,ERTA Substation,,name,IOU,pge,ERTA,,36.9304959,-121.7642412,177526173,way
Fairmount Substation,Fairmount Substation,Pacific Gas and Electric,name,IOU,pge,FAIRMOUNT,,37.9021481,-122.2966647,757812163,way
Florence Substation,Florence Substation,Pacific Gas and Electric Company,name,IOU,pge,FLORENCE,,37.8364445,-122.220185,986835505,way
FMC Substation,FMC Substation,Pacific Gas and Electric Company,name,IOU,pge,FMC,,37.3472911,-121.921986,120359075,way
Foothill,Foothill,Pacific Gas and Electric Company,name,IOU,pge,FOOTHILL,,35.2866839,-120.7058811,328033896,way
Foothill Substation,Foothill Substation,Sacramento Municipal Utility District,name,IOU,pge,FOOTHILL,,38.6933668,-121.3473318,37112796,way
Franklin Substation,Franklin Substation,Pacific Gas and Electric Company,name,IOU,pge,FRANKLIN,,38.0121178,-122.264314,106479491,way
Franklin Substation,Franklin Substation,Sacramento Municipal Utility District,name,IOU,pge,FRANKLIN,,38.3745453,-121.4527759,968247269,way
Fremont Substation,Fremont Substation,Pacific Gas and Electric Company,name,IOU,pge,FREMONT,0.050,37.5413724,-121.9619995,51710408,way
French Camp Substation,French Camp Substation,Pacific Gas and Electric Company,name,IOU,pge,FRENCH CAMP,,37.8820813,-121.2904274,1493622955,way
Fulton Substation,Fulton Substation,Pacific Gas and Electric Company,name,IOU,pge,FULTON,,38.4977484,-122.7605687,170490300,way
Gates Substation,Gates Substation,Pacific Gas and Electric Company,name,IOU,pge,GATES,,36.1413374,-120.1256622,93251033,way
Gill Substation,Gill Substation,Pacific Gas and Electric Company,name,IOU,pge,GILL,,37.986802,-122.0403362,1180910603,way
Glenn Substation,Glenn Substation,Pacific Gas and Electric Company,name,IOU,pge,GLENN,,39.7778665,-122.1426369,181693250,way
Glenwood Substation,Glenwood Substation,Pacific Gas and Electric Company,name,IOU,pge,GLENWOOD,,37.4571649,-122.1869329,114438565,way
Goldtree,Goldtree,Pacific Gas and Electric Company,name,IOU,pge,GOLDTREE,,35.3199933,-120.6930975,328033897,way
Goldtree,Goldtree,Pacific Gas and Electric Company,name,IOU,pge,GOLDTREE,,35.3205354,-120.6931062,328033898,way
Goose Lake Substation,Goose Lake Substation,Pacific Gas and Electric Company,name,IOU,pge,GOOSE LAKE,,35.6016192,-119.5799622,1193280942,way
Goose Lake Substation,Goose Lake Substation,,name,IOU,pge,GOOSE LAKE,,41.487951,-120.5859538,1239524760,way
Grand Island Substation,Grand Island Substation,Pacific Gas and Electric Company,name,IOU,pge,GRAND ISLAND,,38.2315267,-121.5903858,405561526,way
Grant Substation,Grant Substation,Pacific Gas and Electric Company,name,IOU,pge,GRANT,,37.671444,-122.1595919,33111585,way
Grass Valley Substation,Grass Valley Substation,NV Energy,name,IOU,pge,GRASS VALLEY,,40.9343009,-117.7464607,1131099802,way
Green Valley Substation,Green Valley Substation,Pacific Gas and Electric Company,name,IOU,pge,GREEN VALLEY,,36.9520512,-121.7604186,24397698,way
Gustine Substation,Gustine Substation,Pacific Gas and Electric Company,name,IOU,pge,GUSTINE,,37.2531976,-121.0129501,167405005,way
Half Moon Bay Substation,Half Moon Bay Substation,Pacific Gas and Electric Company,name,IOU,pge,HALF MOON BAY,,37.4689833,-122.4302864,1039239470,way
Hamilton Branch Substation,Hamilton Branch Substation,,name,IOU,pge,HAMILTON BRANCH,,40.2693221,-121.0881158,1058982567,way
Harris Substation,Harris Substation,,name,IOU,pge,HARRIS,,35.143955,-114.0868115,82005353,way
Henrietta Substation,Henrietta Substation,Pacific Gas and Electric Company,name,IOU,pge,HENRIETTA,,36.2421264,-119.9028971,182604562,way
Hicks Substation,Hicks Substation,Pacific Gas and Electric Company,name,IOU,pge,HICKS,,37.2336481,-121.9007517,112568707,way
Higgins Substation,Higgins Substation,Pacific Gas and Electric Company,name,IOU,pge,HIGGINS,,39.043888,-121.0906728,125280729,way
Hollywood Substation,Hollywood Substation,Pacific Gas and Electric Company,name,IOU,pge,HOLLYWOOD,,37.8129138,-122.2187712,476592707,way
Honcut Substation,Honcut Substation,Pacific Gas and Electric Company,name,IOU,pge,HONCUT,,39.3205795,-121.5953056,230129938,way
Horseshoe Substation,Horseshoe Substation,Pacific Gas and Electric Company,name,IOU,pge,HORSESHOE,,38.7443011,-121.1616444,30036269,way
Ignacio Substation,Ignacio Substation,Pacific Gas and Electric Company,name,IOU,pge,IGNACIO,,38.0767942,-122.5403588,33046461,way
Jameson Substation,Jameson Substation,Pacific Gas and Electric Company,name,IOU,pge,JAMESON,,38.2054582,-122.1479338,35921570,way
Judah Substation,Judah Substation,Pacific Gas and Electric Company,name,IOU,pge,JUDAH,,37.760724,-122.4935932,19772604,relation
Knights Landing Substation,Knights Landing Substation,,name,IOU,pge,KNIGHTS LANDING,,38.8093438,-121.7452013,480789960,way
