utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
sdge,ALPINE,32.83888956328325,-116.7726717306921,32.8277326448652,-116.78989426474809
sdge,ARTESIAN RANCH,33.0090573314948,-117.15110528451538,33.0211697190587,-117.13421778241116
sdge,BARRETT,32.659659096658075,-116.70118598909106,32.66719694583571,-116.70014267216516
sdge,BORDER,32.56861917203075,-116.9407818041129,32.56260275175198,-116.9431646234658
sdge,BORREGO,33.242891548049656,-116.34638794455222,33.2708611120085,-116.34821386814028
sdge,BOULEVARD EAST,32.658400194287246,-116.26859395520212,32.661739529548115,-116.2732725289124
sdge,CABRILLO,32.715978473390244,-117.23990304016904,32.7074829862412,-117.24505397835118
sdge,CAMERON,32.64087862662459,-116.5012543399666,32.65325187433884,-116.4881569523764
sdge,CHOLLAS WEST,32.7333877734591,-117.04860433615758,32.74376948691777,-117.04678614426518
sdge,DEL MAR,32.983129207248275,-117.23235769491863,32.98069444484518,-117.25537221760374
sdge,EASTGATE,32.88079314728578,-117.19125554657676,32.90195058475814,-117.22705613216144
sdge,GARFIELD,32.80156566285017,-116.99533176191096,32.795251019241434,-116.99678699823822
sdge,GRANITE,32.80452120677965,-116.89606021269968,32.80440833527524,-116.92088610907162
sdge,KEARNY WEST,32.82920357991212,-117.12974040131913,32.83287778257747,-117.13196111375102
sdge,LAS PULGAS,33.29347587780361,-117.4374611708617,33.31285000314811,-117.46692222705944
sdge,LOS COCHES,32.87495027255902,-116.89484641244428,32.85961372106041,-116.8992092308914
sdge,MISSION,32.783777411438024,-117.12572176243368,32.78402027400728,-117.13744314865468
sdge,OLIVENHAIN,33.08058418373013,-117.12129876052612,33.06849723734161,-117.14139443313611
sdge,PARADISE,32.69780480948839,-117.05558332585034,32.70448899050115,-117.04999499087356
sdge,PICO,33.472892946910534,-117.5978376945472,33.45687435488643,-117.58924261945327
sdge,RINCON,33.3314977237953,-116.95942186686835,33.28585277478773,-116.95865278109392
sdge,SALT CREEK,32.61813102263342,-116.95544089896852,,
sdge,SAN JUAN CAPISTRANO,33.51109710702923,-117.65620343526052,33.51258900550316,-117.6655339957112
sdge,SAN MARCOS,33.146046529695575,-117.17354825130366,33.128800007420104,-117.19723332903531
sdge,SAN MATEO,33.397185866986,-117.5390507183337,33.40946044243822,-117.5906118684413
sdge,SANTEE,32.85787851830011,-116.96354154047636,32.85443800932987,-116.9683690172454
sdge,SCRIPPS,32.917728946481574,-117.1044944697442,32.91098057774938,-117.11259445972686
sdge,STATION B,32.71544232812692,-117.16590840305273,32.71415112435967,-117.16950142258936
sdge,STUART,33.24049871074563,-117.40653089412962,33.256716665713604,-117.41657500124953
sdge,SUNNYSIDE,32.66621208946227,-117.0379402035208,32.658020010311176,-117.03031401811224
sdge,VALLEY CENTER,33.227784132577035,-116.99902954019036,33.230695105150254,-117.0184193402416
sdge,VINE,32.73922884457361,-117.1805786390423,,
sdge,WABASH CANYON,32.72991109316187,-117.09755129532914,32.730044002441986,-117.11096601432388
sdge,WARNERS,33.28849837496445,-116.6741364752788,33.24728884145393,-116.67593051694566
