utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
pge,FAMOSO,35.60547527167606,-119.20318663401906,35.60504032904604,-119.20365312438253
pge,FAIRVIEW,38.01590927413491,-122.11629244561098,38.01608705182072,-122.11628728147318
pge,STOCKTON A,37.94731136404815,-121.28897066909988,37.94745800461249,-121.2887219790938
pge,GOOSE LAKE,35.60174548016343,-119.57986582808483,35.60163890356536,-119.57988056253367
pge,PETALUMA C,38.23949974182017,-122.63676111116996,38.23908894718915,-122.63671235397786
pge,PERRY,35.57121004522495,-121.0559169553722,35.57091817059289,-121.05537112809648
pge,CALFLAX,36.28387686148028,-120.12208024379596,,
pge,STILLWATER,40.67760281495655,-122.34983936540058,40.67776349188238,-122.34977518071872
pge,VACA DIXON,38.39965913851507,-121.920052746684,38.40116764046183,-121.92078581127718
pge,NEW HOPE,38.226101912543534,-121.47310289510555,,
pge,MOUNTAIN QUARRIES,38.91439251858,-121.01899061136776,38.9140659675594,-121.01898220192484
pge,KEARNEY,36.706696128628494,-119.88009059611775,36.70679399597088,-119.880022999056
pge,DUMBARTON,37.55713232904114,-122.05834145293557,37.556992018214,-122.05794001685494
pge,DRUM,39.25637292962176,-120.76688167651604,39.25666722895088,-120.76679573880246
pge,MILLBRAE,37.6054239917948,-122.39200798842708,37.60593812655228,-122.39189344273694
pge,GUERNSEY,36.22643077790519,-119.65578907910825,36.226313369169056,-119.65522471160294
pge,WESTLEY,37.57919043551431,-121.20566160950838,37.5795778931092,-121.20596017237388
pge,CHOWCHILLA,37.12083563007519,-120.25043505532854,37.12056168878955,-120.25058468607872
pge,SF A (POTRERO),37.75597723579284,-122.38631343999468,,
pge,FOOTHILL,35.28648919476478,-120.7062571845936,35.28670653090418,-120.70591377619728
pge,EL NIDO,37.12088972778191,-120.47290782246549,37.12063344519221,-120.47269727142356
pge,LAKEWOOD,37.9088184998879,-122.0574732475179,37.90841012924259,-122.05733485714823
pge,LODI,38.137240812553664,-121.26217434307496,,
pge,ALHAMBRA,37.99408242188111,-122.13034397164172,37.9939232223922,-122.13011557123694
pge,IONE,38.37370944252769,-120.9571666049228,38.27717343458713,-120.91389953957184
pge,WESTPARK,35.37405023329696,-119.04033986202364,35.37392780753941,-119.04031665945443
pge,SALINAS,36.68286418701568,-121.651172576963,36.68227571857433,-121.65138546406432
pge,WILLITS,39.40550748378168,-123.32695422926648,39.40558965953939,-123.32707957151013
pge,MANTECA,37.8015045271901,-121.22348162992516,37.801133988578215,-121.22386999463303
pge,SAN MIGUEL,35.75222542522153,-120.68382054645429,35.75233608078926,-120.683966845535
pge,LOCKHEED NO 2,37.41633412032817,-122.03185703639838,,
pge,WRIGHT,37.01392488612878,-120.94478091254076,37.013411112949264,-120.9452333297489
pge,PLUMAS,39.0262294520019,-121.54346448414113,39.02624606204569,-121.5430520224537
pge,VICTOR,38.14519826927607,-121.1770973185347,38.14550601166566,-121.17758098211316
pge,EL DORADO PH,38.79358310217803,-120.61933508570162,38.79337762420475,-120.61931096873364
pge,NEWARK 12KV,37.50151207995332,-121.98896346778255,37.50087311537809,-121.98626242223652
pge,NARROWS,39.235347065419134,-121.26906719226427,39.23512866946219,-121.26863146830156
pge,UKIAH,39.14297181783122,-123.19174687279155,39.143149566432285,-123.19181491813512
pge,MESA,35.0078834935596,-120.45376497641756,35.00886455676995,-120.45319888309312
pge,LINCOLN,38.900472292516405,-121.29424750207652,38.90052330344682,-121.29409397354496
pge,HUMBOLDT BAY PP,40.74070324565622,-124.20905652543362,40.7403252642439,-124.20965592244193
pge,MORRO BAY,35.374352209340344,-120.85564135935418,35.37433961065797,-120.85601432618392
pge,HARDING,37.96361485228802,-121.29066673738885,37.96372898729796,-121.29038899788084
pge,GANSO,35.50133512445359,-119.44912437034876,35.50111516603199,-119.44896686745672
pge,RED BLUFF,40.1824640348198,-122.244707344526,40.18238661661079,-122.24461774556656
pge,SMARTVILLE,39.20859431679137,-121.30260526619712,39.20853388787,-121.30269852011072
pge,FAIRMOUNT,37.90189965591967,-122.29689529328267,37.90223219996787,-122.29662994323913
pge,LAKEVIEW,35.09364619774964,-119.10121328188974,35.094144434837254,-119.1011222366665
pge,LAS GALLINAS A,38.02256741456931,-122.53813147487423,38.02243332549303,-122.53794071204062
pge,PARADISE,39.76034094880524,-121.6190062372056,39.76066295290581,-121.61873043546984
pge,FRUITLAND,40.286587508255074,-123.83681278567364,40.28584174156862,-123.8373077081287
pge,CLEAR LAKE,39.007758745598494,-122.89345093801266,39.00776750858565,-122.89400077129945
pge,MAPLE,37.79719717055544,-122.2057538023828,,
pge,MARIPOSA,37.504521775185246,-120.00756996777992,37.50444462762693,-120.00778324285658
pge,SAN MATEO,37.58173090782904,-122.31998566182828,37.58307460925212,-122.31866392138384
pge,DINUBA,36.520228463825966,-119.3938871560341,,
pge,ELECTRA,38.33116093177938,-120.67246808322844,38.33132421900456,-120.6730350165961
pge,STUART,37.857984085569285,-122.26844071173984,37.85804465342326,-122.26868745271749
pge,TAFT,35.13623071502375,-119.48227773692136,,
pge,VOLTA,40.45943689773459,-121.8677559059613,40.45955126665701,-121.8664328193955
pge,CHALLENGE,39.48563129002225,-121.22014874811364,39.48525925803122,-121.22031867914004
pge,SPAULDING,39.32583317195124,-120.643761373542,,
pge,BANCROFT,37.74028783112764,-122.1548323818996,37.73986963293181,-122.15540723260396
pge,LAS PULGAS,37.46317528473907,-122.22801351794423,37.46284167816763,-122.22790555904724
pge,CABRILLO,34.643231832675774,-120.4373602032375,34.6432697885287,-120.43728019313264
pge,FIGARDEN,36.82143004382485,-119.85912186746845,36.82191866501834,-119.85892793129833
pge,BECK STREET,37.76624214689912,-122.17570399534448,,
pge,BARRETT,37.93963708159622,-122.3466580473046,37.93956363231305,-122.34723449027432
pge,MOUNTAIN VIEW,37.38264012657535,-122.06962750222034,37.38260833645474,-122.06971944286131
pge,SF X (MISSION),37.77752693688508,-122.41435930467767,37.77735297807763,-122.41382288375962
pge,LOS COCHES,36.36678536359205,-121.27993696622347,36.36646576287461,-121.28008081271584
pge,KANAKA,39.57508683288682,-121.30575066528326,,
pge,TRACY,37.74813194950613,-121.41575105836796,37.74881850754059,-121.41602183613314
