utility,substation_name,util_lat,util_lon,basin_lat,basin_lon
sce,Yorba Linda,33.88733323649356,-117.78769347091476,33.88892101378733,-117.7881479992034
sce,Wheatland,35.90907032166305,-119.14539393508598,35.91083610776031,-119.14446108176575
sce,Westfall P.m.,34.45401946062403,-119.74406674690124,,
sce,Walnut,34.008157000711364,-117.94978300159596,34.00827063933188,-117.94992779725725
sce,Wabash,34.04484523957108,-118.18648075138452,34.045131404052604,-118.1864239327024
sce,Viejo,33.66606548376288,-117.64214978596888,33.66700687753794,-117.64237505031316
sce,Victorville,34.53540675853123,-117.294669774305,34.53535065796395,-117.2951373726944
sce,Victor,34.506298377401684,-117.3891430075162,34.50494039543655,-117.38838687045426
sce,Valley,33.74010469194348,-117.15614491519052,33.73999442392952,-117.1561138094946
sce,Universal,34.143280476249465,-118.3563502272626,34.142978850609964,-118.35739656780592
sce,Trona,35.77288627156985,-117.37016716637036,35.76488065091537,-117.37544565456528
sce,Topaz,33.82759337136988,-118.3760024228016,33.827812080364,-118.376577638448
sce,Surrey U.g.s.,33.75575006143004,-118.3499964209899,,
sce,Sunnyside,33.85307933608597,-118.16722597153048,33.85318463226766,-118.16706732341676
sce,Sullivan,33.74482369756105,-117.90196420134929,33.74480503197076,-117.90193066093616
sce,Stoddard,34.09969444150969,-117.29255556004196,34.10043038954096,-117.2927013827737
sce,Soquel,33.96468399845458,-117.69453800145904,33.964033341743104,-117.69539724964706
sce,Second Avenue,33.69166725838854,-114.57157619474964,33.69094936188645,-114.57246759184142
sce,Santa Rosa,33.74892700398827,-116.39217399990532,33.74781667585365,-116.3920916618026
sce,San Miguel,34.25591599576859,-119.24186300527784,34.256077779219325,-119.24189166730032
sce,San Marcos,34.45246099694084,-119.76092699738685,34.451967855248554,-119.761398169901
sce,Safari,,,,
sce,Ritter Ranch,34.579690275477724,-118.20346616201272,34.557645375155964,-118.18024980001832
sce,Randolph,33.98239600018886,-118.20552199780366,33.98271475075549,-118.20531598574593
sce,Ramona,34.07033285280638,-118.12961267056764,34.06991918056235,-118.13002812005836
sce,Queen Mary U.g.s.,33.75011514963357,-118.19134574924804,,
sce,Quartz Hill,34.65937453883543,-118.2284403720392,34.659541198808625,-118.2282903141592
sce,Potrero,34.16193136185872,-118.83239843472316,34.16172599212937,-118.83478500897158
sce,Poole,,,,
sce,Pioneer,33.91555087546238,-118.0812231920912,33.91557578257503,-118.081148918095
sce,Pico,33.76557216615716,-118.20652702600002,33.76508980684087,-118.2066567454716
sce,Perry,33.86597598540991,-118.34851465647648,33.86598502250785,-118.34835543322347
sce,Perez,33.88195489732824,-117.588640200006,33.88193703196716,-117.58844825039245
sce,Peacock U.g.s.,33.78253081686645,-118.4057875936086,,
sce,Parker Strip,34.228937448042785,-114.19485474762315,,
sce,Olinda,33.94410562448348,-117.92123146814002,33.946272786610315,-117.92231009447764
sce,Oasis,34.64734114501825,-118.09535655203612,34.64671235483603,-118.09486397077988
sce,Oak Park,34.18538100573582,-118.78487940026751,34.18618553269401,-118.7847010837376
sce,O'neill,33.64322429575617,-117.60498583146834,,
sce,Newhall,34.37938862145633,-118.559385600556,34.379212989845584,-118.55917001654367
sce,Narrows,34.00569047028173,-118.0678933396348,34.00500608124564,-118.06683551304984
sce,Murphy,33.95412236073975,-118.0428351628798,33.95442599199879,-118.04310598240322
sce,Mountain Pass,,,,
sce,Mountain Pass A,35.503245795845864,-115.55128033550264,,
sce,Moraga,33.50381663134424,-117.13992278145687,33.50377500077366,-117.1404166593142
sce,Mesa,34.034754167307085,-118.1154212524564,34.037262821640034,-118.11047022572556
sce,Merced,34.049374439924925,-117.90667949875004,34.049725281541306,-117.90720639875798
sce,Maxwell,33.94767925464396,-117.242774990919,33.947166073644965,-117.24331358260132
