name,owner_raw,type,status,latitude,longitude,county,city
North Island,SDG&E,SUBSTATION,Operational,32.70509688,-117.18923968,San Diego County,Coronado
Naval Station,SDG&E,SUBSTATION,Operational,32.67076211,-117.11471374,San Diego County,National City
Unknown - 3689,SDGE Imperial,NOT AVAILABLE,Operational,32.78142132,-115.50945782,Imperial County,"El Centro, CA"
MMC Chula,SDG&E,SUBSTATION,Operational,32.59169005,-117.05851077,San Diego County,Chula Vista
Larkspur Energy Facility,SDG&E,SUBSTATION,Operational,32.56629037,-116.94431164,San Diego County,San Diego
Granite Hills Tap,SDGE Imperial,TAP,Operational,32.79069022,-116.89316314,San Diego County,Granite Hills
Unknown - 3751,SDGE Imperial,TAP,Operational,33.51412877,-117.66863562,Orange County,San Juan Capistrano
Unknown - 3804,SDGE Imperial,TAP,Operational,32.76965361,-116.69734202,San Diego County,
Unknown - 3869,SDGE Imperial,SUBSTATION,Operational,32.72910273,-115.5242733,Imperial County,Heber
Barrett - (SDG&E),SDG&E,SUBSTATION,Operational,32.66719217,-116.70013085,San Diego County,
Eastgate -  South,SDG&E,SUBSTATION,Operational,32.88484676,-117.20082653,San Diego County,San Diego
Unknown - 3893,SDGE Imperial,SUBSTATION,Operational,32.91035231,-117.11330139,San Diego County,San Diego
Alamorio - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.95317572,-115.42324696,Imperial County,
Unknown - 3911,SDGE Imperial,SUBSTATION,Operational,32.73817503,-114.71416104,Imperial County,
Unknown - 3925,SDGE Imperial,NOT AVAILABLE,Operational,32.75286168,-114.61596763,Imperial County,
Calpeak,SDGE Imperial,SUBSTATION,Operational,32.56702649,-116.94427176,San Diego County,San Diego
Unknown - 3960,SDGE Imperial,SUBSTATION,Operational,32.79685931,-116.971782,San Diego County,El Cajon
Garfield - (SDG&E),SDG&E,SUBSTATION,Operational,32.79524624,-116.99677512,San Diego County,El Cajon
Clark Helicopter,SDG&E,SUBSTATION,Operational,32.82938592,-116.96637944,San Diego County,El Cajon
Pico - (SDG&E),SDG&E,SUBSTATION,Operational,33.45686953,-117.58923059,Orange County,San Clemente
Unknown - 4428,SDGE Imperial,TAP,Operational,32.69397577,-115.33705768,Imperial County,
Unknown - 4429,SDGE Imperial,TAP,Operational,32.74763801,-117.22922546,San Diego County,San Diego
Unknown - 4430,SDGE Imperial,TAP,Operational,32.80667684,-117.21491768,San Diego County,San Diego
Unknown - 4437,SDGE Imperial,TAP,Operational,32.69612868,-117.04968785,San Diego County,San Diego
Otay Tap,SDGE Imperial,TAP,Operational,32.58935225,-117.05813613,San Diego County,San Diego
Unknown - 4030,SDGE Imperial,TAP,Operational,32.66778752,-116.69872579,San Diego County,
Unknown - 4056,SDGE Imperial,TAP,Operational,32.79754291,-116.4987782,San Diego County,
Unknown - 4068,SDGE Imperial,TAP,Operational,32.91295529,-115.53563603,Imperial County,
Warren Canyon Tap,SDGE Imperial,TAP,Operational,33.0221422,-117.0324921,San Diego County,Poway
Unknown - 4113,SDGE Imperial,TAP,Operational,32.65372248,-116.67962853,San Diego County,
Unknown - 4117,SDGE Imperial,SUBSTATION,Operational,32.70554297,-116.3421513,San Diego County,
Brawley,SDGE Imperial,SUBSTATION,Operational,32.90330169,-115.51284194,Imperial County,
Mesquite - (SDGE Imperial),SDGE Imperial,SUBSTATION,Operational,32.84750846,-115.51019742,Imperial County,
Unknown - 4149,SDGE Imperial,SUBSTATION,Operational,32.73453586,-115.7173368,Imperial County,
Unknown - 4151,SDGE Imperial,SUBSTATION,Operational,33.61924772,-117.70730863,Orange County,Lake Forest
Unknown - 4174,SDGE Imperial,SUBSTATION,Operational,32.73526558,-117.20792885,San Diego County,San Diego
Unknown - 4206,SDGE Imperial,SUBSTATION,Operational,32.75250365,-115.57765305,Imperial County,
Unknown - 4234,SDGE Imperial,RISER,Operational,32.8938167,-117.21133294,San Diego County,San Diego
Unknown - 4243,SDGE Imperial,SUBSTATION,Operational,32.7816771,-114.59043755,Imperial County,
Jamacha Tap,SDGE Imperial,TAP,Operational,32.72778823,-116.92535714,San Diego County,Jamul
Dunhill Tap,SDGE Imperial,TAP,Operational,32.90066522,-117.23006307,San Diego County,San Diego
Unknown - 4363,SDGE Imperial,TAP,Operational,33.22798856,-117.01988714,San Diego County,Valley Center
Border Tap,SDGE Imperial,TAP,Operational,32.59832024,-116.93940015,San Diego County,Chula Vista
Carlton Hills Tap,SDGE Imperial,TAP,Operational,32.86045571,-117.03389834,San Diego County,San Diego
Imperial Valley - (SDG&E),SDG&E,SUBSTATION,Operational,32.71794293,-115.71564984,Imperial County,
Capistrano,SDG&E,SUBSTATION,Operational,33.51258418,-117.66552195,Orange County,San Juan Capistrano
Alpine - SDG&E,SDG&E,SUBSTATION,Operational,32.82772785,-116.78988242,San Diego County,Alpine
Boulevard,SDG&E,SUBSTATION,Operational,32.6621752,-116.27218826,San Diego County,Boulevard
Cameron - (SDG&E),SDG&E,SUBSTATION,Operational,32.65324709,-116.48814517,San Diego County,Campo
Encina,SDG&E,SUBSTATION,Operational,33.1369612,-117.33550504,San Diego County,Carlsbad
Kearny,SDG&E,SUBSTATION,Operational,32.83304308,-117.13399048,San Diego County,San Diego
Los Coches - (SDG&E),SDG&E,SUBSTATION,Operational,32.85960893,-116.89919737,San Diego County,Lakeside
Miguel,SDG&E,SUBSTATION,Operational,32.67942885,-116.98398078,San Diego County,
Mission - (SDG&E),SDG&E,SUBSTATION,Operational,32.7840155,-117.13743125,San Diego County,San Diego
Penasquitos,SDG&E,SUBSTATION ASSUMED,Operational,32.91870708,-117.21912669,San Diego County,San Diego
Pendleton,SDG&E,SUBSTATION,Operational,33.30916463,-117.33502414,San Diego County,Camp Pendleton Mainside
San Marcos - (SDG&E),SDG&E,SUBSTATION,Operational,33.1287952,-117.19722139,San Diego County,San Marcos
Santee - (SDG&E),SDG&E,SUBSTATION,Operational,32.85443322,-116.96835714,San Diego County,Santee
Scripps - (SDG&E),SDG&E,SUBSTATION,Operational,32.91097579,-117.11258255,San Diego County,San Diego
Sycamore Canyon,SDG&E,SUBSTATION,Operational,32.91739381,-117.03111566,San Diego County,San Diego
Talega,SDG&E,SUBSTATION,Operational,33.4531076,-117.57144142,San Diego County,
ECO - East County,SDG&E,SUBSTATION,Operational,32.6272652,-116.11798829,San Diego County,
Valley Center - (SDG&E),SDG&E,SUBSTATION,Operational,33.23069028,-117.01840743,San Diego County,Valley Center
Loveland - (SDG&E),SDG&E,SUBSTATION,Operational,32.79697576,-116.79218816,San Diego County,ALPINE
Silvergate,SDG&E,SUBSTATION,Operational,32.69487768,-117.14325631,San Diego County,San Diego
North Gila - IV (Proposed),SDG&E,SUBSTATION,Operational,32.73610818,-115.21299074,Imperial,Bonds Corner
North Gila,SDG&E,SUBSTATION ASSUMED,Operational,32.7464981,-114.4903456,Yuma County,
Artesian,SDG&E,SUBSTATION,Operational,33.02116492,-117.13420586,San Diego County,San Diego
Otay Mesa - SDG&E,SDG&E,SUBSTATION,Operational,32.57412782,-116.91130947,San Diego County,
Suncrest,SDG&E,SUBSTATION,Operational,32.8090995,-116.68286701,San Diego County,
Ocotillo Express,SDG&E,SUBSTATION,Operational,32.74502518,-116.04198829,Imperial,Ocotillo
Bay Boulevard,SDG&E,SUBSTATION ASSUMED,Operational,32.60847334,-117.09431198,San Diego County,Chula Vista
Drop 4,SDGE Imperial,SUBSTATION,Proposed,32.70606959,-115.2178832,Imperial County,
Salt Creek - SDGE Imperial,SDG&E,SUBSTATION ASSUMED,,32.67824322,-116.98282028,San Diego,Bonita
Q1806,SDG&E,SUBSTATION ASSUMED,,33.53285517,-117.67692795,ORANGE,San Juan Capistrano
