name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 3422,SCE Metro,TAP,Operational,34.12234512,-117.97745685,Los Angeles County,Irwindale
Unknown - 3424,SCE Eastern,TAP,Operational,34.05162709,-117.34057697,San Bernardino County,Colton
Unknown - 3425,SCE Northern,TAP,Operational,34.80800829,-118.72182804,Los Angeles County,
Unknown - 3426,SCE Northern,TAP,Operational,34.71891068,-118.17910595,Los Angeles County,Lancaster
Unknown - 3430,SCE Eastern,TAP,Operational,34.08623709,-117.28187797,San Bernardino County,San Bernardino
Unknown - 3431,SCE Northern,TAP,Operational,34.45929366,-119.88014637,Santa Barbara County,
Unknown - 3432,SCE Metro,TAP,Operational,33.8642388,-118.22201777,Los Angeles County,"Los Angeles--Long Beach--Anaheim, CA"
Unknown - 3436,SCE Northern,TAP,Operational,34.76501148,-118.7224481,Los Angeles County,
Unknown - 3438,SCE Northern,TAP,Operational,35.83387121,-119.25011094,Tulare County,
Unknown - 3444,SCE Northern,TAP,Operational,34.18220992,-119.11807638,Ventura County,
Unknown - 3449,SCE Northern,TAP,Operational,36.12342626,-119.30402132,Tulare County,
Unknown - 3453,SCE Metro,TAP,Operational,33.80428765,-118.15863698,Los Angeles County,Long Beach
Unknown - 3455,SCE Northern,TAP,Operational,34.27909143,-118.72194469,Ventura County,Simi Valley
Unknown - 3458,SCE Eastern,TAP,Operational,33.92942589,-116.68049354,Riverside County,Whitewater
SS3145 Eagle Rock Tap 2,SCE Metro,TAP,Operational,34.10507968,-118.23794836,Los Angeles County,Los Angeles
Unknown - 3464,SCE Metro,TAP,Operational,33.92525515,-118.02450293,Los Angeles County,South Whittier
Unknown - 3465,SCE Eastern,TAP,Operational,34.05153842,-117.34042649,San Bernardino County,Colton
Unknown - 3466,SCE Eastern,TAP,Operational,34.02655908,-117.10314612,San Bernardino County,Yucaipa
Maxwell Tap,SCE Eastern,TAP,Operational,33.94677405,-117.26161104,Riverside County,Moreno Valley
Unknown - 3472,SCE Eastern,TAP,Operational,33.52523801,-116.13893085,Riverside County,Oasis
Unknown - 3476,SCE Metro,TAP,Operational,34.04247414,-118.18695262,Los Angeles County,East Los Angeles
Mayberry Tap,SCE Eastern,TAP,Operational,33.7804284,-116.98903735,Riverside County,San Jacinto
Glendale South Tap 1,SCE Metro,TAP,Operational,34.10464819,-118.23852928,Los Angeles County,Los Angeles
Unknown - 3487,SCE Metro,TAP,Operational,33.7600042,-117.83391931,Orange County,Tustin
Unknown - 3489,SCE Metro,TAP,Operational,33.70139717,-117.97804827,Orange County,Fountain Valley
