utility,substation_name,util_lat,util_lon,cec_lat,cec_lon,type,status
sce,Zanja,34.0771012471024,-117.0482596650986,34.07434204,-117.047633,SUBSTATION,Operational
sce,Zack,37.61765946953557,-118.39812584301389,37.61530123,-118.39708878,SUBSTATION,Operational
sce,Yukon,33.91848197061967,-118.33419932399528,33.91886575,-118.33457997,SUBSTATION,Operational
sce,Yucca,34.110269990643474,-116.42393043693389,34.11084558,-116.42341016,SUBSTATION,Operational
sce,Yucaipa,34.011475002600925,-117.05063600106736,34.01056043,-117.05135266,SUBSTATION,Operational
sce,Yermo,34.90380430987028,-116.8304800221454,34.90301216,-116.82934626,SUBSTATION,Operational
sce,Wrightwood,34.358789089374774,-117.62455154914956,34.35852446,-117.62413857,SUBSTATION,Operational
sce,Woodville,36.08093763508664,-119.1798849314082,36.08056164,-119.17913174,SUBSTATION,Operational
sce,Woodruff,33.89984786906628,-118.11810450380652,33.89972893,-118.11845811,SUBSTATION,Operational
sce,Windsor Hills,33.99634800774487,-118.3595474791942,33.99600058,-118.35918766,SUBSTATION,Operational
sce,Wimbledon,34.04876699907538,-117.52602400147798,34.04854105,-117.52492231,SUBSTATION,Operational
sce,Wilsona,34.57779896780533,-117.71848290632536,34.57930816,-117.71969554,SUBSTATION,Operational
sce,Whitewater,33.91842053947277,-116.6515872432899,33.92158128,-116.65017182,SUBSTATION,Operational
sce,White Mt.,37.41111132174783,-118.1871065087802,37.41164197,-118.18612423,SUBSTATION ASSUMED,Operational
sce,Whipple,34.2942366466893,-114.173217778462,34.29377789,-114.17245801,SUBSTATION ASSUMED,Operational
sce,West Riverside,,,34.00573674,-117.39243753,SUBSTATION,Operational
sce,West Barstow,34.892183998090665,-117.04953799793496,34.89160039,-117.04929993,SUBSTATION,Operational
sce,Weldon,35.6652036468452,-118.263673877955,35.66662776,-118.26280917,SUBSTATION,Operational
sce,Wave,33.665189014042795,-117.99721384787416,33.66558214,-117.99741685,SUBSTATION,Operational
sce,Watson,33.807991928350866,-118.26203446826712,33.80808916,-118.26171248,SUBSTATION,Operational
sce,Washington,33.75680600416409,-117.8592219959398,33.75604508,-117.85937684,SUBSTATION,Operational
sce,Walteria,33.791825341925005,-118.32361074976014,33.79195419,-118.32347481,SUBSTATION,Operational
sce,Walker Basin,35.41194348178334,-118.49270940903466,35.41102047,-118.49249566,SUBSTATION,Operational
sce,Wakefield,34.35645499933594,-119.05588600318704,34.35643714,-119.05589064,SUBSTATION,Operational
sce,Visalia,,,36.32978942,-119.27894854,SUBSTATION,Operational
sce,Villa Park,33.81402700329047,-117.8345340031481,33.81547675,-117.83438559,SUBSTATION,Operational
sce,Victoria,33.85900132801055,-118.3741593441038,33.85884923,-118.37419245,SUBSTATION,Operational
sce,Vestal,35.84537261092941,-119.085204100882,35.84173851,-119.08503548,SUBSTATION,Operational
sce,Verdant,33.41784425716497,-114.72418516485564,33.41858024,-114.72518842,SUBSTATION,Operational
sce,Vera,33.76554057259821,-117.9282905316424,33.76550314,-117.9284669,SUBSTATION,Operational
sce,Venida,36.32538250623872,-119.13453725693633,36.3253644,-119.13458469,SUBSTATION,Operational
sce,Venice Hill,36.4152409069544,-119.18981522163924,36.41428979,-119.18912308,SUBSTATION,Operational
sce,Vegas,34.449549339284125,-119.815908448548,34.44918128,-119.81585696,SUBSTATION,Operational
sce,Valdez,34.14792376295858,-118.6317477698814,34.14776352,-118.63178694,SUBSTATION,Operational
sce,Vail,34.00650048394172,-118.12826806795012,34.00677042,-118.12780378,SUBSTATION,Operational
sce,Upland,34.09358500389584,-117.65009700275988,34.09362011,-117.6500309,SUBSTATION,Operational
sce,Twentynine Palms,34.13828285410125,-116.05370462325484,34.13779315,-116.05369843,SUBSTATION,Operational
sce,Tulare,36.21283164375503,-119.32989254472216,36.21326999,-119.33058189,SUBSTATION,Operational
sce,Trophy,34.039299427293365,-117.81990120259648,34.04137112,-117.81816156,SUBSTATION,Operational
sce,Triton,33.542546289503576,-117.11486165160484,33.54211848,-117.11474747,SUBSTATION,Operational
sce,Trask,33.76640699726132,-117.97981700324527,33.76615818,-117.97955087,SUBSTATION,Operational
sce,Tortilla,34.86459543703928,-117.03035745997872,34.8632283,-117.03096851,SUBSTATION,Operational
sce,Torrance,33.829617505342334,-118.34459467876938,33.82984183,-118.34429679,SUBSTATION,Operational
sce,Tipton,36.05173057551146,-119.30475034619822,36.05188066,-119.30419941,SUBSTATION,Operational
sce,Tippecanoe,34.12086699889711,-117.25843800399126,34.12095364,-117.25831463,SUBSTATION,Operational
sce,Timoteo,34.062377610723054,-117.24403188200333,34.06214779,-117.24411791,SUBSTATION,Operational
sce,Timberwine,37.13603914241052,-119.26106387118564,37.13595414,-119.26082522,SUBSTATION,
sce,Three Rivers,36.45169228357878,-118.89043935860252,36.45348105,-118.88790412,SUBSTATION,Operational
sce,Thousand Oaks,34.188342099993754,-118.87204455280695,34.18755158,-118.87174559,SUBSTATION,Operational
sce,Thornhill,33.81351258763198,-116.53266202407576,33.8136534,-116.53203256,SUBSTATION,Operational
sce,Terrace,34.05727507993439,-118.18238468977091,34.05746155,-118.1822392,SUBSTATION,Operational
sce,Terra Bella,35.963920922490146,-119.0194234862961,35.96391881,-119.01846689,SUBSTATION,Operational
sce,Tennessee,34.02788977886522,-117.11081863473538,34.02717564,-117.11125469,SUBSTATION,Operational
