run,baseline,season,energy_relocated_pct,county_energy_relocated_pct,bus_hour_rmse_mw,bus_hour_nrmse_pct,mean_loaded_bus_mw_control,spearman_bus_energy,pearson_bus_energy,n_buses_control,n_buses_method,n_buses_both,jaccard_support,max_bus_gain_mwh,max_bus_loss_mwh,peak_bus_mw_control,peak_bus_mw_method,hourly_total_max_dev_mw
genx__env__prox__hold__static,genx__control,Winter,20.3145,7.6769,4.8266,54.9144,8.7893,0.7613,0.6824,2471,2466,2466,0.998,19197.2,-18691.4,142.8,146.5,0.0
genx__reedsco__catch__aratio__monthhour,genx__control,Winter,50.31,14.4084,7.6011,86.4809,8.7893,0.3917,0.3368,2471,3684,2426,0.6506,19358.2,-17827.7,142.8,240.0,0.0
genx__reedsco__namecatch__aratio__monthhour,genx__control,Winter,50.6298,14.4091,7.6449,86.9794,8.7893,0.3879,0.3255,2471,3688,2430,0.6516,19358.3,-17827.6,142.8,193.7,0.0
genx__reedsco__nameprox__aratio__monthhour,genx__control,Winter,48.0681,14.4051,6.4547,73.4375,8.7893,0.4071,0.3504,2471,3756,2461,0.6535,8695.7,-18503.4,142.8,90.0,0.0
genx__reedsco__prox__a0__monthhour,genx__control,Winter,58.5642,14.4094,11.6132,132.1279,8.7893,0.4628,0.2412,2471,1176,1075,0.418,80734.1,-18521.6,142.8,605.7,0.0
genx__reedsco__prox__a0__static,genx__control,Winter,58.5756,14.4095,11.0576,125.8074,8.7893,0.46,0.2393,2471,1176,1075,0.418,83403.4,-18521.6,142.8,616.1,0.0
genx__reedsco__prox__aratio__monthhour,genx__control,Winter,49.6573,14.4053,6.5546,74.5744,8.7893,0.4018,0.3343,2471,3762,2460,0.652,11581.2,-18503.6,142.8,161.9,0.0
genx__reedsco__prox__aratio__static,genx__control,Winter,49.6654,14.4059,6.4438,73.3143,8.7893,0.4026,0.3327,2471,3762,2460,0.652,9757.4,-18560.7,142.8,89.2,0.0
genx__stoch__catch__w2-mean__monthhour,genx__control,Winter,49.3581,16.8367,7.8472,89.2804,8.7893,0.4511,0.364,2471,3564,2421,0.6699,24633.3,-17903.0,142.8,300.8,0.0
genx__stoch__namecatch__w2-mean__monthhour,genx__control,Winter,49.0721,16.2406,7.6572,87.1188,8.7893,0.4516,0.3783,2471,3563,2423,0.671,24616.7,-17903.9,142.8,172.2,0.0
genx__stoch__nameprox__w1g30top-mean__monthhour,genx__control,Winter,44.9811,16.0191,6.3184,71.887,8.7893,0.4131,0.3325,2471,3423,2467,0.7199,11094.3,-18686.9,142.8,81.0,0.0
genx__stoch__prox__w1g30-d0__monthhour,genx__control,Winter,47.554,15.5604,9.1182,103.7411,8.7893,0.6747,0.4543,2471,1691,1691,0.6843,33431.1,-18521.6,142.8,396.0,0.0
genx__stoch__prox__w1g30-d1__monthhour,genx__control,Winter,47.4586,15.5598,9.0804,103.3119,8.7893,0.6782,0.4573,2471,1690,1690,0.6839,29591.0,-18521.6,142.8,411.6,0.0
genx__stoch__prox__w1g30-d2__monthhour,genx__control,Winter,47.4197,15.4931,9.0446,102.9038,8.7893,0.6751,0.4584,2471,1690,1690,0.6839,28930.2,-18521.6,142.8,410.7,0.0
genx__stoch__prox__w1g30-mean__monthhour,genx__control,Winter,47.4613,15.4584,9.0632,103.1154,8.7893,0.676,0.4578,2471,1690,1690,0.6839,29880.9,-18521.6,142.8,406.9,0.0
genx__stoch__prox__w1g30top-d0__monthhour,genx__control,Winter,43.3315,13.7536,6.3715,72.4908,8.7893,0.4737,0.3367,2471,3106,2467,0.7932,12580.6,-18710.2,142.8,166.5,0.0
genx__stoch__prox__w1g30top-d1__monthhour,genx__control,Winter,43.2454,13.6966,6.3602,72.363,8.7893,0.4752,0.3389,2471,3106,2467,0.7932,11118.7,-18702.3,142.8,172.9,0.0
genx__stoch__prox__w1g30top-d2__monthhour,genx__control,Winter,43.3037,13.7003,6.3538,72.2902,8.7893,0.4761,0.3396,2471,3106,2467,0.7932,10675.8,-18697.0,142.8,172.5,0.0
genx__stoch__prox__w1g30top-mean__monthhour,genx__control,Winter,43.2794,13.7108,6.3568,72.3245,8.7893,0.4747,0.3392,2471,3106,2467,0.7932,11074.9,-18705.2,142.8,171.0,0.0
genx__stoch__prox__w2-d0__monthhour,genx__control,Winter,19.9542,6.3094,5.0504,57.4608,8.7893,0.7616,0.6966,2471,2467,2467,0.9984,19381.9,-18633.3,142.8,244.6,0.0
genx__stoch__prox__w2-d1__monthhour,genx__control,Winter,19.8512,6.3106,5.0225,57.1432,8.7893,0.7641,0.699,2471,2467,2467,0.9984,17037.9,-18620.5,142.8,254.2,0.0
genx__stoch__prox__w2-d2__monthhour,genx__control,Winter,19.8785,6.278,5.0017,56.906,8.7893,0.7627,0.7006,2471,2467,2467,0.9984,16636.3,-18615.1,142.8,253.6,0.0
genx__stoch__prox__w2-mean__monthhour,genx__control,Winter,19.8734,6.2685,5.0121,57.0247,8.7893,0.763,0.6997,2471,2467,2467,0.9984,17214.5,-18625.8,142.8,251.3,0.0
genx__env__prox__hold__monthhour,genx__control,Spring,20.7364,8.7666,5.4524,62.4841,8.7261,0.7547,0.6566,2471,2468,2468,0.9988,28005.8,-18570.4,159.4,401.8,0.0
genx__env__prox__hold__static,genx__control,Spring,20.3137,7.6768,4.8,55.0073,8.7261,0.7613,0.6824,2471,2466,2466,0.998,19059.8,-18556.2,159.4,162.4,0.0
genx__reedsco__catch__aratio__monthhour,genx__control,Spring,50.3065,14.4078,7.6517,87.687,8.7261,0.3929,0.3399,2471,3700,2434,0.6513,27557.8,-17620.7,159.4,268.7,0.0
genx__reedsco__namecatch__aratio__monthhour,genx__control,Spring,50.6844,14.4072,7.6906,88.1336,8.7261,0.3893,0.327,2471,3690,2431,0.6517,27557.7,-17756.3,159.4,268.7,0.0
genx__reedsco__nameprox__aratio__monthhour,genx__control,Spring,48.0985,14.4051,6.425,73.6295,8.7261,0.4049,0.3505,2471,3761,2462,0.6531,8043.5,-18446.5,159.4,103.2,0.0
genx__reedsco__prox__a0__monthhour,genx__control,Spring,58.5587,14.4073,11.4491,131.2053,8.7261,0.4544,0.2422,2471,1179,1078,0.4191,74220.8,-18386.0,159.4,701.0,0.0
genx__reedsco__prox__a0__static,genx__control,Spring,58.5742,14.4071,10.9969,126.0233,8.7261,0.46,0.2394,2471,1176,1075,0.418,82803.5,-18386.0,159.4,681.2,0.0
genx__reedsco__prox__aratio__monthhour,genx__control,Spring,49.7197,14.4049,6.5335,74.8727,8.7261,0.4044,0.3333,2471,3763,2461,0.6523,9352.9,-18446.5,159.4,210.7,0.0
