,substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
1026,Soco,1135.0,Ellis 220/66 System,0.0,0.0,0.0,5.69,0.0,9.38,33.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified adequate deliverability.
1027,Solar 1,132.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1028,Solar 2,133.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
1032,Sony,1150.0,La Cienega 220/66 System,0.0,0.0,0.0,8.15,0.0,14.0,16.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39.0,Interconnection studies in this area have identified adequate deliverability.
1035,Soport,1198.0,Victor 220/115 System,0.0,0.0,0.0,13.0,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1038,Southbase,1209.0,Kramer 220/115 System,0.0,0.0,0.0,20.12,0.0,28.0,33.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified inadequate deliverability.
1039,Southdown,1264.0,Victor 220/115 System,0.0,0.0,0.0,11.0,0.0,44.8,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1042,Space,540.0,El Nido 220/66 System,0.0,0.0,0.0,19.57,0.0,40.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1047,Stanhill,546.0,La Cienega 220/66 System,0.0,0.0,0.0,24.09,0.0,56.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
1051,Stent,1880.0,Valley 'D' 500/115 System,0.0,0.0,0.0,4.48,0.0,14.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
1055,Stewval P.t.,1557.0,Valley Electric 220/25,0.0,0.0,0.0,0.04,0.0,0.6,25.0,1.0,77.7778,0.0,0.0,0.0,22.2222,7.0,0.0,0.0,0.0,2.0,Deliverability in this area has not been determined by previous interconnection studies.
1058,Strip,1074.0,Etiwanda 220/66 System,0.0,0.0,0.0,33.2,0.0,80.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
