bus_i,kV,Type,Import,Lat,Lon,nearest_basin_name,nearest_basin_owner,nearest_basin_type,nearest_basin_lat,nearest_basin_lon,dist_km,matched
45,115,Substation,' ',33.81774602,-116.3674057,Ramon,iid,SUBSTATION,33.817746017946654,-116.3674057059858,5.982610859063989e-07,True
46,115,Substation,' ',39.60773551,-121.7683336,Esquon,pge,SUBSTATION,39.60773551464629,-121.76833358384148,1.4775341033392568e-06,True
47,66,Substation,' ',39.74641854,-122.0113693,Hamilton A,pge,SUBSTATION,39.74641854176892,-122.01136933547082,3.0389765318668532e-06,True
48,115,Substation,' ',39.7602408,-121.9070486,Nord,pge,SUBSTATION,39.760240802984654,-121.90704864173188,3.582587904041401e-06,True
49,66,Substation,' ',39.50399795,-121.560155,Oroville,pge,SUBSTATION,39.50399794952197,-121.56015501732595,1.4874444705633761e-06,True
50,66,Substation,' ',39.76066295,-121.6187304,Paradise,pge,SUBSTATION,39.76066295290581,-121.61873043546984,3.049063199888012e-06,True
51,66,Substation,' ',39.37824172,-121.6850945,Peachton,pge,SUBSTATION,39.37824172207953,-121.68509451825736,1.5861799878689509e-06,True
52,115,Substation,' ',39.76876106,-121.8240284,Sycamore Creek,pge,SUBSTATION,39.768761061395054,-121.824028388523,9.931057565887711e-07,True
53,115,Substation,' ',39.48676454,-121.6880242,Tres Vias,pge,SUBSTATION,39.486764538827885,-121.68802420710148,6.232079508332634e-07,True
54,115,Substation,' ',39.49170026,-121.5409467,Wyandotte,pge,SUBSTATION,39.49170025621256,-121.54094668549344,1.3141328133700348e-06,True
55,66,Substation,' ',38.16989692,-120.6672277,Calaveras Cement,other,SUBSTATION,38.16989692407117,-120.66722774747468,4.1748236480257215e-06,True
56,115,Substation,' ',38.06981688,-120.4221335,Cataract,other,SUBSTATION,38.06981687515528,-120.42213347694567,2.0888205571410964e-06,True
57,66,Substation,' ',38.10148065,-120.9261759,Corral,pge,SUBSTATION,38.101480653393175,-120.92617586661036,2.9459026175534315e-06,True
58,115,Substation,' ',38.0571528,-120.5339711,Frogtown,pge,SUBSTATION,38.05715279971415,-120.53397105129636,4.264341060245854e-06,True
59,230,Substation,' ',37.9446466,-120.5362212,Melones,wapa,SUBSTATION,37.94464659720511,-120.53622116162192,3.379650120323432e-06,True
60,115,Substation,' ',38.14698707,-120.4464194,Murphy,pge,SUBSTATION,38.14698707252699,-120.44641944391417,3.850424054255994e-06,True
61,66,Substation,' ',38.19974699,-120.719348,North Branch,pge,SUBSTATION,38.199746990435486,-120.71934800041429,6.0460407667514e-08,True
62,66,Substation,' ',39.01747968,-122.0613948,Arbuckle,pge,SUBSTATION,39.01747967888832,-122.06139482465692,2.1337759821626737e-06,True
63,66,Substation,' ',39.21353467,-122.0025503,Colusa,pge,SUBSTATION,39.21353467336371,-122.00255032128622,1.8716325278128661e-06,True
64,66,Substation,' ',38.96982277,-122.0433322,Drake,pge,SUBSTATION,38.969822765902975,-122.04333217073216,2.570935296751873e-06,True
65,66,Substation,' ',38.96922396,-122.0704684,Harrington,pge,SUBSTATION,38.96922396253317,-122.07046838073256,1.6893622808392613e-06,True
66,66,Substation,' ',39.27695996,-122.1532889,Maxwell,pge,SUBSTATION,39.27695996315382,-122.15328887379604,2.2826184114703705e-06,True
67,66,Substation,' ',39.40274718,-122.0132647,Rice,pge,SUBSTATION,39.402747176055385,-122.0132646948227,6.247134925483234e-07,True
68,66,Substation,' ',39.15748765,-122.1477121,Williams,pge,SUBSTATION,39.15748765308179,-122.14771205348706,4.025055572376209e-06,True
69,115,Substation,' ',37.99392322,-122.1301156,Alhambra,pge,SUBSTATION,37.9939232223922,-122.13011557123694,2.534505348728273e-06,True
70,66,Substation,' ',37.81698936,-121.5871457,Byron Bethany,pge,SUBSTATION,37.81698935517064,-121.587145694383,7.292563265094973e-07,True
71,66,Substation,' ',38.01132999,-121.748771,Du Pont,other,SUBSTATION,38.01132998942654,-121.74877102118512,1.8571072559409606e-06,True
72,66,Substation,' ',37.88699377,-121.5769277,Los Vaqueros,other,SUBSTATION,37.88699377080378,-121.57692772411878,2.1184938390748734e-06,True
73,66,Substation,' ',38.01049965,-121.7562696,GWF 4,pge,SUBSTATION,38.01049964693561,-121.75626962499425,2.2161053597789077e-06,True
74,115,Substation,' ',38.02639867,-121.8496279,Linde,pge,,38.02639866516522,-121.8496279282101,2.5287641825508655e-06,True
75,115,Substation,' ',38.01420008,-122.1158065,Shell Oil 1,other,SUBSTATION,38.014200078166496,-122.11580648937408,9.529574390172036e-07,True
76,66,Substation,' ',38.01900393,-122.2354177,Union Chemical,other,SUBSTATION,38.01900393190366,-122.23541766172627,3.359457238253137e-06,True
77,66,Substation,' ',37.92595616,-122.0713843,Walnut Creek Pp,other,SUBSTATION,37.92595615594091,-122.0713843403046,3.5638610018253686e-06,True
78,66,Substation,' ',37.83870261,-121.6229064,Tres Vaqueros Wind Farm (Jv Ent),other,,37.83870260902228,-121.62290638470934,1.3471456934594186e-06,True
79,66,Substation,' ',37.92583801,-121.678276,Balfour,pge,SUBSTATION,37.92583800616787,-121.67827598590216,1.3078993193445761e-06,True
80,115,Substation,' ',38.0125913,-122.0426788,Bollman,other,SUBSTATION,38.01259130455056,-122.04267881543998,1.4442065294454815e-06,True
81,66,Substation,' ',37.88525172,-121.8144465,Briones,other,SUBSTATION,37.88525172402712,-121.8144465339817,3.0156573244739945e-06,True
82,115,Substation,' ',37.94410025,-121.9691071,Clayton,pge,SUBSTATION,37.94410025199704,-121.96910714862464,4.269652106167335e-06,True
83,115,Substation,' ',38.02598429,-121.8633112,Columbia Steel,other,SUBSTATION,38.02598428824968,-121.86331121966684,1.7336106673688694e-06,True
84,66,Substation,' ',38.01351802,-121.815552,Antioch,pge,SUBSTATION,38.01351801723007,-121.81555199417708,5.958972231733985e-07,True
85,115,Substation,' ',38.02728725,-121.8543797,Dow Chemical,other,SUBSTATION,38.02728725211432,-121.85437967894109,1.8594761740394026e-06,True
86,115,Substation,' ',37.8759552,-122.1870459,East Portal,pge,SUBSTATION,37.87595520410172,-122.18704586811504,2.83549009006173e-06,True
87,115,Substation,' ',38.01599634,-121.7739186,Fibreboard,pge,SUBSTATION,38.01599633726957,-121.77391862069334,1.838062136540292e-06,True
88,66,Substation,' ',38.012107,-122.26433,Franklin,pge,SUBSTATION,38.01210700210434,-122.26432998479756,1.352258980844407e-06,True
89,66,Substation,' ',37.81672046,-121.5861654,Herdlyn,pge,SUBSTATION,37.81672046460723,-121.58616542016526,1.84393778886968e-06,True
90,115,Substation,' ',38.00163657,-122.0672557,Imhoff,pge,SUBSTATION,38.00163656751872,-122.0672556867176,1.1960729439204911e-06,True
91,66,Substation,' ',37.90286541,-121.7226958,Marsh,pge,SUBSTATION,37.90286541425741,-121.72269574977582,4.431960398287135e-06,True
