strategy,origin_year,test_year,horizon,bias_pct,relrmse_pct
expanding,2020,2025,5,-0.358,7.512
trailing3,2020,2021,1,-0.093,4.221
trailing3,2020,2022,2,-1.811,6.014
trailing3,2020,2023,3,0.288,8.541
trailing3,2020,2024,4,-1.738,7.259
trailing3,2020,2025,5,-2.437,7.955
trailing5,2020,2021,1,2.06,4.925
trailing5,2020,2022,2,0.332,6.428
trailing5,2020,2023,3,2.48,9.546
trailing5,2020,2024,4,0.382,7.34
trailing5,2020,2025,5,-0.358,7.512
decay180,2020,2021,1,-0.906,5.032
decay180,2020,2022,2,-2.664,5.946
decay180,2020,2023,3,-0.535,8.85
decay180,2020,2024,4,-2.547,7.771
decay180,2020,2025,5,-3.236,8.486
decay365,2020,2021,1,-0.188,4.492
decay365,2020,2022,2,-1.931,5.78
decay365,2020,2023,3,0.198,8.76
decay365,2020,2024,4,-1.837,7.357
decay365,2020,2025,5,-2.536,8.031
decay730,2020,2021,1,0.739,4.422
decay730,2020,2022,2,-0.996,5.897
decay730,2020,2023,3,1.14,8.965
decay730,2020,2024,4,-0.922,7.204
decay730,2020,2025,5,-1.636,7.718
expanding,2021,2022,1,-0.012,6.029
expanding,2021,2023,2,2.133,9.243
expanding,2021,2024,3,0.042,7.092
expanding,2021,2025,4,-0.684,7.439
trailing3,2021,2022,1,-2.797,5.519
trailing3,2021,2023,2,-0.668,8.537
trailing3,2021,2024,3,-2.704,7.164
trailing3,2021,2025,4,-3.38,8.067
trailing5,2021,2022,1,-0.718,5.781
trailing5,2021,2023,2,1.421,8.956
trailing5,2021,2024,3,-0.651,7.035
trailing5,2021,2025,4,-1.354,7.701
decay180,2021,2022,1,-1.932,5.191
decay180,2021,2023,2,0.198,8.458
decay180,2021,2024,3,-1.848,6.9
decay180,2021,2025,4,-2.516,7.904
decay365,2021,2022,1,-1.814,5.215
decay365,2021,2023,2,0.316,8.443
decay365,2021,2024,3,-1.73,6.87
decay365,2021,2025,4,-2.409,7.779
decay730,2021,2022,1,-1.235,5.418
decay730,2021,2023,2,0.899,8.645
decay730,2021,2024,3,-1.16,6.88
decay730,2021,2025,4,-1.856,7.612
expanding,2022,2023,1,2.138,8.995
expanding,2022,2024,2,0.04,6.668
expanding,2022,2025,3,-0.673,7.197
trailing3,2022,2023,1,0.706,8.348
trailing3,2022,2024,2,-1.359,6.409
trailing3,2022,2025,3,-2.021,7.552
trailing5,2022,2023,1,0.697,8.257
