model,config,rmse,mae,r2,wape,peak_cell_mae,skill_vs_baseline
cell_mean,imputable,28.02324363127954,17.354584251582388,-0.028554323065089093,1.5710257313936509,35.62895763962848,0.0
global_mean,imputable,28.21450685555802,17.384770319562993,-0.04264233925790961,1.5737583286624564,31.610539603306673,-0.00682516366752739
linear,imputable,29.3909567784408,17.677586331547396,-0.13140443562998105,1.6002655317577783,33.69955265661628,-0.048806382485809596
hist_gbm,imputable,35.19057587586159,27.520088504671044,-0.6219713422790096,2.4912591707362104,41.88410605315238,-0.2557638344399886
