name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Wind Driven,PG&E,pge,SUBSTATION,substation,False,230.0,37.8212365,-121.6609238,Contra Costa County,,Operational,PGE GBA,301013.0
US Wind Power,PG&E,pge,SUBSTATION,substation,False,230.0,37.79142132,-121.72776081,Contra Costa County,,Operational,PGE GBA,304473.0
Fayette Energy Corp.,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,37.74738101,-121.59833091,Alameda County,,Operational,PGE GBA,302399.0
Lawrence Livermore Laboratory,PG&E,pge,SUBSTATION,substation,False,230.0,37.68223396,-121.70527494,Alameda County,Livermore,Operational,PGE GBA,302026.0
Patterson Pass,PG&E,pge,SUBSTATION,substation,False,230.0,37.69858112,-121.61066097,Alameda County,,Operational,PGE GBA,306090.0
Helm's Pumped Storage,PG&E,pge,SUBSTATION,substation,False,230.0,37.03911287,-118.96368239,Fresno County,,Operational,PGE Fresno,307044.0
San Luis,PG&E,pge,SUBSTATION,substation,False,230.0,37.06666171,-121.07543984,,Hamburg Farms,Operational,PGE Fresno,305921.0
San Luis 3,PG&E,pge,SUBSTATION,substation,False,230.0,36.86206846,-120.7772737,Merced County,,Operational,PGE Fresno,307723.0
Wheeler,PG&E,pge,SUBSTATION,substation,False,230.0,35.02957415,-119.00446684,Kern County,,Operational,PGE Kern,305949.0
Buena Vista Pumps,PG&E,pge,SUBSTATION,substation,False,230.0,35.15800295,-119.34888451,Kern County,,Operational,PGE Kern,303320.0
Pit 6,PG&E,pge,SUBSTATION,substation,False,230.0,40.92226533,-121.99233182,Shasta County,,Operational,PGE NGBA,308747.0
Pit 7,PG&E,pge,SUBSTATION,substation,False,230.0,40.84661104,-121.99105888,Shasta County,,Operational,PGE NGBA,300142.0
Trinity Hydro,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,230.0,40.7969626,-122.76141771,Trinity County,,Operational,PGE NGBA,304703.0
Caribou 2,PG&E,pge,SUBSTATION,substation,False,230.0,40.08516597,-121.1475803,Plumas County,,Operational,PGE NGBA,309781.0
Middle Fork,PG&E,pge,SUBSTATION,substation,False,230.0,39.02424224,-120.59639709,Placer County,,Operational,PGE NGBA,309436.0
NCPA 3&4,PG&E,pge,SUBSTATION,substation,False,230.0,38.74875808,-122.71156299,Sonoma County,,Operational,PGE NGBA,300833.0
Cobb Creek,PG&E,pge,SUBSTATION,substation,False,230.0,38.80530511,-122.78384678,Sonoma County,,Operational,PGE NGBA,304629.0
Socrates 18,PG&E,pge,SUBSTATION,substation,False,230.0,38.76858589,-122.7482778,Sonoma County,,Operational,PGE NGBA,308455.0
Sulphur Springs,PG&E,pge,SUBSTATION,substation,False,230.0,38.7867067,-122.7820188,Sonoma County,,Operational,PGE NGBA,300152.0
Mccabe,PG&E,pge,SUBSTATION,substation,False,230.0,38.80561501,-122.80820873,Sonoma County,,Operational,PGE NGBA,305906.0
