SUBSTATION,n_rows,n_diff,mean_abs_min_diff,mean_abs_max_diff,max_abs_min_diff,max_abs_max_diff,bulk_zeros,scrape_zeros,pct_diff,max_any_diff
Lathrop Wells P.T.,288,0,,,,,19,0,0.0,
Loma Vista P.T.,288,0,,,,,288,0,0.0,
Luring P.T.,288,0,,,,,0,0,0.0,
Mcclenny P.T.,288,0,,,,,288,0,0.0,
Mckevett P.T.,48,0,,,,,0,0,0.0,
Moab P.T.,24,0,,,,,2,0,0.0,
Mountain Pass A,288,0,,,,,288,0,0.0,
Nidever P.T.,288,0,,,,,0,0,0.0,
Oak Knoll P.T.,288,0,,,,,0,0,0.0,
Pahrump P.T.,288,0,,,,,288,0,0.0,
Painted Cave P.T.,288,0,,,,,288,0,0.0,
Par P.T.,288,0,,,,,288,0,0.0,
Peacor P.T.,288,0,,,,,0,0,0.0,
Penitentiary P.T.,288,0,,,,,288,0,0.0,
Pruitt P.T.,48,0,,,,,0,0,0.0,
Queen Mary U.G.S.,48,0,,,,,48,0,0.0,
Scout P.T.,288,0,,,,,288,0,0.0,
Skyborne P.T.,288,0,,,,,0,0,0.0,
Southridge P.T.,288,0,,,,,288,0,0.0,
Stroh P.T.,144,0,,,,,0,0,0.0,
Sugarloaf P.T.,288,0,,,,,18,0,0.0,
Sunlight P.T.,288,0,,,,,0,0,0.0,
Tejon Peak P.T.,288,0,,,,,288,0,0.0,
Tumbleweed P.T.,288,0,,,,,288,0,0.0,
Valley Of The Moon P.T.,288,0,,,,,0,0,0.0,
Vanderlip P.T.,288,0,,,,,288,0,0.0,
Weesha P.T.,288,0,,,,,288,0,0.0,
Yankee P.T.,288,0,,,,,288,0,0.0,
Ziggy P.T.,288,0,,,,,288,0,0.0,
