sub_key,SUBSTATION,YEAR,MONTH,HOUR,MIN_LOAD_bulk,MAX_LOAD_bulk,MIN_LOAD_scrape,MAX_LOAD_scrape,min_diff,max_diff,any_diff
allview,Allview P.T.,2022,6,16,0.19,0.37,,,,,FALSE
allview,Allview P.T.,2022,6,17,0.2,0.37,,,,,FALSE
allview,Allview P.T.,2022,6,18,0.21,0.39,,,,,FALSE
allview,Allview P.T.,2022,6,19,0.21,0.38,,,,,FALSE
allview,Allview P.T.,2022,6,20,0.21,0.36,,,,,FALSE
allview,Allview P.T.,2022,6,21,0.21,0.36,,,,,FALSE
allview,Allview P.T.,2022,6,22,0.21,0.34,,,,,FALSE
allview,Allview P.T.,2022,6,23,0.19,0.31,,,,,FALSE
allview,Allview P.T.,2022,7,0,0.18,0.25,,,,,FALSE
allview,Allview P.T.,2022,7,1,0.17,0.24,,,,,FALSE
allview,Allview P.T.,2022,7,2,0.17,0.23,,,,,FALSE
allview,Allview P.T.,2022,7,3,0.17,0.21,,,,,FALSE
allview,Allview P.T.,2022,7,4,0.16,0.22,,,,,FALSE
allview,Allview P.T.,2022,7,5,0.16,0.23,,,,,FALSE
allview,Allview P.T.,2022,7,6,0.16,0.21,,,,,FALSE
allview,Allview P.T.,2022,7,7,0.17,0.2,,,,,FALSE
allview,Allview P.T.,2022,7,8,0.16,0.23,,,,,FALSE
allview,Allview P.T.,2022,7,9,0.18,0.23,,,,,FALSE
allview,Allview P.T.,2022,7,10,0.18,0.27,,,,,FALSE
allview,Allview P.T.,2022,7,11,0.18,0.27,,,,,FALSE
allview,Allview P.T.,2022,7,12,0.19,0.29,,,,,FALSE
allview,Allview P.T.,2022,7,13,0.19,0.31,,,,,FALSE
allview,Allview P.T.,2022,7,14,0.21,0.31,,,,,FALSE
allview,Allview P.T.,2022,7,15,0.21,0.32,,,,,FALSE
allview,Allview P.T.,2022,7,16,0.22,0.32,,,,,FALSE
allview,Allview P.T.,2022,7,17,0.22,0.33,,,,,FALSE
allview,Allview P.T.,2022,7,18,0.24,0.36,,,,,FALSE
allview,Allview P.T.,2022,7,19,0.24,0.35,,,,,FALSE
allview,Allview P.T.,2022,7,20,0.25,0.35,,,,,FALSE
allview,Allview P.T.,2022,7,21,0.24,0.35,,,,,FALSE
allview,Allview P.T.,2022,7,22,0.22,0.31,,,,,FALSE
allview,Allview P.T.,2022,7,23,0.2,0.29,,,,,FALSE
allview,Allview P.T.,2022,8,0,0.15,0.31,,,,,FALSE
allview,Allview P.T.,2022,8,1,0.15,0.29,,,,,FALSE
allview,Allview P.T.,2022,8,2,0.15,0.26,,,,,FALSE
allview,Allview P.T.,2022,8,3,0.14,0.26,,,,,FALSE
allview,Allview P.T.,2022,8,4,0.14,0.26,,,,,FALSE
allview,Allview P.T.,2022,8,5,0.14,0.24,,,,,FALSE
allview,Allview P.T.,2022,8,6,0.15,0.23,,,,,FALSE
allview,Allview P.T.,2022,8,7,0.17,0.25,,,,,FALSE
allview,Allview P.T.,2022,8,8,0.16,0.27,,,,,FALSE
allview,Allview P.T.,2022,8,9,0.15,0.27,,,,,FALSE
allview,Allview P.T.,2022,8,10,0.15,0.28,,,,,FALSE
allview,Allview P.T.,2022,8,11,0.16,0.31,,,,,FALSE
allview,Allview P.T.,2022,8,12,0.15,0.32,,,,,FALSE
allview,Allview P.T.,2022,8,13,0.15,0.35,,,,,FALSE
allview,Allview P.T.,2022,8,14,0.16,0.36,,,,,FALSE
allview,Allview P.T.,2022,8,15,0.17,0.39,,,,,FALSE
allview,Allview P.T.,2022,8,16,0.17,0.39,,,,,FALSE
allview,Allview P.T.,2022,8,17,0.18,0.39,,,,,FALSE
allview,Allview P.T.,2022,8,18,0.22,0.36,,,,,FALSE
allview,Allview P.T.,2022,8,19,0.22,0.38,,,,,FALSE
allview,Allview P.T.,2022,8,20,0.22,0.39,,,,,FALSE
allview,Allview P.T.,2022,8,21,0.22,0.39,,,,,FALSE
allview,Allview P.T.,2022,8,22,0.19,0.36,,,,,FALSE
allview,Allview P.T.,2022,8,23,0.16,0.32,,,,,FALSE
allview,Allview P.T.,2022,9,0,0.15,0.2,,,,,FALSE
