util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
KYOCERA,kyocera,32.81968721431558,-117.14035117861305,Kyocera,kyocera,32.819794448125805,-117.14035277208092,0.011924785364894233,True
STATION F,station f,32.755025169261486,-117.1243682212622,Station F,station f,32.75496001273112,-117.12595998481456,0.1490284388705099,True
EL CAJON,el cajon,32.79411304277516,-116.97288223981732,El Cajon,el cajon,32.795455477381374,-116.97228535423196,0.15935770325103937,True
POMERADO,pomerado,32.93866507905452,-117.03289416045068,Pomerado,pomerado,32.941422223444484,-117.03273055729034,0.30696037950692456,True
CHICARITA,chicarita,32.95989470441887,-117.1119613624112,Chicarita,chicarita,32.958361111243555,-117.10880833314135,0.3400272257610078,True
RANCHO CARMEL,rancho carmel,32.996021964454,-117.08057160508204,Rancho Carmel,rancho carmel,32.99382500146592,-117.0779055533293,0.3485680822765573,True
STATION B,station b,32.71544232812692,-117.16590840305273,Station B,station b,32.71415112435967,-117.16950142258936,0.36552731961811363,True
DIVISION,division,32.678502912686035,-117.11829541721876,Division,division,32.681563003569295,-117.12010900755163,0.38025331875118784,True
MESA HEIGHTS,mesa heights,32.82976449977673,-117.15315410109336,Mesa Heights,mesa heights,32.82961390619752,-117.15725276975822,0.3833271491738918,True
IMPERIAL BEACH,imperial beach,32.5816007635523,-117.09349154589287,Imperial Beach,imperial beach,32.583366642463176,-117.09723891482776,0.40228516226300787,True
BORDER,border,32.56861917203075,-116.9407818041129,Larkspur Energy Facility,larkspur energy facility,32.5662951280479,-116.94432349575996,0.42063662728311374,False
MESA RIM,mesa rim,32.90870614059554,-117.17311664454462,Mesa Rim,mesa rim,32.904918334064234,-117.17314975439812,0.4211962109960767,True
PACIFIC BEACH,pacific beach,32.80095287142043,-117.23580670163116,Pacific Beach,pacific beach,32.799201999328936,-117.2401999948053,0.45444199629709103,True
