substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Brookings P.t.,1301.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.05,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified adequate deliverability.
Brown P.t.,1303.0,Valley Electric 220/25,0.016,0.0,0.016,0.38,0.04,0.73,4.0,1.0,21.0526,5.2632,0.0,0.0,73.6842,8.0,2.0,0.0,0.0,28.0,Interconnection studies in this area have identified adequate deliverability.
Burpit,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,
Cal City 'A',1819.0,Kramer 220/115 System,8.676,0.155,8.831,10.74,0.82,5.17,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Cal City 'B',1820.0,Kramer 220/115 System,3.999,13.963,17.962,10.76,1.67,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Cal-Nev P.t.,1328.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Calamar P.t.,1334.0,Valley 500/115 System,0.628,0.0,0.628,1.15,0.55,4.37,12.0,1.0,50.7937,11.1111,0.0,0.0,38.0952,32.0,7.0,0.0,0.0,24.0,Deliverability in this area has not been determined by previous interconnection studies.
Calcadia P.t.,1322.0,Eldorado 220/115 System,0.0,0.0,0.0,0.02,0.0,0.08,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,Interconnection studies in this area have identified inadequate deliverability.
Calcity 'A',,,,,,,,,12.0,2.0,76.3177,5.4195,0.0,0.0,18.2628,1028.0,73.0,0.0,0.0,246.0,
Calcity 'B',,,,,,,,,12.0,2.0,76.0038,6.0229,0.0,0.0,17.9732,795.0,63.0,0.0,0.0,188.0,
Calgen,10.0,Kramer 220/115 System,0.0,0.0,0.0,5.78,0.0,30.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Camino,342.0,Camino 220/16 System,0.012,0.0,0.012,0.85,0.01,35.96,16.0,1.0,15.6627,25.3012,1.2048,0.0,57.8313,13.0,21.0,1.0,0.0,48.0,Deliverability in this area has not been determined by previous interconnection studies.
Camp Angelus P.t.,1324.0,El Casco 220/115 System,0.012,0.0,0.012,0.41,0.03,0.74,2.4,1.0,73.9726,1.3699,0.0,0.0,24.6575,54.0,1.0,0.0,0.0,18.0,Deliverability in this area has not been determined by previous interconnection studies.
Camp Baldy P.t.,1325.0,Padua 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Camp Nelson P.t.,1326.0,Springville 220/66 System,0.0,0.0,0.0,0.4,0.0,1.5,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Canadian,,,,,,,,,12.0,2.0,75.4875,7.7994,0.0,0.0,16.7131,542.0,56.0,0.0,0.0,120.0,
Canadian P.t.,822.0,Vista 220/115 System,0.494,0.039,0.533,5.4,0.1,9.47,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Canalino P.t.,2161.0,Goleta 220/66 System,0.0,0.0,0.0,0.06,0.0,0.17,2.4,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified adequate deliverability.
Capanero P.t.,1329.0,Vestal 220/66 System,0.033,0.007,0.039,-0.01,-6.82,0.26,2.4,1.0,69.8795,4.8193,0.0,0.0,25.3012,58.0,4.0,0.0,0.0,21.0,Interconnection studies in this area have identified inadequate deliverability.
Car Wash P.t.,2029.0,Del Amo 220/66 System,0.287,0.0,0.287,0.71,0.4,0.71,4.0,1.0,88.9831,1.6949,0.0,0.0,9.322,105.0,2.0,0.0,0.0,11.0,Interconnection studies in this area have identified adequate deliverability.
Carancho P.t.,1318.0,Valley 500/115 System,1.909,0.245,2.154,2.73,0.79,1.6,12.0,1.0,46.7532,9.0909,1.7316,0.0,42.4242,108.0,21.0,4.0,0.0,98.0,Deliverability in this area has not been determined by previous interconnection studies.
Cardinal P.t.,1327.0,Victor 220/115 System,0.202,0.0,0.202,0.67,0.3,0.8,2.4,1.0,89.1892,1.0811,0.0,0.0,9.7297,165.0,2.0,0.0,0.0,18.0,Interconnection studies in this area have identified adequate deliverability.
