subname,OBJECTID,subid,monthhour,high,low,last_update_on_map,publish,longitude,latitude
ESTUDILLO,33330,1348,01_13,697.0,493.0,1760074662000,1,-122.1388744667424,37.72712154609791
SAN BENITO,33332,18274,11_04,7374.0,3066.0,1777391401000,1,-121.54942913233612,36.86860625244168
CALAVERAS CEMENT,33338,16221,09_09,4905.0,3039.0,1748822400000,1,-120.66845206163632,38.17053149409406
18TH STREET,33341,2239,04_00,1581.0,1323.0,1748822400000,1,-122.4388699445812,37.76111429249559
PETALUMA A,33346,4212,11_16,1358.0,947.0,1777468602000,1,-122.63657806577606,38.23437308284748
SF X (MISSION),33347,2201,11_21,88528.0,71217.0,1775130637000,1,-122.41435930467767,37.77752693688508
PIT NO 1,33395,10372,05_04,1495.0,794.0,1748822400000,1,-121.49747687310516,40.990515571941216
BERKELEY T,33398,1266,02_07,1511.0,1177.0,1748822400000,1,-122.25905444052576,37.86457393824122
OILFIELDS,33430,18239,11_23,3272.0,2542.0,1775130624000,1,-120.85149439691293,35.956083731993004
SMARTVILLE,33438,15379,04_02,269.0,197.0,1748822400000,1,-121.30260526619712,39.20859431679137
BALCH NO 1,33453,25250,02_03,48.0,23.0,1764089373000,1,-119.08622824128604,36.90832240674941
FAIRMOUNT,33458,1265,08_23,1300.0,1168.0,1775130631000,1,-122.29689529328267,37.90189965591967
CRESCENT MILLS,33464,10313,07_16,1837.0,1467.0,1748822400000,1,-120.91070330230104,40.093925518711536
SF H (MARTIN),33535,2210,04_14,34508.0,23979.0,1775130619000,1,-122.40919513249818,37.70424294017619
YOSEMITE,33545,2249,12_01,1552.0,1317.0,1748822400000,1,-122.39705250965748,37.72932287844001
SHEPHERD,33553,25206,05_07,10888.0,8383.0,1775130636000,1,-119.69451127750511,36.87266718173742
SF P (HUNTERS POINT),33572,2233,09_14,38135.0,25909.0,1772742565000,1,-122.37748705304148,37.737055022315424
SILVER,33573,2267,08_16,698.0,604.0,1748822400000,1,-122.41440058169415,37.7292092119054
