loads_name,loads_norm,attrs_name,attrs_norm,sub_id,loads_lat,loads_lon,attrs_lat,attrs_lon,loads_attrs_dist_km
SF M,sf m,SF M,sf m,2227,37.733508415379255,-122.43054770849852,37.733508415379255,-122.43054770849852,0.0
SF N,sf n,SF N,sf n,2228,37.76138387988553,-122.4664254717227,37.76138387988553,-122.4664254717227,0.0
SHEPHERD,shepherd,SHEPHERD,shepherd,25206,36.87266718173742,-119.69451127750511,36.87266718173742,-119.69451127750511,0.0
SILVER,silver,SILVER,silver,2267,37.7292092119054,-122.41440058169415,37.7292092119054,-122.41440058169415,0.0
SPAULDING,spaulding,SPAULDING,spaulding,15225,39.32583317195124,-120.643761373542,39.32583317195124,-120.643761373542,0.0
STANISLAUS,stanislaus,STANISLAUS,stanislaus,16282,38.14006225541333,-120.36971689458166,38.14006225541333,-120.36971689458166,0.0
SULLIVAN,sullivan,SULLIVAN,sullivan,2285,37.68724547633245,-122.4717637101012,37.68724547633245,-122.4717637101012,0.0
TAFT,taft,TAFT,taft,25208,35.13623071502375,-119.48227773692136,35.13623071502375,-119.48227773692136,0.0
TAR FLAT,tar flat,TAR FLAT,tar flat,16324,37.98475497824085,-120.37980694800358,37.98475497824085,-120.37980694800358,0.0
TARAVAL,taraval,TARAVAL,taraval,2250,37.74199971120542,-122.49319808254324,37.74199971120542,-122.49319808254324,0.0
TRES PINOS,tres pinos,TRES PINOS,tres pinos,18322,36.78439384314798,-121.3195803556968,36.78439384314798,-121.3195803556968,0.0
WALL,wall,WALL,wall,1374,37.92740629292976,-122.31817641662892,37.92740629292976,-122.31817641662892,0.0
WESTLAKE,westlake,WESTLAKE,westlake,2260,37.69887646243163,-122.48018281387162,37.69887646243163,-122.48018281387162,0.0
WHITNEY,whitney,WHITNEY,whitney,1324,38.02255800796905,-121.88567049158526,38.02255800796905,-121.88567049158526,0.0
WINDSOR,windsor,WINDSOR,windsor,4350,38.56592444445207,-122.83240176689247,38.56592444445207,-122.83240176689247,0.0
WOOD,wood,WOOD,wood,1338,37.8264060148404,-122.21614490767148,37.8264060148404,-122.21614490767148,0.0
YOSEMITE,yosemite,YOSEMITE,yosemite,2249,37.72932287844001,-122.39705250965748,37.72932287844001,-122.39705250965748,0.0
