bus_i,kV,Type,Import,Lat,Lon,nearest_our_sub,nearest_utility,nearest_our_lat,nearest_our_lon,dist_km,matched
52,115,Substation,' ',39.76876106,-121.8240284,SYCAMORE CREEK,pge,39.76887891514183,-121.82323209706044,0.069308595894638,True
53,115,Substation,' ',39.48676454,-121.6880242,TRES VIAS,pge,39.48664776643268,-121.68751739757202,0.045389250761359315,True
54,115,Substation,' ',39.49170026,-121.5409467,WYANDOTTE,pge,39.49164315311975,-121.54096296885037,0.006501644965836424,True
55,66,Substation,' ',38.16989692,-120.6672277,CALAVERAS CEMENT,pge,38.17053149409406,-120.66845206163632,0.1281985680548389,True
56,115,Substation,' ',38.06981688,-120.4221335,STANISLAUS,pge,38.14006225541333,-120.36971689458166,9.057861015183773,False
57,66,Substation,' ',38.10148065,-120.9261759,CORRAL,pge,38.10147374789754,-120.92528602571213,0.07786903988452107,True
58,115,Substation,' ',38.0571528,-120.5339711,FROGTOWN,pge,38.05723780621027,-120.5341629491827,0.019274142862699378,True
59,230,Substation,' ',37.9446466,-120.5362212,PEORIA,pge,37.90339247520717,-120.49708389009176,5.729524920094446,False
60,115,Substation,' ',38.14698707,-120.4464194,STANISLAUS,pge,38.14006225541333,-120.36971689458166,6.751764615331629,False
61,66,Substation,' ',38.19974699,-120.719348,CALAVERAS CEMENT,pge,38.17053149409406,-120.66845206163632,5.508305293989358,False
62,66,Substation,' ',39.01747968,-122.0613948,ARBUCKLE,pge,39.01767623855932,-122.0610830521299,0.03468543845046154,True
63,66,Substation,' ',39.21353467,-122.0025503,COLUSA,pge,39.213661583558526,-122.00306856656788,0.04682739167971024,True
64,66,Substation,' ',38.96982277,-122.0433322,ARBUCKLE,pge,39.01767623855932,-122.0610830521299,5.537786611976402,False
65,66,Substation,' ',38.96922396,-122.0704684,ARBUCKLE,pge,39.01767623855932,-122.0610830521299,5.448361281548236,False
66,66,Substation,' ',39.27695996,-122.1532889,MAXWELL,pge,39.27720532980578,-122.15302787153044,0.03534438141948933,True
67,66,Substation,' ',39.40274718,-122.0132647,RICE,pge,39.402405951136096,-122.0140123123825,0.07460473312619757,True
68,66,Substation,' ',39.15748765,-122.1477121,WILLIAMS,pge,39.15751081265503,-122.14773879689832,0.003454289953379281,True
69,115,Substation,' ',37.99392322,-122.1301156,ALHAMBRA,pge,37.99408242188111,-122.13034397164172,0.026718243290614972,True
70,66,Substation,' ',37.81698936,-121.5871457,HERDLYN,pge,37.81698475446724,-121.58716994811228,0.0021906776713111913,True
71,66,Substation,' ',38.01132999,-121.748771,CONTRA COSTA,pge,37.99867901702416,-121.78318387764637,3.3271583538007814,False
72,66,Substation,' ',37.88699377,-121.5769277,MIDDLE RIVER,pge,37.93681260482009,-121.52887983580312,6.960933532054496,False
73,66,Substation,' ',38.01049965,-121.7562696,CONTRA COSTA,pge,37.99867901702416,-121.78318387764637,2.699728821580235,False
74,115,Substation,' ',38.02639867,-121.8496279,PITTSBURG,pge,38.03070653596985,-121.8692592247712,1.7849567128823418,True
75,115,Substation,' ',38.01420008,-122.1158065,FAIRVIEW,pge,38.01590927413491,-122.11629244561098,0.19476324033414505,True
76,66,Substation,' ',38.01900393,-122.2354177,FRANKLIN,pge,38.012370285670094,-122.26448472267798,2.651073567415493,False
77,66,Substation,' ',37.92595616,-122.0713843,LAKEWOOD,pge,37.9088184998879,-122.0574732475179,2.262855736294252,False
78,66,Substation,' ',37.83870261,-121.6229064,HERDLYN,pge,37.81698475446724,-121.58716994811228,3.9601807214414126,False
79,66,Substation,' ',37.92583801,-121.678276,BALFOUR,pge,37.926180349016605,-121.67855023269668,0.04502895977875484,True
80,115,Substation,' ',38.0125913,-122.0426788,TIDEWATER,pge,38.02052295487403,-122.06207554043746,1.9144653102797156,True
81,66,Substation,' ',37.88525172,-121.8144465,LONE TREE,pge,37.94630532263428,-121.75910439326935,8.346107747885332,False
82,115,Substation,' ',37.94410025,-121.9691071,CLAYTON,pge,37.94428985556829,-121.96926364911442,0.025158501493460193,True
83,115,Substation,' ',38.02598429,-121.8633112,PITTSBURG,pge,38.03070653596985,-121.8692592247712,0.7396895016012363,True
84,66,Substation,' ',38.01351802,-121.815552,CONTRA COSTA,pge,37.99867901702416,-121.78318387764637,3.281033658718564,False
85,115,Substation,' ',38.02728725,-121.8543797,PITTSBURG,pge,38.03070653596985,-121.8692592247712,1.3575971415311308,True
86,115,Substation,' ',37.8759552,-122.1870459,SOBRANTE,pge,37.90535027631521,-122.20813319872327,3.7560501183227575,False
87,115,Substation,' ',38.01599634,-121.7739186,CONTRA COSTA,pge,37.99867901702416,-121.78318387764637,2.0897122293320285,False
88,66,Substation,' ',38.012107,-122.26433,FRANKLIN,pge,38.012370285670094,-122.26448472267798,0.03226179195277733,True
89,66,Substation,' ',37.81672046,-121.5861654,HERDLYN,pge,37.81698475446724,-121.58716994811228,0.09300583851145686,True
90,115,Substation,' ',38.00163657,-122.0672557,TIDEWATER,pge,38.02052295487403,-122.06207554043746,2.148547830270296,False
