utility,substation_name,util_lat,util_lon,basin_lat,basin_lon,dist_to_basin_km,sub_type,substation_voltage,voltage_kv,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,lat,lon,coord_source,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
pge,ALMADEN,37.26010442296057,-121.8898329799593,37.25996121985501,-121.8898983887587,0.0169429937574342,,,12.0,,San Jose,8231.0,7.152,7.544,14.696,,,,2.0,,,,,,,,,,,No,37.26010442296057,-121.8898329799593,utility,1241,66,37.25996122,-121.8898984,0.016943318527101167,True
pge,HOPLAND,38.97287952085421,-123.08117071435976,38.97279313501813,-123.0811217825633,0.0104958156345034,,,12.0,,Humboldt,4225.0,4.324,21.615,25.939,,,,1.0,,,,,,,,,,,No,38.97287952085421,-123.08117071435976,utility,595,66,38.97279314,-123.0811218,0.01049470121761329,True
pge,KEARNEY,36.706696128628494,-119.88009059611775,36.70679399597088,-119.880022999056,0.012439372743865,,,12.0,,Fresno,25270.0,2.751,2.884,5.635,,,,2.0,,,,,,,,,,,No,36.706696128628494,-119.88009059611775,utility,134,66,36.706794,-119.880023,0.012439723921958645,True
pge,STAGG,37.99168060969362,-121.34788419136744,37.99229903158738,-121.34862733050988,0.0947084356263931,,,21.0,,Stockton,16242.0,5.083,7.763,12.846,,,,4.0,,,,,,,,,,,No,37.99168060969362,-121.34788419136744,utility,7755,66,37.99229623,-121.3486288,0.09457129638456656,True
pge,BURNEY,40.888215757543065,-121.6708403712964,40.88793197595096,-121.67118732303456,0.0429691872812844,,,12.0,,North Valley,10331.0,0.782,0.8260000000000001,1.608,,,,2.0,,,,,,,,,,,No,40.888215757543065,-121.6708403712964,utility,1273,66,40.90972376,-121.640867,3.47362834517303,False
pge,PANORAMA,40.43443262495934,-122.26746683270112,40.43436790172827,-122.26792297442684,0.0392710616163325,,,12.0,,North Valley,10346.0,7.76,8.808,16.568,,,,1.0,,,,,,,,,,,No,40.43443262495934,-122.26746683270112,utility,1285,115,40.4343679,-122.267923,0.039273224587423695,True
pge,HAMILTON A,39.74626480299121,-122.01146489920175,39.74641854176892,-122.01136933547082,0.0189470819422867,,,12.0,,North Valley,10212.0,3.4450000000000003,5.388,8.833,,,,1.0,,,,,,,,,,,No,39.74626480299121,-122.01146489920175,utility,47,66,39.74641854,-122.0113693,0.018948212396194857,True
pge,BROOKSIDE,37.96197173061187,-122.34740011271514,37.96209565707229,-122.3474106211808,0.0138107545553497,,,4.16,,East Bay,1321.0,0.318,0.318,0.636,,,,1.0,,,,,,,,,,,No,37.96197173061187,-122.34740011271514,utility,2123,66,37.96209566,-122.3474106,0.013810955639448548,True
pge,STROUD,36.53114916455339,-120.10431099777811,36.53108764192172,-120.10450647672408,0.0187577798793991,,,12.0,,Fresno,25366.0,2.323,2.855,5.178,,,,1.0,,,,,,,,,,,No,36.53114916455339,-120.10431099777811,utility,145,66,36.53108764,-120.1045065,0.01875979425649701,True
pge,TEMBLOR,35.383198949735814,-119.6964252470037,35.38274812099552,-119.69618759671236,0.054563526259663,,,12.0,,Kern,25255.0,3.75,20.773,24.523,,,,1.0,,,,,,,,,,,Yes,35.383198949735814,-119.6964252470037,utility,7634,66,35.38277387,-119.6961467,0.053589365355186255,True
