bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
51,66,Substation,' ',39.37824172,-121.6850945,Peachton,pge,SUBSTATION,39.37823659,-121.68508122,0.0012760276980086872,True
52,115,Substation,' ',39.76876106,-121.8240284,Sycamore Creek,pge,SUBSTATION,39.76875591,-121.82401501,0.001279696245552404,True
53,115,Substation,' ',39.48676454,-121.6880242,Tres Vias,pge,SUBSTATION,39.4867594,-121.68801089,0.0012772387549588164,True
54,115,Substation,' ',39.49170026,-121.5409467,Wyandotte,pge,SUBSTATION,39.49169511,-121.54093339,0.0012776642392816886,True
55,66,Substation,' ',38.16989692,-120.6672277,Calaveras Cement,pge_assumed,SUBSTATION,38.16989182,-120.66721476,0.0012653954573644895,True
56,115,Substation,' ',38.06981688,-120.4221335,Cataract,pge_assumed,SUBSTATION,38.06981176,-120.42212054,0.001269344290572437,True
57,66,Substation,' ',38.10148065,-120.9261759,Corral,pge,SUBSTATION,38.10147557,-120.92616284,0.0012747541259511823,True
58,115,Substation,' ',38.0571528,-120.5339711,Frogtown,pge,SUBSTATION,38.05714769,-120.53395809,0.0012729374356147828,True
59,230,Substation,' ',37.9446466,-120.5362212,Melones - (WAPA),wapa,SUBSTATION,37.9446415,-120.53620822,0.0012716521899620405,True
60,115,Substation,' ',38.14698707,-120.4464194,Murphy - (PG&E),pge,SUBSTATION,38.14698195,-120.44640649,0.0012643682378526387,True
61,66,Substation,' ',38.19974699,-120.719348,North Branch,pge,SUBSTATION,38.19974189,-120.719335,0.001269670011598807,True
62,66,Substation,' ',39.01747968,-122.0613948,Arbuckle,pge,SUBSTATION,39.01747461,-122.06138151,0.0012791059141548274,True
63,66,Substation,' ',39.21353467,-122.0025503,Colusa,pge,SUBSTATION,39.21352958,-122.00253699,0.0012787718810712205,True
