name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,cec_id,status,proposed,urban_rural,imagery_verified,cpuc_substation_name,cpuc_caiso_study_area,cpuc_caiso_local_area,cpuc_owner,cpuc_voltages,cec_resolve_area,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Unknown - 3940,SCE Metro,sce,SUBSTATION,307176.0,66.0,33.69404916,-117.8543668,Orange County,Irvine,92614.0,HIFLD,,{44AB913B-C634-4ACF-BC73-45093C403C75},Operational,NO,URBAN,UNK,,,,,,SCE Metro,687,66,33.693574,-117.867617,1.2269901658041615,True
Wesbasin,SCE,sce,SUBSTATION,309950.0,66.0,33.90951392,-118.39084938,Los Angeles County,El Segundo,90245.0,CEC,,{15357FE8-C6A2-4846-B14E-167610E60360},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2097,66,33.90951875,-118.3908616,0.001249057687051607,True
Unknown - 3941,PG&E KERN,pge,NOT AVAILABLE,307188.0,60.0,36.03630476,-120.09265495,Kings County,,,HIFLD,,{5C968832-557A-4566-A2E2-3E76EAF1EBFF},Operational,NO,RURAL,UNK,,,,,,PGE Kern,323,66,36.04359445,-120.1113917,1.869537846664296,True
Unknown - 3942,SCE Eastern,sce,SUBSTATION,307203.0,115.0,34.14981881,-116.10706091,San Bernardino County,Twentynine Palms,92277.0,HIFLD,,{D301BACD-BE07-4DCF-A6E9-B92B9649DC79},Operational,NO,RURAL,UNK,,,,,,SCE Eastern,2017,115,34.13779814,-116.0537102,5.088472436484681,False
Chevcentral,SCE,sce,SUBSTATION,302923.0,66.0,33.90936853,-118.41150999,Los Angeles County,El Segundo,90245.0,CEC,,{C5AD5259-66BE-4C90-9E9D-5327ECC0600A},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2098,66,33.90937336,-118.4115222,0.0012482263211014378,True
Ritter Ranch - (SCE Northern),SCE Northern,sce,SUBSTATION,307217.0,,34.57931271,-118.20304449,Los Angeles County,Palmdale,93551.0,HIFLD,,{6185635C-BA99-46CD-8500-05328F5C7784},Operational,NO,RURAL,UNK,,,,,,SCE Northern,2316,66,34.55764538,-118.1802498,3.187622667781329,False
Unknown - 3944,PG&E GBA,pge,SUBSTATION,307235.0,115.0,38.51694677,-120.22006112,Amador County,,95666.0,HIFLD,,{9E60FC49-9FFF-462C-9535-5042C7E238D8},Operational,NO,RURAL,UNK,,,,,,PGE GBA,2317,115,38.52593005,-120.2291523,1.2740920876494044,True
El Porto,SCE,sce,SUBSTATION,309813.0,66.0,33.89529593,-118.40988196,Los Angeles County,Manhattan Beach,90266.0,CEC,,{AAF994A5-A9E5-4096-BD2C-34F9882601B9},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2099,66,33.89530076,-118.4098942,0.0012508944034897124,True
Calpeak,SDGE Imperial,sdge,SUBSTATION,307262.0,69.0,32.56702649,-116.94427176,San Diego County,San Diego,92154.0,HIFLD,,{BD3AE858-C136-4A86-9BF2-A7FD1202595A},Operational,NO,URBAN,UNK,,,,,,SDGE Imperial,1882,66,32.56629513,-116.9443235,0.08146793410485807,True
Perry - (SCE),SCE,sce,SUBSTATION,305720.0,,33.86598019,-118.34834324,Los Angeles County,Torrance,90504.0,CEC,,{F54C8652-26F6-411B-ABE8-C1A34F110951},Operational,NO,URBAN,UNK,,,,,,SCE Metro,2100,66,33.86598502,-118.3483554,0.0012445776961126274,True
