t3_name,sub_id,t3_norm,alt_name,alt_lat,alt_lon,alt_norm,t3_in_basin,alt_in_basin,names_agree
Camp 10,1061.0,camp 10,Camp 10,37.22160058174016,-119.2368371603174,camp 10,True,True,True
Camp Angelus P.t.,1324.0,camp angelus,Camp Angelus P.T.,34.14634669428895,-116.97974167739488,camp angelus,False,False,True
Canadian P.t.,822.0,canadian,Canadian P.T.,34.26243754845793,-117.16122250893385,canadian,False,False,True
Canalino P.t.,2161.0,canalino,Canalino P.T.,34.388460915574804,-119.51362149312124,canalino,False,False,True
Cantil,1644.0,cantil,Cantil,35.30816674233435,-117.94638875114074,cantil,True,True,True
Canyon,1004.0,canyon,Canyon,33.871538676482594,-117.74807268223128,canyon,True,True,True
Canyon Lake,1846.0,canyon lake,Canyon Lake,33.67386312507346,-117.26000862116427,canyon lake,True,True,True
Capitan,646.0,capitan,Capitan,34.48148358613582,-120.0441513428184,capitan,True,True,True
Car Wash P.t.,2029.0,car wash,Car Wash P.T.,33.84791938792783,-118.1260117439953,car wash,False,False,True
Carancho P.t.,1318.0,carancho,Carancho P.T.,33.51114201825317,-117.22239713861714,carancho,False,False,True
Cardiff,736.0,cardiff,Cardiff,34.102652997705654,-117.27742000393738,cardiff,True,True,True
Cardinal P.t.,1327.0,cardinal,Cardinal P.T.,34.36169633330616,-117.63690737563212,cardinal,False,False,True
Carmenita,926.0,carmenita,Carmenita,33.90324389054957,-118.04717314302962,carmenita,True,True,True
Carodean,1835.0,carodean,Carodean,34.14784296135626,-116.12394915960354,carodean,True,True,True
Carolina,925.0,carolina,Carolina,33.910013996191246,-117.87969900019525,carolina,True,True,True
Carpinteria,640.0,carpinteria,Carpinteria,34.40994774778738,-119.51510197812551,carpinteria,True,True,True
Carson,830.0,carson,Carson,33.8639252787574,-118.21707429703773,carson,True,True,True
Cascade P.t.,1317.0,cascade,Cascade P.T.,33.551587377901555,-117.28933408908274,cascade,False,False,True
Casitas,642.0,casitas,Casitas,34.36295580710599,-119.31080331803668,casitas,True,True,True
Casper P.t.,1330.0,casper,Casper P.T.,34.130415619407664,-119.09556094664534,casper,False,False,True
Cedar Pines P.t.,1332.0,cedar pines,Cedar Pines P.T.,34.2494706856681,-117.32530879218336,cedar pines,False,False,True
Cedarwood,972.0,cedarwood,Cedarwood,33.753664475574155,-117.99335611469348,cedarwood,True,True,True
Center,371.0,center,Center,33.928868599739715,-118.10584791970048,center,True,True,True
Channel Island,637.0,channel island,Channel Island,34.18173499797494,-119.22229699654076,channel island,True,True,True
Chase,806.0,chase,Chase,33.844774691488155,-117.53755711248616,chase,True,True,True
Chatham,605.0,chatham,Chatham,36.41506999948426,-119.29768400447853,chatham,True,True,True
Chatsworth,688.0,chatsworth,Chatsworth,34.23580401011754,-118.70207951986724,chatsworth,True,True,True
