loads_name,sub_id,loads_lat,loads_lon,loads_norm,attrs_name,attrs_lat,attrs_lon,attrs_norm,loads_in_basin,attrs_in_basin,names_agree,loads_attrs_dist_km
EAST STOCKTON,16313,37.96312284092296,-121.26093352398566,east stockton,EAST STOCKTON,37.96312284092296,-121.26093352398566,east stockton,True,True,True,0.0
LE GRAND,25536,37.18467134480297,-120.27370723472944,le grand,LE GRAND,37.18467134480297,-120.27370723472944,le grand,True,True,True,0.0
WEBER,16348,37.91977787523238,-121.24063827031146,weber,WEBER,37.91977787523238,-121.24063827031146,weber,True,True,True,0.0
OREGON TRAIL,10352,40.61899130155303,-122.3221442755599,oregon trail,OREGON TRAIL,40.61899130155303,-122.3221442755599,oregon trail,True,True,True,0.0
MC CALL,25412,36.6103052673948,-119.63836125979108,mc call,MC CALL,36.6103052673948,-119.63836125979108,mc call,False,False,True,0.0
BALFOUR,1432,37.926180349016605,-121.67855023269668,balfour,BALFOUR,37.926180349016605,-121.67855023269668,balfour,True,True,True,0.0
MOUNTAIN QUARRIES,15228,38.91439251858,-121.01899061136776,mountain quarries,MOUNTAIN QUARRIES,38.91439251858,-121.01899061136776,mountain quarries,False,False,True,0.0
SANGER,25235,36.70772235449084,-119.61086419533504,sanger,SANGER,36.70772235449084,-119.61086419533504,sanger,True,True,True,0.0
SARANAP,1356,37.8949912204196,-122.07469961303588,saranap,SARANAP,37.8949912204196,-122.07469961303588,saranap,True,True,True,0.0
CALFLAX,25344,36.28387686148028,-120.12208024379596,calflax,CALFLAX,36.28387686148028,-120.12208024379596,calflax,False,False,True,0.0
SUNOL,1424,37.58689135859106,-121.86962721571362,sunol,SUNOL,37.58689135859106,-121.86962721571362,sunol,True,True,True,0.0
TAMARACK,15229,39.31400206641118,-120.49620864570748,tamarack,TAMARACK,39.31400206641118,-120.49620864570748,tamarack,True,True,True,0.0
WALNUT CREEK,1220,37.904820730988014,-122.06085617174196,walnut creek,WALNUT CREEK,37.904820730988014,-122.06085617174196,walnut creek,True,True,True,0.0
ESQUON,10217,39.60772314757492,-121.76822648360046,esquon,ESQUON,39.60772314757492,-121.76822648360046,esquon,True,True,True,0.0
UPPER LAKE,4287,39.14608725571375,-122.91705320074546,upper lake,UPPER LAKE,39.14608725571375,-122.91705320074546,upper lake,True,True,True,0.0
ERTA,8351,36.93065412756231,-121.76425096468428,erta,ERTA,36.93065412756231,-121.76425096468428,erta,True,True,True,0.0
LIVE OAK,15377,39.27647099774993,-121.66045789355064,live oak,LIVE OAK,39.27647099774993,-121.66045789355064,live oak,True,True,True,0.0
CAPAY,10211,39.77653431381928,-122.10355513930796,capay,CAPAY,39.77653431381928,-122.10355513930796,capay,True,True,True,0.0
NORTH DUBLIN,1405,37.74483921993783,-121.85769752164674,north dublin,NORTH DUBLIN,37.74483921993783,-121.85769752164674,north dublin,False,False,True,0.0
ORICK,19226,41.29430712515043,-124.05658700221892,orick,ORICK,41.29430712515043,-124.05658700221892,orick,True,True,True,0.0
REDBUD,4319,39.027411633952696,-122.66266510947312,redbud,REDBUD,39.027411633952696,-122.66266510947312,redbud,True,True,True,0.0
CLOVERDALE,4282,38.79708983960812,-123.01056995209038,cloverdale,CLOVERDALE,38.79708983960812,-123.01056995209038,cloverdale,True,True,True,0.0
DRUM,15232,39.25637292962176,-120.76688167651604,drum,DRUM,39.25637292962176,-120.76688167651604,drum,False,False,True,0.0
MARTELL,16301,38.36883661631688,-120.79647096943472,martell,MARTELL,38.36883661631688,-120.79647096943472,martell,True,True,True,0.0
CRESSEY,25470,37.42859913669553,-120.6384473846346,cressey,CRESSEY,37.42859913669553,-120.6384473846346,cressey,True,True,True,0.0
HENRIETTA,25268,36.24184869376041,-119.90482761916222,henrietta,HENRIETTA,36.24184869376041,-119.90482761916222,henrietta,True,True,True,0.0
WATSONVILLE,8333,36.90322145782284,-121.75635320535145,watsonville,WATSONVILLE,36.90322145782284,-121.75635320535145,watsonville,True,True,True,0.0
GUERNSEY,25266,36.22643077790519,-119.65578907910825,guernsey,GUERNSEY,36.22643077790519,-119.65578907910825,guernsey,True,True,True,0.0
MAPLE,1352,37.79719717055544,-122.2057538023828,maple,MAPLE,37.79719717055544,-122.2057538023828,maple,False,False,True,0.0
EDES,1368,37.738958386689234,-122.19406786917396,edes,EDES,37.738958386689234,-122.19406786917396,edes,True,True,True,0.0
MESA,18282,35.0078834935596,-120.45376497641756,mesa,MESA,35.0078834935596,-120.45376497641756,mesa,True,True,True,0.0
WESTLEY,16267,37.57919043551431,-121.20566160950838,westley,WESTLEY,37.57919043551431,-121.20566160950838,westley,True,True,True,0.0
ANTELOPE,25202,35.657909182784095,-119.99680487400924,antelope,ANTELOPE,35.657909182784095,-119.99680487400924,antelope,True,True,True,0.0
SF A (POTRERO),2203,37.75597723579284,-122.38631343999468,sf a potrero,SF A (POTRERO),37.75597723579284,-122.38631343999468,sf a potrero,False,False,True,0.0
GUALALA,4284,38.78608834746834,-123.52264215716971,gualala,GUALALA,38.78608834746834,-123.52264215716971,gualala,True,True,True,0.0
PANAMA,25342,35.29554130507497,-119.02181642397912,panama,PANAMA,35.29554130507497,-119.02181642397912,panama,True,True,True,0.0
JESSUP,10344,40.46170457696071,-122.32775472405966,jessup,JESSUP,40.46170457696071,-122.32775472405966,jessup,True,True,True,0.0
KONOCTI,4331,38.932601383485405,-122.74098053352844,konocti,KONOCTI,38.932601383485405,-122.74098053352844,konocti,True,True,True,0.0
RED BLUFF,10354,40.1824640348198,-122.244707344526,red bluff,RED BLUFF,40.1824640348198,-122.244707344526,red bluff,True,True,True,0.0
ALPINE,16356,38.46682532572175,-120.0381940068952,alpine,ALPINE,38.46682532572175,-120.0381940068952,alpine,False,False,True,0.0
BORONDA,18246,36.690641286171,-121.67942490459326,boronda,BORONDA,36.690641286171,-121.67942490459326,boronda,True,True,True,0.0
EL NIDO,25245,37.12088972778191,-120.47290782246549,el nido,EL NIDO,37.12088972778191,-120.47290782246549,el nido,True,True,True,0.0
TIDEWATER,1465,38.02052295487403,-122.06207554043746,tidewater,TIDEWATER,38.02052295487403,-122.06207554043746,tidewater,True,True,True,0.0
PRUNEDALE,18296,36.7848917695957,-121.6710561826014,prunedale,PRUNEDALE,36.7848917695957,-121.6710561826014,prunedale,True,True,True,0.0
DAYTON ROAD,10294,39.72016631724905,-121.83969083882324,dayton road,DAYTON ROAD,39.72016631724905,-121.83969083882324,dayton road,True,True,True,0.0
ALHAMBRA,1410,37.99408242188111,-122.13034397164172,alhambra,ALHAMBRA,37.99408242188111,-122.13034397164172,alhambra,True,True,True,0.0
BRIDGEVILLE,19246,40.47973690196123,-123.78042714948089,bridgeville,BRIDGEVILLE,40.47973690196123,-123.78042714948089,bridgeville,True,True,True,0.0
POINT PINOLE,1426,37.995974173346816,-122.34791448274218,point pinole,POINT PINOLE,37.995974173346816,-122.34791448274218,point pinole,True,True,True,0.0
GATES,25393,36.13875751303389,-120.1233876281544,gates,GATES,36.13875751303389,-120.1233876281544,gates,True,True,True,0.0
FELLOWS,25424,35.19473434349657,-119.58611007274465,fellows,FELLOWS,35.19473434349657,-119.58611007274465,fellows,True,True,True,0.0
PITTSBURG,1216,38.03070653596985,-121.8692592247712,pittsburg,PITTSBURG,38.03070653596985,-121.8692592247712,pittsburg,True,True,True,0.0
GIFFEN,25315,36.54577475933991,-120.33539282422548,giffen,GIFFEN,36.54577475933991,-120.33539282422548,giffen,True,True,True,0.0
BAKERSFIELD,25337,35.38858633344532,-119.00445108128255,bakersfield,BAKERSFIELD,35.38858633344532,-119.00445108128255,bakersfield,True,True,True,0.0
GRAND ISLAND,6246,38.23143431844358,-121.59064447220264,grand island,GRAND ISLAND,38.23143431844358,-121.59064447220264,grand island,True,True,True,0.0
CLARKSVILLE,15361,38.6556481194856,-121.05997890956418,clarksville,CLARKSVILLE,38.6556481194856,-121.05997890956418,clarksville,True,True,True,0.0
CHANNEL,16307,37.95540129864133,-121.33245614324008,channel,CHANNEL,37.95540129864133,-121.33245614324008,channel,True,True,True,0.0
SAN RAMON,1423,37.74487564264759,-121.93673033346126,san ramon,SAN RAMON,37.74487564264759,-121.93673033346126,san ramon,True,True,True,0.0
TAR FLAT,16324,37.98475497824085,-120.37980694800358,tar flat,TAR FLAT,37.98475497824085,-120.37980694800358,tar flat,False,False,True,0.0
WILSON,25430,37.2934446066299,-120.40695900507797,wilson,WILSON,37.2934446066299,-120.40695900507797,wilson,True,True,True,0.0
SAN JOAQUIN,25236,36.62114126800271,-120.17810289515532,san joaquin,SAN JOAQUIN,36.62114126800271,-120.17810289515532,san joaquin,True,True,True,0.0
SAN MIGUEL,18266,35.75222542522153,-120.68382054645429,san miguel,SAN MIGUEL,35.75222542522153,-120.68382054645429,san miguel,True,True,True,0.0
WRIGHT,25464,37.01392488612878,-120.94478091254076,wright,WRIGHT,37.01392488612878,-120.94478091254076,wright,True,True,True,0.0
CAYETANO,1442,37.73836825979488,-121.77069648385788,cayetano,CAYETANO,37.73836825979488,-121.77069648385788,cayetano,True,True,True,0.0
PIERCY,8391,37.27020479293485,-121.78738454597324,piercy,PIERCY,37.27020479293485,-121.78738454597324,piercy,True,True,True,0.0
COALINGA NO 2,25238,36.237727890424445,-120.31459024852086,coalinga no 2,COALINGA NO 2,36.237727890424445,-120.31459024852086,coalinga no 2,False,False,True,0.0
SANTA TERESA,8296,37.238496970450434,-121.79054338190755,santa teresa,SANTA TERESA,37.238496970450434,-121.79054338190755,santa teresa,False,False,True,0.0
PLUMAS,15373,39.0262294520019,-121.54346448414113,plumas,PLUMAS,39.0262294520019,-121.54346448414113,plumas,True,True,True,0.0
IGNACIO,4248,38.075692626064345,-122.53961816606646,ignacio,IGNACIO,38.075692626064345,-122.53961816606646,ignacio,True,True,True,0.0
JANES CREEK,19239,40.90518967567011,-124.07217770855576,janes creek,JANES CREEK,40.90518967567011,-124.07217770855576,janes creek,True,True,True,0.0
VICTOR,16328,38.14519826927607,-121.1770973185347,victor,VICTOR,38.14519826927607,-121.1770973185347,victor,True,True,True,0.0
