util_name,util_norm,util_lat,util_lon,basin_name,basin_norm,basin_lat,basin_lon,dist_km,name_match
NORTH DUNSMUIR,north dunsmuir,41.22065394602859,-122.27659465832272,North Dunsmuir,north dunsmuir,41.22066963800598,-122.27634987054262,0.020547853210536957,True
ALTURAS,alturas,41.49976411587373,-120.53370406371604,Alturas,alturas,41.49986440367209,-120.53346705469008,0.02267050572227467,True
MORRISON CREEK,morrison creek,41.92494152009263,-124.13939073134004,Simonson,simonson,41.92514595396152,-124.13942387088667,0.022896746816080917,False
DOG CREEK,dog creek,40.940236200238594,-122.43128122737986,Dog Creek,dog creek,40.94013301225021,-122.4310079579032,0.02566159062854122,True
SEIAD,seiad,41.84071808532734,-123.19230986932116,Seiad,seiad,41.84053309602203,-123.19196159609751,0.03543315928170046,True
COPCO 2 230KV,copco 2 230kv,41.97660119830531,-122.36166080740874,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,0.04400814412717454,False
YREKA,yreka,41.72883503905846,-122.63147594387732,Yreka,yreka,41.72857814518734,-122.63077234473836,0.06500138617159097,True
LASSEN,lassen,41.30506548695453,-122.3207152886364,Mt. Shasta,mt shasta,41.304653144742126,-122.3218293014706,0.10373677820751132,False
COPCO 2,copco 2,41.97520968611644,-122.35849213588962,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,0.306473938187457,False
BARKER ST FIELD RECLOSER,barker st field recloser,41.755529292968255,-124.16320416851184,Redwood,redwood,41.7608130402983,-124.16347257508188,0.5879475712133083,False
FALL CREEK HE PLANT,fall creek he plant,41.98563984077863,-122.3604673030273,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,0.9705785373408891,False
TURKEY HILL,turkey hill,42.01344304400579,-121.4177811745498,Tulelake,tulelake,41.953363861811184,-121.47142246508336,8.017929120474424,False
MERRILL_OR,merrill or,42.02635695560084,-121.60184612089463,Tunnel,tunnel,41.92527998073323,-121.56637498348368,11.615448884511828,False
PICKETT,pickett,42.0636486936378,-121.4711100413789,Tulelake,tulelake,41.953363861811184,-121.47142246508336,12.263140952926443,False
MALIN,malin,42.00682462163867,-121.31654886186406,Tulelake,tulelake,41.953363861811184,-121.47142246508336,14.114684183750366,False
HAMAKER,hamaker,42.1299966619637,-121.93576145535324,Dorris,dorris,41.96684121703738,-121.9135761877594,18.2343073145768,False
GREEN SPRINGS,green springs,42.12085432362628,-122.5477873442115,Copco 2 A,copco 2 a,41.97693765324555,-122.36138046319596,22.203454502105952,False
WEYERHAEUSER,weyerhaeuser,42.16799937165279,-121.82260035651754,Dorris,dorris,41.96684121703738,-121.9135761877594,23.59475927735411,False
SNOW GOOSE,snow goose,42.16111101929566,-121.79088735841772,Dorris,dorris,41.96684121703738,-121.9135761877594,23.858242723504983,False
HENLEY,henley,42.126592616610495,-121.7037585202342,Dorris,dorris,41.96684121703738,-121.9135761877594,24.813496218897278,False
CASEBEER,casebeer,42.1983148814316,-121.41371535196316,Tulelake,tulelake,41.953363861811184,-121.47142246508336,27.65060546007343,False
