OBJECTID,Name,Sub_Type,longitude,latitude
103,BLY,Distribution,-121.0451499560237,42.40157558051133
104,BOISE CASCADE,Distribution,-121.87909197945964,42.51290214649491
105,BONANZA,Distribution,-121.40981811351097,42.199096922359374
106,BOND STREET,Distribution,-121.31807931622372,44.04049154001566
107,BONNEVILLE,Transmission,-112.2201453876471,43.55478742902324
108,BOTHWELL,Distribution,-112.2791113445808,41.72950129468717
109,BOWLER FLATS,Transmission,-108.67265355862531,45.15762372735172
110,BOWMAN,Distribution,-118.3612971188344,46.067761936268624
111,BOYER SW STA,Transmission,-123.7173277631645,45.0747133766642
112,BPA ALBANY,Distribution,-123.12692534817276,44.621142263212775
113,BRIAN HEAD,Distribution,-112.84990161272886,37.70662809936501
114,BRIDGER PUMP,Distribution,-109.47815441082123,41.53335654640384
115,BRIDGERLAND,Transmission,-112.05951300087835,41.81512639735301
116,BRIGHAM SW RK,Transmission,-112.0058357619922,41.50260849515464
117,BRIGHTON,Distribution,-111.57959719979722,40.61027685011277
118,BROADVIEW,Transmission,-108.8524320354885,46.05148762295308
119,BROOKHURST,Distribution,-122.8442855114668,42.345165220738096
120,BROOKLAWN,Distribution,-112.66104832162785,38.27452095579815
121,BROWNSVILLE,Distribution,-123.01470989236188,44.38919081150892
122,BRUNSWICK,Distribution,-111.8840634254193,40.76405721231468
123,BRYAN,Distribution,-106.29820341232649,42.85855150410427
124,BRYANT,Distribution,-121.73840988337383,42.21090957433583
125,BUCHANAN,Distribution,-123.26021466969466,44.57471707040112
126,BUCKAROO,Distribution,-118.83668986203578,45.67624602481751
127,BUFFALO,Trans and Distrib,-106.65355803996724,44.35439923126816
128,BULLARD,Transmission,-120.35802998579275,42.17814033024234
129,BURGIN,Transmission,-112.049769831086,39.95117389913516
130,BURNS REACTIVE,Transmission,-119.04742512620946,43.66762516570919
131,BURRASTON POND METERING STA,Transmission,-111.8966667349566,39.81723618588785
132,BURTON,Distribution,-112.8574523865782,37.88215412754332
133,BUSH,Distribution,-112.12923375817516,41.63592327635583
134,BUTLERVILLE,Trans and Distrib,-111.82196869923308,40.62441759498864
135,BYRON,Distribution,-108.51244027186928,44.79710358917026
136,CACHE,Transmission,-111.85557654250778,41.76519590582922
137,CALAPOOYA,Trans and Distrib,-123.00939999203996,44.38823814446484
138,CAMAS,Distribution,-112.21688004752193,43.9566105507361
139,CAMERON,Transmission,-112.59552653251416,38.28022941067363
140,CAMP WILLIAMS,Trans and Distrib,-111.94773400232808,40.4685124899095
141,CAMPBELL,Distribution,-122.82701989979088,42.29564435910592
142,CANNON,Distribution,-111.9116356473018,40.73320538844464
143,CANNON BEACH,Distribution,-123.95507742597196,45.88853178027308
144,CANYON COMPRES,Trans and Distrib,-110.88022685732432,41.45445327901676
145,CANYON CREEK,Distribution,-111.53848290554934,43.883685318081255
146,CANYONLANDS,Distribution,-109.74411197215238,38.75870436325065
147,CANYONVILLE,Distribution,-123.26736899904276,42.952619607042
148,CAPITOL,Distribution,-111.89698273712072,40.78619761686593
149,CAPSTONE,Transmission,-119.10954462613462,45.9154083868916
150,CARBIDE,Distribution,-109.31891537753356,37.97474635009099
151,CARBON,Trans and Distrib,-110.86219033662438,39.7266069498093
152,CARBONVILLE,Distribution,-110.84424771682107,39.613187002666514
153,CARLISLE,Distribution,-111.9193185444648,40.69462341673306
154,CARNES,Distribution,-123.3720194678599,43.13010219907874
155,CASCADE KRAFT,Transmission,-118.92123039876424,46.103164495959845
156,CASEBEER,Distribution,-121.41371535196316,42.1983148814316
157,CASPER,Trans and Distrib,-106.3589763008098,42.87202841368672
158,CASSA,Distribution,-104.96258095537412,42.39828008462163
160,CASTO,Distribution,-111.80705199068396,40.6595213564453
161,CATALINA SW STA,Transmission,-120.86772281762008,44.28276932776906
162,CAVE JUNCTION,Trans and Distrib,-123.6379747645382,42.16607721487453
163,CAVEMAN,Distribution,-123.32475382675337,42.458479892079104
164,CEDARVILLE,Distribution,-120.18197347349344,41.531578016942206
165,CENTENNIAL,Distribution,-111.98977552773076,40.73297236125543
166,CENTER STREET,Distribution,-106.32584584204002,42.85468215055989
167,CENTERVILLE,Distribution,-111.8926472941847,40.913543053517806
168,CENTRAL_UT,Distribution,-112.10902090340942,38.703379872105245
169,CENTRAL_WA,Trans and Distrib,-118.34670696855228,46.065864020793896
170,CHALK BUTTE METERING STA,Transmission,-105.46507912888696,42.74453421280239
171,CHAPEL HILL,Distribution,-111.86143138513556,40.619206667503576
172,CHAPMAN,Distribution,-111.0380377067525,41.40571886317824
173,CHAPPARAL,Distribution,-111.9263690366509,40.17618170251511
174,CHAPPEL CREEK,Transmission,-110.22423703128736,42.249007493539736
175,CHASE RANCH,Distribution,-106.38389289340502,41.91383097346379
176,CHERRY LANE,Distribution,-121.12945303478487,44.665140816740085
177,CHERRY WOOD,Distribution,-111.7019140573661,40.3182011898592
178,CHESTERFIELD,Distribution,-111.91047064736266,42.82323529536578
179,CHEVRON,Transmission,-111.91972325256828,40.82544488366078
180,CHILOQUIN,Trans and Distrib,-121.84207867594344,42.58594717530151
181,CHILOQUIN MRKT,Distribution,-121.87177464092176,42.57768552260223
182,CHIMNEY BUTTE,Transmission,-110.12170772111298,42.48338323266425
183,CHINA HAT,Distribution,-121.33026764003236,44.0023734769885
184,CHUKAR,Distribution,-108.78174448074024,44.76121035707045
185,CINDER BUTTE,Distribution,-112.16199004886616,43.4390343815827
186,CIRCLE BLVD,Distribution,-123.2468865832165,44.5876281589707
187,CIRCLEVILLE,Distribution,-112.25031681204064,38.16428978998674
188,CLAIM JUMPER,Transmission,-106.3229393860574,43.389968301714994
189,CLAWSON,Transmission,-111.0563515912796,39.139168211565895
190,CLEAR CREEK,Distribution,-111.1522724001506,39.651745712821096
191,CLEAR LAKE_CA,Distribution,-121.27663843855598,41.70481512978127
192,CLEAR LAKE_UT,Distribution,-112.8481409444164,39.10460645808079
193,CLEARFIELD S,Distribution,-112.04464372876616,41.10510987642922
194,CLEARWATER 1,Trans and Distrib,-122.33706466094335,43.25132532346835
195,CLEARWATER 2,Trans and Distrib,-122.40995147027192,43.26692681392085
196,CLEARWATER SY,Transmission,-122.41411386714152,43.26362129561725
197,CLEMENTS,Distribution,-112.20319430040662,43.55459920031618
198,CLEVELAND AVE,Distribution,-121.29964802278734,44.04038943414498
199,CLIFTON,Distribution,-111.97940103093988,42.1842703935648
200,CLINTON_UT,Distribution,-112.0575735058406,41.14111819194376
201,CLINTON_WA,Distribution,-120.5563060176243,46.584423318485264
202,CLIVE,Distribution,-113.12344088319274,40.73084343482149
203,CLOAKE,Distribution,-123.39111399825038,43.20867312918289
204,CLOUD METERING STA (FUTURE),Transmission,-112.04716420112908,40.569184820249454
205,CLOVER,Transmission,-111.89457241348298,39.78955760051552
206,COAL CREEK SY,Transmission,-110.68860870718731,39.59582993081654
207,COAL MINE,Distribution,-105.83911160517022,43.030040960145925
208,COALVILLE,Distribution,-111.398972728227,40.91250136842439
209,COBURG,Distribution,-123.0752383959688,44.14301962372242
210,COKEVILLE,Distribution,-110.95560302317098,41.92251273557586
211,COLD SPRINGS,Transmission,-119.22699735078174,45.889327062811
212,COLD WATER CYN,Distribution,-111.93364660227958,41.30699232497105
