substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
Hollywood Park,2246.0,El Nido 220/66 System,0.0,0.0,0.0,11.2,0.0,52.17,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hopeful,1236.0,Rio Hondo 220/66 System,0.0,0.0,0.0,14.33,0.0,25.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hossack P.t.,1406.0,Springville 220/66 System,0.0,0.0,0.0,0.03,0.0,0.1,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
Hub,793.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hughesair,1172.0,El Nido 220/66 System,0.0,0.0,0.0,14.54,0.0,50.39,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hughtron,1121.0,La Fresa 220/66 System,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hunter,273.0,Vista C 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Huntington Beach,122.0,Ellis 'A' 220/66 System,0.0,0.0,0.0,0.0,0.0,133.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Hygen,799.0,Etiwanda 220/66 System,0.0,0.0,0.0,16.0,0.0,20.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Icegen,23.0,Lighthipe 220/66 System,0.0,0.0,0.0,0.0,0.0,50.39,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Idyllbrook P.t.,1418.0,Valley 'Ab' 500/115 System,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Idyllwild P.t.,1683.0,Valley 500/115 System,1.385,0.169,1.554,7.23,0.21,8.95,12.0,2.0,55.2174,10.7246,0.0,0.0,34.058,381.0,74.0,0.0,0.0,235.0,Deliverability in this area has not been determined by previous interconnection studies.
Indigo,103.0,Devers 220/115 System,0.0,0.0,0.0,135.0,0.0,135.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
Industrial Asphalt,1078.0,Vista 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Injection,1111.0,Alamitos 220/66 System,0.0,0.0,0.0,0.0,0.0,16.67,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Inland,1097.0,Etiwanda 220/66 System,0.0,0.0,0.0,29.39,0.0,56.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Iron Mt. (Mwd),237.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Irvine Park P.t.,1419.0,Villa Park 220/66 System,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
J.p.l.,1096.0,Gould 220/66 System,0.0,0.0,0.0,18.79,0.0,44.79,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Jacknorthrop P.t.,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,
Japanese Mesa,,,,,,,,,12.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,
Johanna 'A',2133.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Johanna 'B',2132.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Jose,1060.0,Rio Hondo 220/66 System,0.0,0.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
Julian Hinds,235.0,Mwd 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
