name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path
Metcalf Energy Center,PG&E,pge,SUBSTATION,309434.0,230.0,37.22141403525465,-121.7465990269561,Santa Clara County,San Jose,95013,CEC,
Middle Fork,PG&E,pge,SUBSTATION,309436.0,230.0,39.024247428028936,-120.59641017110816,Placer County,Unincorporated,95631,CEC,PCWA
Midway Green Ridge Services,PG&E,pge,,,,37.726530802418,-121.58725934901273,Alameda County,Unincorporated,95377,CEC,
Midway-Sunset Cogen 2,PG&E,pge,SUBSTATION,310433.0,,35.22648337090991,-119.63085280152517,Kern County,Unincorporated,93224,CEC,
Midway-Sunset Cogen 3,PG&E,pge,SUBSTATION,303113.0,,35.2255805690481,-119.62976389920804,Kern County,Unincorporated,93224,CEC,
Midway-Sunset Cogeneration,PG&E,pge,SUBSTATION,309535.0,,35.22732221964842,-119.63101111071208,Kern County,Unincorporated,93224,CEC,
Monta Vista,PG&E,pge,SUBSTATION,308542.0,,37.32391499798285,-122.07315000092498,Santa Clara County,Cupertino,95014,CEC,
Monta Vista (Upper),PG&E,pge,SUBSTATION,305804.0,230.0,37.32640766491489,-122.07542609827172,Santa Clara County,Cupertino,95014,CEC,
Monterey,PG&E,pge,SUBSTATION,304111.0,60.0,36.59982742598498,-121.89048372337044,Monterey County,Monterey,93940,CEC,
Monterey Naval Lab,PG&E,pge,SUBSTATION,301692.0,60.0,36.58953305992025,-121.86383166309272,Monterey County,Monterey,93940,CEC,
Moss Landing,PG&E,pge,SUBSTATION,301760.0,500.0,36.80612983039401,-121.77572736481476,Monterey County,Unincorporated,95039,CEC,
Mt. Gate,PG&E,pge,SUBSTATION,301993.0,,40.73723942472659,-122.32249810228689,Shasta County,Unincorporated,96003,CEC,
Mt. Gate Junction,PG&E,pge,SUBSTATION,300872.0,,40.74435042460144,-122.30831628967974,Shasta County,Unincorporated,96003,CEC,25
Mt. House,PG&E,pge,SUBSTATION,300904.0,60.0,37.79421735104328,-121.5595701644619,Alameda County,Unincorporated,95391,CEC,
Murphy,PG&E,pge,SUBSTATION,308813.0,115.0,38.14698707252699,-120.44641944391417,Calaveras County,Unincorporated,95247,CEC,
NCPA 1&2,PG&E,pge,SUBSTATION,304033.0,230.0,38.752277648346734,-122.71954930248444,Sonoma County,Unincorporated,95461,CEC,
NCPA 3&4,PG&E,pge,SUBSTATION,300833.0,230.0,38.74876308393582,-122.71157637006174,Sonoma County,Unincorporated,95448,CEC,
Navy School,PG&E,pge,SUBSTATION,303987.0,60.0,36.59960040831284,-121.87688420420542,Monterey County,Monterey,93943,CEC,
New Hogan,PG&E,pge,SUBSTATION,307201.0,60.0,38.14960442552077,-120.81487685984266,Calaveras County,Unincorporated,95252,CEC,
Newark-Sierra-Paperbroad,PG&E,pge,SUBSTATION,303073.0,115.0,37.94316146427212,-121.30118949605078,San Joaquin County,Stockton,95203,CEC,
Newby Island I,PG&E,pge,SUBSTATION,306695.0,,37.454759299452746,-121.93555105344583,Santa Clara County,San Jose,95134,CEC,
Newcastle,PG&E,pge,SUBSTATION,306130.0,115.0,38.83485899365069,-121.09482099610771,Placer County,Unincorporated,95658,CEC,
North Generator,PG&E,pge,SUBSTATION,310300.0,115.0,35.57820273141215,-119.54425997739465,Kern County,Unincorporated,93249,CEC,
North Midway,PG&E,pge,SUBSTATION,302904.0,,35.27635813221335,-119.59888631120108,Kern County,Unincorporated,93224,CEC,
Oak Park,PG&E,pge,SUBSTATION,303417.0,60.0,37.98051100923031,-121.29854501283836,San Joaquin County,Stockton,95204,CEC,
Oakland P,PG&E,pge,SUBSTATION,303482.0,,37.82101994924655,-122.32872803419949,Alameda County,Oakland,94607,CEC,
Oakmont North,PG&E,pge,SUBSTATION,307357.0,230.0,38.44282578570213,-122.58381376983976,Sonoma County,Santa Rosa,95409,CEC,North Bay
Oakmont South,PG&E,pge,SUBSTATION,309048.0,230.0,38.42885652446785,-122.59334347409708,Sonoma County,Santa Rosa,95409,CEC,North Bay
Oleum,PG&E,pge,SUBSTATION,301016.0,115.0,38.04448561242868,-122.25701587075334,Contra Costa County,Unincorporated,94572,CEC,
Opal Cliffs,PG&E,pge,SUBSTATION,307834.0,60.0,36.97633055345885,-121.96465485909064,Santa Cruz County,Capitola,95010,CEC,
Orchard Street,PG&E,pge,SUBSTATION,307597.0,115.0,39.14379081953796,-123.198878900639,Mendocino County,Ukiah,95482,CEC,
Orinda,PG&E,pge,SUBSTATION,308977.0,,37.88360417650063,-122.19347064930142,Contra Costa County,Unincorporated,94563,CEC,
Oxford,PG&E,pge,SUBSTATION,306180.0,500.0,36.71509335421034,-120.70182879867032,Fresno County,Unincorporated,93640,CEC,15
PG&E Pumping Station,PG&E,pge,SUBSTATION,307253.0,60.0,38.21807754072103,-122.15847906827008,Solano County,Unincorporated,94503,CEC,
Pacheco Wind Power,PG&E,pge,SUBSTATION,309344.0,230.0,37.04146743265345,-121.01081579813427,Merced County,Unincorporated,95322,CEC,
Palermo,PG&E,pge,SUBSTATION,307680.0,230.0,39.45434305228144,-121.51766154413596,Butte County,Unincorporated,95966,CEC,
Pardee,PG&E,pge,SUBSTATION,300030.0,60.0,38.25707835599408,-120.85038224817522,Calaveras County,Unincorporated,95640,CEC,
Park,PG&E,pge,SUBSTATION,301526.0,,38.77949830211822,-121.28274135487744,Placer County,Roseville,95678,CEC,
Parks,PG&E,pge,SUBSTATION,305695.0,,37.71164362479632,-121.8938503914868,Alameda County,Dublin,94568,CEC,
Petrol,PG&E,pge,SUBSTATION,304929.0,115.0,35.45463055696804,-118.99219166849436,Kern County,Unincorporated,93308,CEC,
Pine Flat,PG&E,pge,SUBSTATION,300052.0,230.0,36.83274726809918,-119.32680087985766,Fresno County,Unincorporated,93657,CEC,
Pit 4,PG&E,pge,SUBSTATION,304331.0,230.0,40.98709395894264,-121.84930328788134,Shasta County,Unincorporated,96065,CEC,
Pit 6,PG&E,pge,SUBSTATION,308747.0,230.0,40.92227055364233,-121.99234538707358,Shasta County,Unincorporated,96065,CEC,
Pit 7,PG&E,pge,SUBSTATION,300142.0,230.0,40.84661625517677,-121.99107242931848,Shasta County,Unincorporated,96065,CEC,
Pleasant Hill,PG&E,pge,SUBSTATION,300840.0,60.0,37.938804248237865,-122.08211356479114,Contra Costa County,Pleasant Hill,94523,CEC,
Poe,PG&E,pge,SUBSTATION,304253.0,230.0,39.723536736556646,-121.46997108966632,Butte County,Unincorporated,95965,CEC,H10
Polonio Pass,PG&E,pge,SUBSTATION,307440.0,70.0,35.73093259648137,-120.20779772837156,San Luis Obispo County,Unincorporated,93461,CEC,
Potter Valley,PG&E,pge,SUBSTATION,309613.0,60.0,39.361965280724384,-123.12784074768436,Mendocino County,Unincorporated,95469,CEC,
