sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
BIOLA SUB,Greater Fresno,Biola; Fresno,FRESNO,PGE,2
BIRDS EYE FOODS SUB (AGRILINK FOODS),Greater Bay Area,,CENTRAL COAST,nonPGE,1
BLUE CHIP MILLING,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
BLUE LAKE SUB,Humboldt,Blue Lake; McKinleyville,HUMBOLDT,PGE,2
BLUFORD CREEK HYDRO,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
BOGUE SUB,Sierra,South Yuba City; Yuba City,SIERRA,PGE,2
BOLINAS SUB,North Coast/North Bay,Bolinas; Stinson Beach,NORTH BAY,PGE,2
BOLTHOUSE FARMS SUB,Kern,Kern County,KERN,nonPGE,1
BONITA SUB,Greater Fresno,Madera,YOSEMITE,PGE,1
BONNIE NOOK SUB,Sierra,Dutch Flat,SIERRA,PGE,1
BORDEN SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno; Madera; Parksdale; Parkwood,YOSEMITE,PGE,5
BORONDA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
BOSTON SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
BOSWELL SUB,Greater Fresno,Corcoran,FRESNO,PGE,1
BOSWELL TOMATO PLANT SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
BOWLES SUB,Greater Fresno,Bowles; Easton,FRESNO,PGE,2
BRENTWOOD SUB,Greater Bay Area,Bethel Island; Brentwood; Byron; Discovery Bay; Knightsen; Oakley,DIABLO,PGE,6
BRIDGEVILLE SUB,Humboldt,Bridgeville,HUMBOLDT,PGE,1
BRIGATANO SUB,Greater Bay Area,,CENTRAL COAST,nonPGE,1
BRIGHTON SUB,Sierra,Sacramento,SACRAMENTO,PGE,1
BRITTON SUB,Greater Bay Area,Santa Clara; Sunnyvale,DE ANZA,PGE,2
BROOKSIDE SUB,Greater Bay Area,Richmond; San Pablo,EAST BAY,PGE,2
BROWNS VALLEY SUB,Sierra,Loma Rica,SIERRA,PGE,1
BRUNSWICK SUB,Sierra,Alta Sierra; Grass Valley; Nevada City,SIERRA,PGE,3
BRYANT SUB,Greater Bay Area,Orinda,DIABLO,PGE,1
BUCKS CREEK SUB,Sierra,Belden; Bucks Lake; Caribou; Storrie; Tobin,NORTH VALLEY,PGE,5
BUENA VISTA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
BULLARD SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2
BURLINGAME SUB,Greater Bay Area,Burlingame; Hillsborough,PENINSULA,PGE,2
BURNS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1
CAL WATER SUB,Kern,Bakersfield,KERN,nonPGE,1
CALERO SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
CALFLAX SUB,Greater Fresno,Huron,FRESNO,nonPGE,1
CALIFORNIA AVE SUB,Greater Fresno,Fresno,FRESNO,PGE,1
CALIFORNIA DAIRIES (DANISH CREAMERY) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
CALISTOGA SUB,North Coast/North Bay,Calistoga,NORTH BAY,PGE,1
CALPEAK PANOCHE IPP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
CALPELLA SUB,North Coast/North Bay,Calpella,NORTH COAST,PGE,1
CALVO SUB,Stockton,Tracy,STOCKTON,PGE,1
CAMANCHE PP SUB,Stockton,Lockeford,STOCKTON,nonPGE,1
CAMDEN SUB,Greater Fresno,Lanare; Laton; Riverdale,FRESNO,PGE,3
CAMP EVERS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1
CAMP FAR WEST,Sierra,Lincoln,SIERRA,nonPGE,1
CAMPHORA JCT,Greater Bay Area,,CENTRAL COAST,PGE,1
CAMPHORA SUB,Greater Bay Area,Soledad,CENTRAL COAST,PGE,1
CANAL SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
CANANDAIGUA WINERY SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1
CANDLEWICK DIXIE YARN SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1
CANTUA SUB,Greater Fresno,Cantua Creek,FRESNO,PGE,1
CAPE HORN SUB,Sierra,Colfax,SIERRA,nonPGE,1
CARBONA SUB,Stockton,Tracy,STOCKTON,PGE,1
CARLOTTA SUB,Humboldt,Fortuna; Hydesville,HUMBOLDT,PGE,2
CARNATION DAIRY SUB,Kern,Bakersfield,KERN,PGE,1
CAROLANDS SUB,Greater Bay Area,Burlingame; Hillsborough; San Mateo,PENINSULA,PGE,3
CARQUINEZ SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1
CARUTHERS SUB,Greater Fresno,Caruthers,FRESNO,PGE,1
CASSIDY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno,YOSEMITE,PGE,2
CASTLE SUB,Greater Fresno,Merced,FRESNO,nonPGE,1
CASTRO SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
CASTRO VALLEY SUB,Greater Bay Area,Ashland; Castro Valley; Cherryland; Fairview; Hayward; Union City,MISSION,PGE,6
CASTROVILLE SUB,Greater Bay Area,Castroville,CENTRAL COAST,PGE,1
CATLETT SUB,Sierra,Pleasant Grove,SIERRA,PGE,1
CAWELO B SUB,Kern,Famosa,KERN,PGE,1
CAWELO C SUB,Kern,Famosa,KERN,PGE,1
CAYETANO SUB,Greater Bay Area,Livermore,MISSION,PGE,1
CERTAINTEED SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1
CHALLENGE SUB,Sierra,Brownsville; Challenge; La Porte; Little Grass Valley,NORTH VALLEY,PGE,4
CHENEY SUB,Greater Fresno,Mendota,YOSEMITE,PGE,1
CHERRY SUB,Greater Bay Area,San Leandro,MISSION,PGE,1
CHEVRON PIPELINE KETTLEMAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
CHEVRON PIPELINE LOS BANOS SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
CHILI BAR PH,Sierra,El Dorafo County,SIERRA,PGE,1
CHOWCHILLA #2 NEO SUB,Greater Fresno,Madera County,FRESNO,PGE,1
CHOWCHILLA #3 CO-GEN SJVE SUB,Greater Fresno,Madera County,FRESNO,PGE,1
CHOWCHILLA SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1
CHRISTIE SUB,Greater Bay Area,Hercules,DIABLO,PGE,1
CLARKSVILLE SUB,Sierra,Cameron Park; El Dorado Hills; Folsom,SIERRA,PGE,3
CLAYTON SUB,Greater Bay Area,Alamo; Clayton; Concord; Walnut Creek,DIABLO,PGE,4
CLEAR LAKE SUB,North Coast/North Bay,Kelseyville; Lakeport,NORTH COAST,PGE,2
CLOVERDALE SUB,North Coast/North Bay,Cloverdale,NORTH COAST,PGE,1
CLOVIS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2
COALINGA NO.1 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1
COALINGA NO.2 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1
COARSEGOLD SUB,Greater Fresno,Oakhurst; Yosemite Lakes,YOSEMITE,PGE,2
COLGATE SUB,Sierra,Dobbins,SIERRA,PGE,1
COLONY SUB,Stockton,Lockeford,STOCKTON,PGE,1
COLUMBIA HILL SUB,Sierra,Sweetland,SIERRA,PGE,1
COLUMBUS SUB,Kern,Bakersfield,KERN,PGE,1
CONCORD SUB,Greater Bay Area,Concord,DIABLO,PGE,1
CONTADINA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
CONTRA COSTA PP SUB,Greater Bay Area,Antioch,DIABLO,nonPGE,1
CONTRA COSTA SUB,Greater Bay Area,Antioch; Brentwood; Oakley,DIABLO,PGE,3
COOLEY LANDING SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE,1
COPPERMINE SUB,Greater Fresno,Clovis,FRESNO,PGE,1
CORCORAN SUB,Greater Fresno,Corcoran,FRESNO,PGE,1
CORONA SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1
COTATI SUB,North Coast/North Bay,Bodega Bay; Cotati; Dillon Beach; Rohnert Park; Tomales,NORTH COAST,PGE,5
COVELO SUB,North Coast/North Bay,Covelo,NORTH COAST,PGE,1
CPM SUB,Sierra,Clarksville,SIERRA,nonPGE,1
CRAZY HORSE CANYON SW STA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
CRESSEY SUB,Greater Fresno,Livingston; Winton,YOSEMITE,PGE,2
CRESTA PH SUB,Sierra,Concow,NORTH VALLEY,PGE,1
CROCKETT SUB,Greater Bay Area,Crockett,EAST BAY,PGE,1
CROW CREEK SW STA,Stockton,Stomar,STOCKTON,PGE,1
CROWS LANDING SUB,Stockton,Crows Landing,YOSEMITE,PGE,1
CRUSHER SUB,Greater Bay Area,Bonny Doon,CENTRAL COAST,PGE,1
CRYSTAL SPRINGS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE,1
CURTIS SUB,Stockton,Columbia; East Sonora; Groveland-Big Oak Flat; Jamestown; Mono Vista; Phoenix Lake-Cedar Ridge; Sonora; Soulsbyville; Tuolumne City,YOSEMITE,PGE,9
City of HEALDSBURG SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE,1
DAIRYLAND SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1
DALY CITY SUB,Greater Bay Area,Broadmoor; Colma; Daly City; Pacifica; San Francisco; South San Francisco,PENINSULA,PGE,6
DAVIS SUB,Sierra,Davis,SACRAMENTO,nonPGE,1
DE FRANCESCO SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
DEADWOOD CREEK,Sierra,Concow,NORTH VALLEY,nonPGE,1
DEEPWATER SUB,Sierra,West Sacramento,SACRAMENTO,PGE,1
DEER CREEK PH,Sierra,Nevada County,SIERRA,PGE,1
DEL MAR SUB,Sierra,Granite Bay; Lincoln; Loomis; Rocklin,SIERRA,PGE,4
DEL MONTE SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1
DELTA SWITCHING YARD,Greater Bay Area,,,,1
DERRICK SUB,Greater Fresno,Kettleman,KERN,nonPGE,1
DEXZEL SUB,Kern,Kern County,KERN,nonPGE,1
DIAMOND SPRINGS SUB,Sierra,Diamond Springs; Placerville,SIERRA,PGE,2
DINOSAUR POINT SUB,Greater Fresno,Merced County,FRESNO,PGE,1
DINUBA ENERGY SUB,Greater Fresno,Dinuba; London; Reedley,FRESNO,nonPGE,3
DISCOVERY CHEVRON SUB,Kern,Kern County,KERN,nonPGE,1
DIXON LANDING SUB,Greater Bay Area,Fremont; Milpitas; San Jose,MISSION,PGE,4
DOBBINS SUB,Sierra,Dobbins,SIERRA,PGE,1
DOLAN ROAD SUB,Greater Bay Area,Moss Landing,CENTRAL COAST,PGE,1
DOLE PACKAGED FROZEN FOODS INC SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
DOS PALOS SUB,Greater Fresno,Dos Palos; South Dos Palos,YOSEMITE,PGE,2
DOUBLE C SUB,Kern,Kern County,KERN,nonPGE,1
DOW CHEMICAL METERING SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE,1
DOWNIEVILLE DIESEL SUB,Sierra,Loyalton,SIERRA,PGE,1
DRUM PH #1 SUB,Sierra,Colfax,SIERRA,PGE,1
DUMBARTON SUB,Greater Bay Area,Fremont; Hayward; Newark; Union City,MISSION,PGE,4
DUNBAR SUB,North Coast/North Bay,Boyes Hot Springs; Eldridge; Fetters Hot Springs-Agua Caliente; Glen Ellen; Santa Rosa,NORTH COAST,PGE,5
DUNLAP SUB,Greater Fresno,Squaw Valley,FRESNO,PGE,1
DUTCH FLAT #1 PH,Sierra,Colfax,SIERRA,PGE,1
EAGLE ROCK SUB,North Coast/North Bay,Geysers,NORTH COAST,PGE,1
EAST BANK SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
EAST GRAND SUB,Greater Bay Area,Brisbane; Colma; San Bruno; South San Francisco,PENINSULA,PGE,4
EAST MARYSVILLE SUB,Sierra,Marysville; Yuba City,SIERRA,PGE,2
EAST NICOLAUS SUB,Sierra,E. Nicolaus,SIERRA,PGE,1
EAST PORTAL SUB,Greater Bay Area,Orinda,DIABLO,PGE,1
EASTSHORE SUB,Greater Bay Area,Hayward,MISSION,PGE,1
EDENVALE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
EDES SUB,Greater Bay Area,Oakland; San Leandro,EAST BAY,PGE,2
EEL RIVER SUB,Humboldt,Ferndale; Humboldt Hill,HUMBOLDT,PGE,2
EIGHTEENTH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
EIGHTH AVE SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
EL CAPITAN SUB,Greater Fresno,Merced,YOSEMITE,PGE,1
EL CERRITO G SUB,Greater Bay Area,Albany; Berkeley; East Richmond Heights; El Cerrito; Kensington; Richmond; Rollingwood; San Pablo,EAST BAY,PGE,9
EL DORADO PH,Sierra,Pollock Pines,SIERRA,nonPGE,1
EL NIDO SUB,Greater Fresno,Merced,YOSEMITE,PGE,1
EL PATIO SUB,Greater Bay Area,Burbank; Campbell; Fruitdale; San Jose; Santa Clara,DE ANZA,PGE,5
EL PECO SUB,Greater Fresno,Madera,YOSEMITE,PGE,1
ELK SUB,North Coast/North Bay,Elk,NORTH COAST,PGE,1
ELLIS SUB,Stockton,Tracy,STOCKTON,nonPGE,1
EMERALD LAKE SUB,Greater Bay Area,Emerald Lake Hills; Redwood City; Woodside,PENINSULA,PGE,3
ENCINAL SUB,Sierra,Live Oak,SIERRA,PGE,1
ERTA SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1
ESSEX JUNCT SUB,Humboldt,Blue Lake,HUMBOLDT,PGE,1
ESTUDILLO SUB,Greater Bay Area,Oakland; San Leandro,MISSION,PGE,2
EUREKA A SUB,Humboldt,Eureka,HUMBOLDT,PGE,1
EUREKA E SUB,Humboldt,Bayview; Cutten; Eureka; Pine Hills,HUMBOLDT,PGE,4
EVERGREEN SUB,Greater Bay Area,San Jose; Seven Trees,SAN JOSE,PGE,2
EXCELSIOR SW STA,Greater Fresno,Mendota,YOSEMITE,PGE,1
EXCHEQUER PH SUB,Greater Fresno,Snelling,FRESNO,nonPGE,1
FAIRHAVEN SUB,Humboldt,Fairhaven,HUMBOLDT,PGE,1
FAIRMONT SUB,Greater Bay Area,Albany; El Cerrito; Richmond,EAST BAY,PGE,3
