sap_substation_name,lcr_area,city_served,division,owner,n_city_rows
HIGHWAY 70 INDUSTRIAL PARK (LOUISIANA PACIFIC),Sierra,Oroville,NORTH VALLEY,nonPGE,1
HIGHWAY SUB,North Coast/North Bay,American Canyon; Vallejo,NORTH BAY,PGE,2
HILLSDALE SUB,Greater Bay Area,Belmont; Hillsborough; San Mateo,PENINSULA,PGE,3
HJ HEINZ,Stockton,Tracy,STOCKTON,nonPGE,1
HOLLISTER SUB,Greater Bay Area,Hollister,CENTRAL COAST,PGE,1
HOLLYWOOD SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2
HOMESTAKE SUB,North Coast/North Bay,,NORTH COAST,PGE,1
HONCUT SUB,Sierra,Gridley; Loma Rica,NORTH VALLEY,PGE,2
HOOPA SUB,Humboldt,Hoopa,HUMBOLDT,PGE,1
HOPLAND SUB,North Coast/North Bay,Hopland,NORTH BAY,PGE,1
HORSESHOE SUB,Sierra,Folsom; Granite Bay; Loomis; Roseville,SIERRA,PGE,4
HOWLAND ROAD SUB,Stockton,Manteca,STOCKTON,PGE,1
HUMBOLDT BAY GEN STA SUB,Humboldt,Bayview; Eureka; Humboldt Hill; Pine Hills,HUMBOLDT,PGE,5
HUMBOLDT SUB,Humboldt,Eureka,HUMBOLDT,PGE,1
HURON SUB,Greater Fresno,Huron,FRESNO,PGE,1
IGNACIO SUB,North Coast/North Bay,Black Point-Green Point; Lucas Valley-Marinwood; Novato,NORTH BAY,PGE,3
IMHOFF SUB,Greater Bay Area,Martinez,DIABLO,PGE,1
INDIAN FLAT SUB,Greater Fresno,Incline,YOSEMITE,PGE,1
INDIAN VALLEY SUB,North Coast/North Bay,,NORTH COAST,PGE,1
INDUSTRIAL ACRES SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
INDUSTRIAL SUB,Stockton,Lodi,STOCKTON,PGE,1
INGRAM CREEK SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE,1
IUKA SUB,Greater Bay Area,Pleasanton,MISSION,PGE,1
J.R. WOOD SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
JACALITO SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
JACOBS CORNER SUB,Greater Fresno,Lemoore; Lemoore Station; Stratford,FRESNO,PGE,3
JANES CREEK SUB,Humboldt,Arcata; McKinleyville,HUMBOLDT,PGE,2
JARVIS SUB,Greater Bay Area,Fremont; Hayward; Union City,MISSION,PGE,3
JEFFERSON SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1
JR WOOD SUB,Greater Fresno,Atwater,YOSEMITE,nonPGE,1
JUDAH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
KAMM (TEXACO) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
KANAKA SUB,Sierra,Feather Falls,NORTH VALLEY,nonPGE,1
KANSAS SOLAR SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1
KANSAS SOUTH SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1
KASSON SUB,Stockton,Tracy,STOCKTON,PGE,1
KEARNEY (NEW) SUB,Greater Fresno,Easton; Fresno; Fresno County,FRESNO,PGE,3
KEARNY (OLD) SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
KEKAWAKA,Humboldt,,HUMBOLDT,nonPGE,1
KELSO SUB,Greater Bay Area,Tracy,STOCKTON,PGE,1
KERCKHOFF #1 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
KERCKHOFF #2 PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
KERMAN SUB,Greater Fresno,Kerman,FRESNO,PGE,1
KERN FRONT SUB,Kern,Kern County,KERN,nonPGE,1
KERN OIL SUB,Kern,Bakersfield; Oildale,KERN,PGE,2
KERN PP SUB,Kern,Bakersfield,KERN,PGE,1
KERNWATER SUB,Kern,Kern County,KERN,PGE,1
KETTLEMAN HILLS SUB,Greater Fresno,Avenal,FRESNO,PGE,1
KINGS RIVER PH SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
KINGSBURG SUB,Greater Fresno,Kingsburg; London; Selma; Traver,FRESNO,PGE,4
KIRKER SUB,Greater Bay Area,Antioch; Bay Point; Pittsburg,DIABLO,PGE,3
KNIGHTS LANDING SUB,Sierra,Knights Landing,SACRAMENTO,PGE,1
KONOCTI SUB,North Coast/North Bay,Cobb; Kelseyville; Lower Lake,HUMBOLDT,PGE,3
LAGUNA SECA SUB,North Coast/North Bay,Salinas,NORTH COAST,PGE,1
LAGUNITAS SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
LAKEVILLE SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1
LAKEWOOD SUB,Greater Bay Area,Alamo; Lafayette; Pleasant Hill; Waldon; Walnut Creek,DIABLO,PGE,5
LAMBIE SW STA SUB,Greater Bay Area,Rio Vista,SACRAMENTO,PGE,1
LAMMERS SUB,Stockton,Tracy,STOCKTON,PGE,1
LAMONT SUB,Kern,Bakersfield; Lamont; Weedpatch,KERN,PGE,3
LAS AROMAS SUB,Greater Bay Area,Orinda,DIABLO,PGE,1
LAS GALLINAS A SUB,North Coast/North Bay,Lucas Valley-Marinwood; San Rafael; Santa Venetia,NORTH BAY,PGE,3
LAS PALMAS SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
LAS POSITAS SUB,Greater Bay Area,Livermore; Pleasanton,MISSION,PGE,2
LAS PULGAS SUB,Greater Bay Area,Atherton; Redwood City,PENINSULA,PGE,2
LAURELES JCT,Greater Bay Area,,CENTRAL COAST,PGE,1
LAURELES SUB,Greater Bay Area,Carmel,CENTRAL COAST,PGE,1
LAWNDALE SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE,1
LAWRENCE SUB,Greater Bay Area,San Jose; Santa Clara; Sunnyvale,DE ANZA,PGE,3
LAYTONVILLE SUB,North Coast/North Bay,Laytonville,NORTH COAST,PGE,1
LE GRAND SUB,Greater Fresno,Le Grand,YOSEMITE,PGE,1
LEARNER SUB,Stockton,Stockton,STOCKTON,,1
LEMOORE NAS SUB,Greater Fresno,Kings County,FRESNO,PGE,1
LEMOORE SUB,Greater Fresno,Lemoore,FRESNO,PGE,1
LEPRINO FOODS LEEMORE SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
LEPRINO FOODS TRACY SUB,Stockton,Tracy,STOCKTON,nonPGE,1
LEPRINO SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
LERDO SUB,Kern,Shafter,KERN,PGE,1
LIMESTONE SUB,Sierra,Shingle Springs,SIERRA,PGE,1
LINCOLN SUB,Sierra,Lincoln,SIERRA,PGE,1
LIVE OAK SUB,Sierra,Live Oak,SIERRA,PGE,1
LIVERMORE SUB,Greater Bay Area,Livermore,MISSION,PGE,1
LIVINGSTON SUB,Greater Fresno,Livingston; Winton,YOSEMITE,PGE,2
LLAGAS SUB,Greater Bay Area,Gilroy; San Martin,SAN JOSE,PGE,2
LOCKHEED #2 SUB,Greater Bay Area,San Jose; Sunnyvale,DE ANZA,PGE,2
LODI STIG,Sierra,Lodi,STOCKTON,nonPGE,1
LODI SUB,Stockton,Lodi; North Woodbridge; South Woodbridge,STOCKTON,PGE,3
LONE STAR SUB,Greater Bay Area,Santa Cruz County,CENTRAL COAST,nonPGE,1
LONETREE SUB,Greater Bay Area,Antioch; Brentwood; Oakley,DIABLO,PGE,3
LOS ALTOS SUB,Greater Bay Area,Los Altos; Los Altos Hills; Mountain View; Palo Alto,DE ANZA,PGE,4
LOS BANOS SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
LOS ESTEROS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
LOS GATOS SUB,Greater Bay Area,Lexington Hills; Los Gatos; Monte Sereno,DE ANZA,PGE,3
LOUISE SUB,Stockton,Manteca,STOCKTON,nonPGE,1
LOUISIANA PACIFIC ARCATA,Humboldt,Arcata,HUMBOLDT,nonPGE,1
LOWER LAKE SUB,North Coast/North Bay,Lower Lake,NORTH COAST,PGE,1
LOYOLA SUB,Greater Bay Area,Los Altos; Los Altos Hills; Loyola; Mountain View; Palo Alto,DE ANZA,PGE,5
LUCERNE SUB,North Coast/North Bay,Lucerne; Nice; North Lakeport; Upper Lake,NORTH COAST,PGE,4
MABURY SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
MADERA JCT SUB,Greater Fresno,Madera,FRESNO,nonPGE,1
MADERA POWER SUB,Greater Fresno,Madera,FRESNO,nonPGE,1
MADERA SUB,Greater Fresno,Madera; Parkwood,YOSEMITE,nonPGE,2
MALAGA POWER LLC (KRCD PEAKER),Greater Fresno,Fresno County,FRESNO,nonPGE,1
MALAGA SUB,Greater Fresno,Calwa; Easton; Fowler; Fresno,FRESNO,PGE,4
MANCHESTER SUB,Greater Fresno,Fresno,FRESNO,PGE,1
MANTECA SUB,Stockton,Manteca,STOCKTON,PGE,1
MAPLE CREEK SUB,Humboldt,Blue Lake,HUMBOLDT,PGE,1
MAPLE SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
MARIPOSA SUB,Greater Fresno,Bootjack; Mariposa,YOSEMITE,PGE,2
MARKHAM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
MARSH SUB,Greater Bay Area,Brentwood,DIABLO,PGE,1
MARTINEZ PP SUB,Greater Bay Area,Martinez,DIABLO,PGE,1
MARYSVILLE SUB,Sierra,Linda; Marysville; Yuba City,SIERRA,PGE,3
MC FARLAND SUB,Kern,McFarland,KERN,PGE,1
MC MULLIN SUB,Greater Fresno,Easton; Raisin City,FRESNO,PGE,2
MCAVOY TAP SUB,Greater Bay Area,Bay Point,DIABLO,nonPGE,1
MCCALL SUB,Greater Fresno,Del Rey; Fowler; Parlier; Selma,FRESNO,PGE,4
MCKEE SUB,Greater Bay Area,Alum Rock; East Foothills; San Jose,SAN JOSE,PGE,3
MCMULLIN SUB,Greater Fresno,Fresno,FRESNO,PGE,1
MEADOW LANE SUB,Greater Bay Area,Concord; Martinez; Pleasant Hill; Waldon; Walnut Creek,DIABLO,PGE,5
MELONES SUB,Stockton,Sonora,STOCKTON,PGE,1
MENDOCINO SUB,North Coast/North Bay,Redwood Valley,NORTH COAST,PGE,1
MENDOTA BIOMASS SUB,Greater Fresno,Mendota,FRESNO,nonPGE,1
MENDOTA SUB,Greater Fresno,Mendota,YOSEMITE,PGE,1
MENLO SUB,Greater Bay Area,Atherton; Los Altos Hills; Menlo Park; Palo Alto; Portola Valley; Redwood City; Stanford; West Menlo Park,PENINSULA,PGE,8
MERCED FALLS PH SUB,Greater Fresno,Snelling,YOSEMITE,PGE,1
MERCED SUB,Greater Fresno,Merced,YOSEMITE,PGE,1
MERCY SPRINGS (SLWD) SUB,Greater Fresno,Merced County,FRESNO,PGE,1
METCALF SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
METTLER SUB,Stockton,Lodi; Morada; Stockton,STOCKTON,PGE,3
MI-WUK SUB,Stockton,Mi-Wuk Village; Mono Vista; Phoenix Lake-Cedar Ridge; Soulsbyville; Twain Harte,YOSEMITE,PGE,5
MIDDLETOWN SUB,North Coast/North Bay,Cobb; Hidden Valley Lake; Middletown,NORTH COAST,PGE,3
MILLBRAE SUB,Greater Bay Area,Burlingame; Millbrae; San Bruno,PENINSULA,PGE,3
MILLER SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE,1
MILPITAS SUB,Greater Bay Area,Milpitas; San Jose,SAN JOSE,PGE,2
MIRA VISTA SUB,Greater Bay Area,East Richmond Heights; El Cerrito; Richmond,EAST BAY,PGE,3
MIRABEL SUB,North Coast/North Bay,Forestville; Graton; Guerneville,NORTH COAST,PGE,3
MODESTO ENERGY SUB,Stockton,Modesto,STOCKTON,nonPGE,1
MOLINO SUB,North Coast/North Bay,Graton; Occidental; Santa Rosa; Sebastopol,NORTH COAST,PGE,4
MONROE SUB,North Coast/North Bay,Larkfield-Wikiup; Santa Rosa,NORTH COAST,PGE,2
MONTA VISTA SUB,Greater Bay Area,Cupertino,DE ANZA,PGE,1
MONTAGUE SUB,Greater Bay Area,Milpitas; San Jose,SAN JOSE,PGE,2
MONTE RIO SUB,North Coast/North Bay,Guerneville; Monte Rio; Occidental,NORTH COAST,PGE,3
MONTEREY NAVY LAB SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1
MONTEREY SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1
MONTICELLO SUB,North Coast/North Bay,Winters,NORTH BAY,PGE,1
MORAGA SUB,Greater Bay Area,Lafayette; Moraga; Orinda,DIABLO,PGE,3
MORGAN HILL SUB,Greater Bay Area,Morgan Hill; San Jose; San Martin,SAN JOSE,PGE,3
MOSCONE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE,1
MOSS LANDING SUB,Greater Bay Area,Moss Landing,CENTRAL COAST,PGE,1
MOUNTAIN VIEW SUB,Greater Bay Area,Los Altos; Mountain View; Palo Alto; Sunnyvale,DE ANZA,PGE,4
MT EDEN SUB,Greater Bay Area,Hayward; Union City,MISSION,PGE,2
MT. QUARRIES SUB,Sierra,Georgetown,SIERRA,PGE,1
MUSTANG SUB,Greater Fresno,,FRESNO,PGE,1
NAPA SUB,North Coast/North Bay,Green Valley; Napa,NORTH BAY,PGE,2
NARROWS,Sierra,Mooney Flat,SIERRA,PGE,1
NARROWS #1 PH,Sierra,Mooney Flat,SIERRA,PGE,1
NATIVIDAD SW SUB,Greater Bay Area,,CENTRAL COAST,PGE,1
NAVY SCHOOL SUB,Greater Bay Area,Monterey,CENTRAL COAST,PGE,1
NESTLE JCT,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
NEWARK DIST SUB,Greater Bay Area,Fremont,MISSION,PGE,1
NEWARK SUB,Greater Bay Area,Fremont; Newark,MISSION,PGE,2
NEWBURG SUB,Humboldt,Fortuna; Hydesville,HUMBOLDT,PGE,2
NEWCASTLE PH,Sierra,Auburn,SIERRA,PGE,1
NEWHALL SUB,Greater Fresno,Firebaugh,YOSEMITE,PGE,1
NEWMAN SUB,Stockton,Newman,YOSEMITE,PGE,1
NINTH ST JCT,Greater Bay Area,,CENTRAL COAST,PGE,1
NORIEGA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
NORTECH SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
NORTH DUBLIN SUB,Greater Bay Area,Dublin; Pleasanton,MISSION,nonPGE,2
NORTH MERCED,Greater Fresno,,YOSEMITE,PGE,1
NORTH TOWER SUB,North Coast/North Bay,Benicia; Crockett; Rodeo; Vallejo,NORTH BAY,PGE,4
NOVATO SUB,North Coast/North Bay,Black Point-Green Point; Novato,NORTH BAY,PGE,2
O'NEIL PGP (WPRS) SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
OAK SUB,Greater Bay Area,Berkeley; El Cerrito; Kensington,EAST BAY,PGE,3
OAKHURST SUB,Greater Fresno,Oakhurst,YOSEMITE,PGE,1
OAKLAND C PP SUB,Greater Bay Area,Oakland,EAST BAY,nonPGE,1
OAKLAND D SUB,Greater Bay Area,Berkeley; Emeryville; Oakland,EAST BAY,PGE,3
OAKLAND I SUB,Greater Bay Area,Oakland,EAST BAY,PGE,2
OAKLAND J SUB,Greater Bay Area,Oakland,EAST BAY,PGE,2
OAKLAND K (CLAREMONT) SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,PGE,3
OAKLAND L SUB,Greater Bay Area,Emeryville; Oakland,EAST BAY,PGE,3
OAKLAND P SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1
OAKLAND X SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2
OAKMONT NORTH SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE,1
OAKMONT SOUTH SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE,1
OCEAN AVE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
OIL CITY (SHELL OIL CO) SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1
OLD RIVER SUB,Kern,Knob Hill,KERN,PGE,1
OLEMA SUB,North Coast/North Bay,Inverness; Point Reyes Station,NORTH BAY,PGE,2
OLEUM PP SUB,Greater Bay Area,Rodeo,DIABLO,PGE,1
OLIVEHURST SUB,Sierra,Linda; Olivehurst,SIERRA,PGE,2
ORICK SUB,Humboldt,Orick,HUMBOLDT,PGE,1
ORINDA SUB,Greater Bay Area,Orinda,DIABLO,PGE,1
ORIOLE SUB,Greater Bay Area,Ashland; San Leandro,MISSION,PGE,2
ORO LOMA SUB,Greater Fresno,South Dos Palos,YOSEMITE,PGE,1
OROSI SUB,Greater Fresno,Cutler; East Orosi; Orosi,FRESNO,PGE,3
OROVILLE SUB,Sierra,Oroville; Oroville East; South Oroville; Thermalito,NORTH VALLEY,PGE,4
ORTIGA SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
OTTER SUB,Greater Bay Area,Carmel,CENTRAL COAST,PGE,1
OWENS ILLINOIS SUB,Stockton,Tracy,STOCKTON,nonPGE,1
OXFORD SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
P.P.G. SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
PACHECO PUMPING PLANT SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1
PACHECO WIND POWER,Greater Fresno,Los Banos,YOSEMITE,nonPGE,1
PACIFIC LUMBER (CARLOTTA),Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
PACIFIC LUMBER (SCOTIA),Humboldt,Humboldt County,HUMBOLDT,nonPGE,1
PACIFIC OROVILLE POWER,Sierra,Oroville,NORTH VALLEY,nonPGE,1
PACIFICA SUB,Greater Bay Area,Montara; Pacifica,PENINSULA,PGE,2
PALERMO SUB,Sierra,Palermo,NORTH VALLEY,PGE,1
PALO SECO SUB,Greater Bay Area,Oakland; Piedmont,EAST BAY,PGE,2
PANAMA SUB,Kern,Bakersfield,KERN,PGE,1
PANOCHE SUB,Greater Fresno,Mendota,YOSEMITE,PGE,1
PARKWAY SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1
PARLIER SUB,Greater Fresno,Parlier; Selma,FRESNO,PGE,2
PARSONS SUB,Greater Bay Area,Castro Valley,MISSION,PGE,1
PATTERSON PASS SUB,Greater Bay Area,Livermore,STOCKTON,nonPGE,1
PAUL SWEET SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1
PEASE SUB,Sierra,Sutter; Tierra Buena; Yuba City,SIERRA,PGE,3
PENN ZIER SUB,Greater Fresno,Coalinga,FRESNO,nonPGE,1
PENNGROVE SUB,North Coast/North Bay,Rohnert Park,NORTH COAST,PGE,1
PENRYN SUB,Sierra,Granite Bay; Loomis; Rocklin,SIERRA,PGE,3
PEORIA SUB,Stockton,Chinese Camp; Copperopolis; Groveland-Big Oak Flat; Jamestown; Sonora,YOSEMITE,PGE,6
PETALUMA A SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1
PETALUMA C SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1
PETROL SUB,Kern,Bakersfield,KERN,PGE,1
PHILO SUB,North Coast/North Bay,Philo,NORTH COAST,PGE,1
PIERCY SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
PIKE CITY SUB,Sierra,Camptonville,SIERRA,PGE,1
PINEDALE SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2
PIPER BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE,1
PITTSBURG PP SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE,1
PITTSBURG SUB,Greater Bay Area,Pittsburg,DIABLO,PGE,1
PLACER COUNTY SUB,Sierra,Forest Hill,SIERRA,nonPGE,1
PLACER SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2
PLACERVILLE SUB,Sierra,Diamond Springs; Georgetown; Placerville,SIERRA,PGE,3
PLEASANT GROVE SUB,Sierra,Lincoln; Rocklin; Roseville,SIERRA,PGE,3
PLEASANT HILL SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE,1
PLUMAS SUB,Sierra,Olivehurst,SIERRA,PGE,1
PLYMOUTH SUB,Greater Bay Area,Daly City; San Francisco,SAN FRANCISCO,PGE,2
POE PH,Sierra,Concow,NORTH VALLEY,PGE,1
POINT ARENA SUB,North Coast/North Bay,Point Arena,HUMBOLDT,PGE,1
POINT MORETTI SUB,Greater Bay Area,Davenport,CENTRAL COAST,PGE,1
POINT PINOLE SUB,Greater Bay Area,Bayview-Montalvin; Pinole; Richmond; San Pablo; Tara Hills,EAST BAY,PGE,5
PORT COSTA BRICK SUB,Greater Bay Area,Port Costa,DIABLO,nonPGE,1
PORTOLA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
POSCO SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE,1
POSO MOUNTAIN SUB,Kern,Kern,KERN,PGE,1
POTTER VALLEY PH SUB,North Coast/North Bay,Potter Valley,NORTH COAST,PGE,1
PRAXAIR SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE,1
PRUNEDALE SUB,Greater Bay Area,Prunedale,CENTRAL COAST,PGE,1
PUEBLO SUB,North Coast/North Bay,Napa; Yountville,NORTH BAY,PGE,2
RACETRACK SUB,Stockton,Columbia; Sonora,YOSEMITE,PGE,2
RADUM SUB,Greater Bay Area,Pleasanton; Sunol,MISSION,PGE,2
RAINBOW SUB,Greater Fresno,Sanger,FRESNO,PGE,1
RALSTON SUB,Greater Bay Area,Belmont; Highlands-Baywood Park; San Carlos; San Mateo,PENINSULA,PGE,4
RANCHERS COTTON SUB,Greater Fresno,Fresno,FRESNO,nonPGE,1
RANDOLPH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
RAVENSWOOD SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE,1
RECLAMATION DIST 1500 (CARNACK) SUB,Sierra,Woodland,SACRAMENTO,PGE,1
REDBUD SUB,North Coast/North Bay,Clearlake; Clearlake Oaks,NORTH COAST,PGE,2
REDWOOD CITY SUB,Greater Bay Area,Atherton; North Fair Oaks; Redwood City,PENINSULA,PGE,3
REEDLEY SUB,Greater Fresno,Dinuba; Orange Cove; Reedley; Squaw Valley,FRESNO,PGE,4
RESEARCH SUB,Greater Bay Area,Danville; San Ramon,DIABLO,PGE,2
RESERVATION ROAD SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
RESERVE OIL SUB,Greater Fresno,Hanford,FRESNO,PGE,1
RICHMOND Q SUB,Greater Bay Area,Richmond,EAST BAY,PGE,2
RICHMOND R SUB,Greater Bay Area,El Cerrito; Richmond; Rollingwood; San Pablo,EAST BAY,PGE,5
RIDGE SUB,Greater Bay Area,Berkeley,EAST BAY,PGE,1
RINCON SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE,1
RIO BRAVO (FRESNO) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1
RIO BRAVO (ROCKLIN),Sierra,Lincoln,SIERRA,nonPGE,1
RIO DELL SUB,Humboldt,Rio Dell,HUMBOLDT,PGE,1
RIO OSO SUB,Sierra,Rio Oso,SIERRA,PGE,1
RIPON SUB,Stockton,Manteca; Ripon,STOCKTON,PGE,2
RIVER BANK JCT SW STATION,Stockton,Stanislaus County,YOSEMITE,PGE,1
RIVER OAKS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1
RIVER ROCK SUB,Greater Fresno,Fresno,FRESNO,PGE,1
RIVERBANK SUB,Stockton,East Oakdale; Escalon; Farmington; Oakdale; Riverbank,YOSEMITE,PGE,5
ROB ROY SUB,Greater Bay Area,Watsonville,CENTRAL COAST,PGE,1
ROBLES SUB,Greater Bay Area,Alamo,DIABLO,PGE,1
ROCK CREEK PH,Sierra,Belden,NORTH VALLEY,PGE,1
ROCKLIN SUB,Sierra,Loomis; Rocklin; Roseville,SIERRA,PGE,3
ROSEDALE SUB,Kern,Bakersfield; Oildale,KERN,PGE,2
ROSSMOOR SUB,Greater Bay Area,Alamo; Lafayette; Moraga; Walnut Creek,DIABLO,PGE,4
RUCKER SUB,Greater Bay Area,Gilroy,SAN JOSE,PGE,1
RUSS RANCH SUB,Humboldt,Blue Lake,HUMBOLDT,PGE,1
RUSSELL SUB,Greater Bay Area,Berkeley; Oakland,EAST BAY,nonPGE,2
SAFEWAY SUB,Stockton,Tracy,STOCKTON,nonPGE,1
SALADO SUB,Stockton,Patterson,YOSEMITE,PGE,1
SALINAS SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1
SALMON CREEK SUB,North Coast/North Bay,Bodega Bay,NORTH COAST,PGE,1
SAN ANDREAS SUB,Greater Bay Area,Millbrae,PENINSULA,PGE,1
SAN ANSELMO SUB,North Coast/North Bay,San Anselmo,NORTH BAY,PGE,1
SAN BENITO SUB,Greater Bay Area,Moss Landing,CENTRAL COAST,PGE,1
SAN BRUNO SUB,Greater Bay Area,San Bruno,PENINSULA,PGE,1
SAN CARLOS SUB,Greater Bay Area,Emerald Lake Hills; Redwood City; San Carlos,PENINSULA,PGE,3
SAN EMIDIO JUNCTION SUB,Kern,Kern County,KERN,PGE,1
SAN FRAN A (POTRERO PP) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,2
SAN FRAN AIRPORT SUB,Greater Bay Area,San Bruno,PENINSULA,PGE,1
SAN FRAN E SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN F (MARINA) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN G SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN H (MARTIN) SUB,Greater Bay Area,Brisbane; Daly City; San Francisco,PENINSULA,PGE,3
SAN FRAN I SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN J SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN K SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN L SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN M SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN N SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN P(HUNTERS POINT) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN W (BAYSHORE) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN X (MISSION) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN Y (LARKIN) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN FRAN Z (EMBARCADERO) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1
SAN JOAQUIN JCT SUB,Greater Fresno,Fresno County,FRESNO,PGE,1
SAN JOAQUIN SUB,Greater Fresno,San Joaquin; Tranquillity,FRESNO,PGE,2
SAN JOSE A SUB,Greater Bay Area,Buena Vista; Burbank; San Jose; Sunol-Midtown,SAN JOSE,PGE,4
SAN JOSE B SUB,Greater Bay Area,Buena Vista; Burbank; San Jose,SAN JOSE,PGE,3
SAN LEANDRO U SUB,Greater Bay Area,Ashland; Castro Valley; Cherryland; Oakland; San Leandro; San Lorenzo,MISSION,PGE,6
SAN LORENZO SUB,Greater Bay Area,San Lorenzo,MISSION,PGE,1
SAN LUIS #3 SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
SAN LUIS #5 SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1
SAN MARTIN SUB,Greater Bay Area,San Martin,SAN JOSE,PGE,1
