sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
COPPERMINE SUB,Greater Fresno,Clovis,FRESNO,PGE,1,exact,100.0,COPPERMINE,COPPERMINE,12.0,36.89631750001298,-119.664718786115
CORCORAN SUB,Greater Fresno,Corcoran,FRESNO,PGE,1,exact,100.0,CORCORAN,CORCORAN,12.0,36.1097291421788,-119.55733517121652
CORONA SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1,exact,100.0,CORONA,CORONA,12.0,38.26512802531959,-122.6571608149265
COTATI SUB,North Coast/North Bay,Bodega Bay; Cotati; Dillon Beach; Rohnert Park; Tomales,NORTH COAST,PGE,5,exact,100.0,COTATI,COTATI,12.0,38.30980554981653,-122.73175577070296
COVELO SUB,North Coast/North Bay,Covelo,NORTH COAST,PGE,1,exact,100.0,COVELO,COVELO,12.0,39.78636157593041,-123.24873746443508
CPM SUB,Sierra,Clarksville,SIERRA,nonPGE,1,unmatched,0.0,,,,,
CRAZY HORSE CANYON SW STA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,unmatched,0.0,,,,,
CRESSEY SUB,Greater Fresno,Livingston; Winton,YOSEMITE,PGE,2,exact,100.0,CRESSEY,CRESSEY,21.0,37.42859913669553,-120.6384473846346
CRESTA PH SUB,Sierra,Concow,NORTH VALLEY,PGE,1,exact,100.0,CRESTA PH,CRESTA PH,12.0,39.82649357391756,-121.4096899580418
CROCKETT SUB,Greater Bay Area,Crockett,EAST BAY,PGE,1,unmatched,0.0,,,,,
CROW CREEK SW STA,Stockton,Stomar,STOCKTON,PGE,1,unmatched,0.0,,,,,
CROWS LANDING SUB,Stockton,Crows Landing,YOSEMITE,PGE,1,exact,100.0,CROWS LANDING,CROWS LANDING,12.0,37.37774567278726,-121.08632626856836
CRUSHER SUB,Greater Bay Area,Bonny Doon,CENTRAL COAST,PGE,1,fuzzy,75.0,CARUTHERS,CARUTHERS,12.0,36.53207399155622,-119.88218484607894
