sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,basin_name,basin_norm_name,basin_lat,basin_lon
CAMP EVERS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE,1,exact,100.0,Camp Evers,CAMP EVERS,37.04188835011482,-122.02513661190704
CAMP FAR WEST,Sierra,Lincoln,SIERRA,nonPGE,1,exact,100.0,Camp Far West,CAMP FAR WEST,39.04890193370489,-121.31692007857608
CAMPHORA JCT,Greater Bay Area,,CENTRAL COAST,PGE,1,fuzzy,80.0,Camphora,CAMPHORA,36.468219176509145,-121.39036110711068
CAMPHORA SUB,Greater Bay Area,Soledad,CENTRAL COAST,PGE,1,exact,100.0,Camphora,CAMPHORA,36.468219176509145,-121.39036110711068
CANAL SUB,Greater Fresno,Los Banos,YOSEMITE,PGE,1,exact,100.0,Canal,CANAL,37.06633333339536,-120.83556394913944
CANANDAIGUA WINERY SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1,unmatched,0.0,,,,
CANDLEWICK DIXIE YARN SUB,Greater Fresno,Lemoore,FRESNO,nonPGE,1,unmatched,0.0,,,,
CANTUA SUB,Greater Fresno,Cantua Creek,FRESNO,PGE,1,exact,100.0,Cantua,CANTUA,36.42931356064096,-120.34165575802164
CAPE HORN SUB,Sierra,Colfax,SIERRA,nonPGE,1,unmatched,0.0,,,,
CARBONA SUB,Stockton,Tracy,STOCKTON,PGE,1,exact,100.0,Carbona,CARBONA,37.692239454930416,-121.41668141790986
CARLOTTA SUB,Humboldt,Fortuna; Hydesville,HUMBOLDT,PGE,2,exact,100.0,Carlotta,CARLOTTA,40.54114692359107,-124.06376729572114
CARNATION DAIRY SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,Carnation Dairy,CARNATION DAIRY,35.311006076395515,-119.0858066868177
CAROLANDS SUB,Greater Bay Area,Burlingame; Hillsborough; San Mateo,PENINSULA,PGE,3,exact,100.0,Carolands,CAROLANDS,37.55280499465498,-122.37631200928465
CARQUINEZ SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1,exact,100.0,Carquinez,CARQUINEZ,38.09087251077395,-122.24865135326652
CARUTHERS SUB,Greater Fresno,Caruthers,FRESNO,PGE,1,exact,100.0,Caruthers,CARUTHERS,36.5321694559588,-119.8814694502654
CASSIDY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno,YOSEMITE,PGE,2,exact,100.0,Cassidy,CASSIDY,36.9235350157937,-119.8126589810418
CASTLE SUB,Greater Fresno,Merced,FRESNO,nonPGE,1,fuzzy,80.0,Newcastle,NEWCASTLE,38.83485899365069,-121.09482099610771
CASTRO SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,unmatched,0.0,,,,
CASTRO VALLEY SUB,Greater Bay Area,Ashland; Castro Valley; Cherryland; Fairview; Hayward; Union City,MISSION,PGE,6,exact,100.0,Castro Valley,CASTRO VALLEY,37.69128098435761,-122.06127739017332
CASTROVILLE SUB,Greater Bay Area,Castroville,CENTRAL COAST,PGE,1,exact,100.0,Castroville,CASTROVILLE,36.76311989630461,-121.73473546336916
CATLETT SUB,Sierra,Pleasant Grove,SIERRA,PGE,1,exact,100.0,Catlett,CATLETT,38.80884800692517,-121.51641401759566
CAWELO B SUB,Kern,Famosa,KERN,PGE,1,exact,100.0,Cawelo B,CAWELO B,35.470765797660405,-119.11831887459046
CAWELO C SUB,Kern,Famosa,KERN,PGE,1,exact,100.0,Cawelo C,CAWELO C,35.570757571696184,-119.11542007329167
CAYETANO SUB,Greater Bay Area,Livermore,MISSION,PGE,1,exact,100.0,Cayetano,CAYETANO,37.7386049986163,-121.77116328727968
CERTAINTEED SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1,unmatched,0.0,,,,
CHALLENGE SUB,Sierra,Brownsville; Challenge; La Porte; Little Grass Valley,NORTH VALLEY,PGE,4,exact,100.0,Challenge,CHALLENGE,39.48525925803122,-121.22031867914004
CHENEY SUB,Greater Fresno,Mendota,YOSEMITE,PGE,1,exact,100.0,Cheney,CHENEY,36.63275971817491,-120.53199354555808
CHERRY SUB,Greater Bay Area,San Leandro,MISSION,PGE,1,exact,100.0,Cherry,CHERRY,37.715813950900895,-122.14392687926076
CHEVRON PIPELINE KETTLEMAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,fuzzy,79.06976744186046,Chevron Kettleman,CHEVRON KETTLEMAN,35.99695673761514,-119.96139709749318
CHEVRON PIPELINE LOS BANOS SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,
CHILI BAR PH,Sierra,El Dorafo County,SIERRA,PGE,1,unmatched,0.0,,,,
CHOWCHILLA #2 NEO SUB,Greater Fresno,Madera County,FRESNO,PGE,1,unmatched,0.0,,,,
CHOWCHILLA #3 CO-GEN SJVE SUB,Greater Fresno,Madera County,FRESNO,PGE,1,unmatched,0.0,,,,
CHOWCHILLA SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1,exact,100.0,Chowchilla,CHOWCHILLA,37.12056168878955,-120.25058468607872
CHRISTIE SUB,Greater Bay Area,Hercules,DIABLO,PGE,1,exact,100.0,Christie,CHRISTIE,38.00286201856196,-122.20836799669176
CLARKSVILLE SUB,Sierra,Cameron Park; El Dorado Hills; Folsom,SIERRA,PGE,3,exact,100.0,Clarksville,CLARKSVILLE,38.65571788293646,-121.0595437331988
CLAYTON SUB,Greater Bay Area,Alamo; Clayton; Concord; Walnut Creek,DIABLO,PGE,4,exact,100.0,Clayton,CLAYTON,37.94410025199704,-121.96910714862464
CLEAR LAKE SUB,North Coast/North Bay,Kelseyville; Lakeport,NORTH COAST,PGE,2,exact,100.0,Clear Lake,CLEAR LAKE,39.00776750858565,-122.89400077129945
CLOVERDALE SUB,North Coast/North Bay,Cloverdale,NORTH COAST,PGE,1,exact,100.0,Cloverdale,CLOVERDALE,38.797151570512106,-123.01028683646923
CLOVIS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,Clovis,CLOVIS,36.8261981070358,-119.68125380958496
COALINGA NO.1 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1,unmatched,0.0,,,,
COALINGA NO.2 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1,unmatched,0.0,,,,
COARSEGOLD SUB,Greater Fresno,Oakhurst; Yosemite Lakes,YOSEMITE,PGE,2,exact,100.0,Coarsegold,COARSEGOLD,37.22747610662805,-119.69074521540252
COLGATE SUB,Sierra,Dobbins,SIERRA,PGE,1,exact,100.0,Colgate,COLGATE,39.33096778898454,-121.19150473735888
COLONY SUB,Stockton,Lockeford,STOCKTON,PGE,1,exact,100.0,Colony,COLONY,38.1902244358813,-121.1818846468171
COLUMBIA HILL SUB,Sierra,Sweetland,SIERRA,PGE,1,exact,100.0,Columbia Hill,COLUMBIA HILL,39.33184021378099,-121.10135032722202
COLUMBUS SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,Columbus,COLUMBUS,35.398405555376186,-118.93988055546694
CONCORD SUB,Greater Bay Area,Concord,DIABLO,PGE,1,unmatched,0.0,,,,
CONTADINA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,fuzzy,75.0,Cortina,CORTINA,39.12054473540145,-122.22333491105772
CONTRA COSTA PP SUB,Greater Bay Area,Antioch,DIABLO,nonPGE,1,fuzzy,88.88888888888889,Contra Costa,CONTRA COSTA,37.99955467869259,-121.78282309756756
CONTRA COSTA SUB,Greater Bay Area,Antioch; Brentwood; Oakley,DIABLO,PGE,3,exact,100.0,Contra Costa,CONTRA COSTA,37.99955467869259,-121.78282309756756
COOLEY LANDING SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE,1,exact,100.0,Cooley Landing,COOLEY LANDING,37.47358664232182,-122.12800367278729
COPPERMINE SUB,Greater Fresno,Clovis,FRESNO,PGE,1,exact,100.0,Coppermine,COPPERMINE,36.89581265313488,-119.6647063893895
CORCORAN SUB,Greater Fresno,Corcoran,FRESNO,PGE,1,exact,100.0,Corcoran,CORCORAN,36.10940094533666,-119.55719266405735
CORONA SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE,1,exact,100.0,Corona,CORONA,38.26501270479249,-122.65736853423064
COTATI SUB,North Coast/North Bay,Bodega Bay; Cotati; Dillon Beach; Rohnert Park; Tomales,NORTH COAST,PGE,5,exact,100.0,Cotati,COTATI,38.30955900237303,-122.73164799441626
COVELO SUB,North Coast/North Bay,Covelo,NORTH COAST,PGE,1,exact,100.0,Covelo,COVELO,39.78611627594674,-123.24854696006476
CPM SUB,Sierra,Clarksville,SIERRA,nonPGE,1,unmatched,0.0,,,,
CRAZY HORSE CANYON SW STA SUB,Greater Bay Area,Salinas,CENTRAL COAST,PGE,1,unmatched,0.0,,,,
CRESSEY SUB,Greater Fresno,Livingston; Winton,YOSEMITE,PGE,2,exact,100.0,Cressey,CRESSEY,37.4284695169969,-120.63852774445644
CRESTA PH SUB,Sierra,Concow,NORTH VALLEY,PGE,1,fuzzy,80.0,Cresta,CRESTA,39.82643415142927,-121.4094876870716
CROCKETT SUB,Greater Bay Area,Crockett,EAST BAY,PGE,1,exact,100.0,Crockett,CROCKETT,38.048589126123005,-122.22169930548776
CROW CREEK SW STA,Stockton,Stomar,STOCKTON,PGE,1,unmatched,0.0,,,,
CROWS LANDING SUB,Stockton,Crows Landing,YOSEMITE,PGE,1,exact,100.0,Crows Landing,CROWS LANDING,37.37738332848153,-121.08590273598206
CRUSHER SUB,Greater Bay Area,Bonny Doon,CENTRAL COAST,PGE,1,exact,100.0,Crusher,CRUSHER,37.025697443617865,-122.1548008548698
CRYSTAL SPRINGS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE,1,exact,100.0,Crystal Springs,CRYSTAL SPRINGS,37.52998866796908,-122.3617254110697
CURTIS SUB,Stockton,Columbia; East Sonora; Groveland-Big Oak Flat; Jamestown; Mono Vista; Phoenix Lake-Cedar Ridge; Sonora; Soulsbyville; Tuolumne City,YOSEMITE,PGE,9,exact,100.0,Curtis,CURTIS,37.9744325633102,-120.31990681792604
City of HEALDSBURG SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE,1,unmatched,0.0,,,,
DAIRYLAND SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1,exact,100.0,Dairyland,DAIRYLAND,37.054915448421376,-120.31674289512644
DALY CITY SUB,Greater Bay Area,Broadmoor; Colma; Daly City; Pacifica; San Francisco; South San Francisco,PENINSULA,PGE,6,exact,100.0,Daly City,DALY CITY,37.6916795472424,-122.45593791212416
DAVIS SUB,Sierra,Davis,SACRAMENTO,nonPGE,1,fuzzy,76.92307692307692,UC Davis,UC DAVIS,38.52911014688864,-121.7513986700727
DE FRANCESCO SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,exact,100.0,De Francesco,DE FRANCESCO,36.836043915753805,-120.62030735430189
