substation_name,substation_type,voltage_kv,existing_gen,queued_gen,total_gen,projected_load,der_penetration,longitude,latitude
MARGARITA,138/12 kV,12kV,59.592000000000006,5.115,64.705,92.12783999999999,50,-117.62718222915267,33.57146030691496
FRIARS,138/12 kV,12kV,11.149000000000001,1.493,12.642000000000001,44.08202,19,-117.15717030496513,32.77367296521225
RINCON,69/12 kV,12kV,15.396,1.718,17.113,19.07957,66,-116.95942186686837,33.3314977237953
FELICITA,69/12 kV,12kV,53.144000000000005,1.201,54.346000000000004,59.24116,59,-117.02713792441017,33.09310831261626
IMPERIAL BEACH,69/12/4 kV,12kV,30.464000000000002,2.024,32.489000000000004,44.56904,47,-117.09349154589287,32.5816007635523
WABASH CANYON,69/12 kV,12kV,11.078000000000001,0.672,11.75,14.309379999999999,37,-117.09755129532914,32.72991109316187
LA JOLLA,69/12 kV,12kV,15.664000000000001,0.8560000000000001,16.518,25.073549999999997,26,-117.2654177968084,32.83583436821345
AVOCADO,69/12 kV,12kV,31.643,1.728,33.369,31.49531,53,-117.24519473718068,33.415534714356774
RANCHO CARMEL,69/12 kV,12kV,30.306,8.333,38.639,52.962959999999995,34,-117.08057160508204,32.996021964454
CHICARITA,138/12 kV,12kV,60.444,1.6680000000000001,62.11,70.81532,68,-117.1119613624112,32.95989470441887
CAMERON,69/12.47 kV,12kV,4.073,0.217,4.289000000000001,4.6125,54,-116.5012543399666,32.64087862662459
PACIFIC BEACH,69/12 kV,12kV,27.216,3.1790000000000003,30.397000000000002,55.45545,46,-117.23580670163116,32.80095287142043
BASILONE,69/12 kV,12kV,3.853,0,3.853,,14,-117.58229473671128,33.38768143064357
SALT CREEK,69/12 kV,12kV,21.188000000000002,0.903,22.092000000000002,27.68782,36,-116.95544089896852,32.61813102263342
SAMPSON,69/12 kV,12kV,31.217000000000002,4.0360000000000005,35.254000000000005,78.03520999999999,26,-117.12035389454664,32.69878935180088
TELEGRAPH CANYON,138/12 kV,12kV,72.455,4.862,77.319,86.35748,61,-116.99928208857708,32.62823397878233
VINE,69/12 kV,12kV,16.427,2.512,18.939,56.82523,18,-117.1805786390423,32.73922884457361
SHADOWRIDGE,138/12 kV,12kV,54.326,1.499,55.824000000000005,74.73522,60,-117.21605997595246,33.15747213885441
SPRING VALLEY,69/12 kV,12kV,40.910000000000004,2.205,43.114000000000004,53.9208,68,-116.99792090582828,32.738235386404725
ALPINE,69/12 kV,12kV,57.636,0.875,58.511,36.80796,98,-116.7726717306921,32.83888956328325
BATIQUITOS,138/12 kV,12kV,80.034,2.7470000000000003,82.781,77.36623999999999,89,-117.24282602229249,33.091670083710525
POMERADO,69/12 kV,12kV,38.765,1.8880000000000001,40.653,61.16507,43,-117.03289416045068,32.938665079054516
DEL MAR,69/12 kV,12kV,56.74,2.117,58.857,64.75635,64,-117.23235769491865,32.983129207248275
ARTESIAN RANCH,230/69/12/4 kV,12kV,52.828,0.515,53.344,41.513619999999996,89,-117.15110528451538,33.0090573314948
MIRAMAR,69/12 kV,12kV,17.795,0.202,17.996000000000002,,20,-117.14218638005084,32.89414865764679
LAS PULGAS,69/12 kV,12kV,0.8180000000000001,0,0.8180000000000001,6.11295,3,-117.4374611708617,33.29347587780361
TORREY PINES,69/12 kV,12kV,19.366,1.865,21.23,69.12651,16,-117.2314708130261,32.90838006172779
PALOMAR AIRPORT,138/12 kV,12kV,32.465,2.825,35.289,57.86259,36,-117.27774083466683,33.131263270165704
GLENCLIFF,69/12.47 kV,12kV,5.53,0.033,5.563000000000001,3.14818,74,-116.48025970189362,32.78060443383661
STATION B,69/12 kV,12kV,16.713,0.431,17.144000000000002,76.26679,14,-117.16590840305273,32.71544232812692
VALLEY CENTER,69/12 kV,12kV,38.97,2.04,41.009,24.08121,130,-116.99902954019036,33.227784132577035
GENESEE,69/12 kV,12kV,27.929000000000002,1.8980000000000001,29.827,94.72524,24,-117.22411501059366,32.87698011329068
STREAMVIEW,69/12 kV,12kV,37.978,4.014,41.992000000000004,47.14449,64,-117.07830335058776,32.75913215934833
GARFIELD,69/12 kV,12kV,16.153000000000002,0.7240000000000001,16.877000000000002,23.10119,54,-116.99533176191096,32.80156566285017
POINT LOMA,69/12 kV,12kV,24.354000000000003,0.736,25.088,45.89112,27,-117.22826206232239,32.743550841479994
BORDER,69/12 kV,12kV,35.294000000000004,5.319,40.613,58.76822,60,-116.9407818041129,32.56861917203075
KEARNY WEST,69/12 kV,12kV,36.802,12.721,49.525000000000006,82.4604,31,-117.12974040131911,32.82920357991212
WARNERS,69/12 kV,12kV,2.146,0.234,2.378,3.52262,27,-116.67413647527881,33.28849837496445
PICO,138/12 kV,12kV,31.312,1.812,33.126000000000005,49.48167,52,-117.5978376945472,33.472892946910534
DIVISION,69/12 kV,12kV,0,,,,0,-117.11829541721876,32.678502912686035
ESCONDIDO,230/138/69/12 kV,12kV,84.52,12.342,96.86,95.55667,75,-117.14294439107624,33.127896401232995
MELROSE,69/12 kV,12kV,78.729,4.2620000000000005,82.99,101.78927,67,-117.24347456782955,33.21795967793746
EL CAJON,69/12 kV,12kV,44.591,4.378,48.97,94.28820999999999,37,-116.97288223981732,32.79411304277516
CABRILLO,69/12 kV,12kV,21.624000000000002,0.35300000000000004,21.978,19.13227,39,-117.23990304016904,32.715978473390244
WARREN CANYON,69/12/4 kV,12kV,0,,,,0,-117.00065098249038,33.020611256995075
URBAN,69/12 kV,12kV,7.391,7.784000000000001,15.175,57.06026,8,-117.15312960394763,32.719899279991296
CORONADO,69/12 kV,12kV,16.738,1.165,17.902,32.32519,28,-117.16018297589987,32.66933055171324
OLIVENHAIN,69/12 kV,12kV,8.574,0.193,8.767000000000001,7.8292399999999995,29,-117.12129876052613,33.08058418373013
SCRIPPS,69/12 kV,12kV,55.578,4.2940000000000005,59.873000000000005,71.13468,63,-117.10449446974421,32.917728946481574
RANCHO SANTA FE,69/12/4 kV,12kV,31.206000000000003,28.3,59.504000000000005,23.0075,52,-117.19674022140637,33.031504620284
DESCANSO,69/12 kV,12kV,5.759,0.364,6.121,4.247669999999999,77,-116.61704243827413,32.88714613913314
SUNNYSIDE,69/12 kV,12kV,15.206000000000001,0.499,15.705,14.55701,51,-117.03794020352079,32.66621208946227
CARLTON HILLS,138/12 kV,12kV,31.665000000000003,6.523000000000001,38.186,41.52567,63,-117.00216066109306,32.84816023573025
CREELMAN,69/12 kV,12kV,86.132,4.984,91.116,57.64339,97,-116.85070347566102,33.03990750569763
